"item","condition","exp","UB","LB","low","high","y","x","group"
"coffee maker","original",3,40,0,0.160078360648629,0.250399875138437,0.203344028992641,20,"coffee maker original 3"
"coffee maker","original",3,80,40,0.179925376632497,0.243695135383232,0.212226705989537,60,"coffee maker original 3"
"coffee maker","original",3,120,80,0.185693030965258,0.226664593280776,0.206675315617965,100,"coffee maker original 3"
"coffee maker","original",3,160,120,0.124667544311127,0.178893048280808,0.150171287920747,140,"coffee maker original 3"
"coffee maker","original",3,200,160,0.0849294888026024,0.155329023140264,0.117196560160638,180,"coffee maker original 3"
"coffee maker","original",3,240,200,0.030520081506864,0.0676318886061679,0.047937039448441,220,"coffee maker original 3"
"coffee maker","original",3,280,240,0.0177125750078389,0.0470929036187499,0.0309340621387039,260,"coffee maker original 3"
"coffee maker","original",3,320,280,0.00908366956205549,0.028381600859275,0.0181504790469042,300,"coffee maker original 3"
"coffee maker","original",3,360,320,0.00313815854283731,0.0171368260281644,0.00932393055999866,340,"coffee maker original 3"
"coffee maker","original",3,400,400,0.0011993857544709,0.00692507663166424,0.00404059012442477,400,"coffee maker original 3"
"coffee maker","original",4,40,0,0.158552774853477,0.250138173491164,0.203344028992641,20,"coffee maker original 4"
"coffee maker","original",4,80,40,0.180902535971508,0.247193377816207,0.212226705989537,60,"coffee maker original 4"
"coffee maker","original",4,120,80,0.186964363768405,0.225504127105098,0.206675315617965,100,"coffee maker original 4"
"coffee maker","original",4,160,120,0.122044309818543,0.178686698630382,0.150171287920747,140,"coffee maker original 4"
"coffee maker","original",4,200,160,0.0862497510052108,0.15781841459089,0.117196560160638,180,"coffee maker original 4"
"coffee maker","original",4,240,200,0.0296706830158037,0.0656665774518348,0.047937039448441,220,"coffee maker original 4"
"coffee maker","original",4,280,240,0.0163318313342436,0.0467284711453457,0.0309340621387039,260,"coffee maker original 4"
"coffee maker","original",4,320,280,0.0090292955017576,0.0282413530083007,0.0181504790469042,300,"coffee maker original 4"
"coffee maker","original",4,360,320,0.0033656046185007,0.016867996083427,0.00932393055999866,340,"coffee maker original 4"
"coffee maker","original",4,400,400,0.00139421331244331,0.00719360690208594,0.00404059012442477,400,"coffee maker original 4"
"coffee maker","original",5,4,0,9.72384286269934e-05,0.00393926254624167,0.00153331328989871,2,"coffee maker original 5"
"coffee maker","original",5,8,4,0.000194476857253987,0.00403650097486866,0.0016305517185257,6,"coffee maker original 5"
"coffee maker","original",5,12,8,0.00110824609074317,0.0155471756044901,0.00730655117954418,10,"coffee maker original 5"
"coffee maker","original",5,16,12,0.00202201532423236,0.0186577905425791,0.0097939472055822,14,"coffee maker original 5"
"coffee maker","original",5,20,16,0.00606060606060606,0.0399477769969232,0.0215097044912706,18,"coffee maker original 5"
"coffee maker","original",5,24,20,0.0229911409217708,0.0659198411865048,0.0442525129705444,22,"coffee maker original 5"
"coffee maker","original",5,28,24,0.0309293186685028,0.0939491748557033,0.0610512336509465,26,"coffee maker original 5"
"coffee maker","original",5,32,28,0.0365314011285702,0.0760974655299924,0.0561320200617174,30,"coffee maker original 5"
"coffee maker","original",5,36,32,0.0393399618148934,0.0579311364756872,0.0495472282290331,34,"coffee maker original 5"
"coffee maker","original",5,40,36,0.02416238432091,0.0566451808538734,0.0419391413699424,38,"coffee maker original 5"
"coffee maker","original",5,44,40,0.0259428897610861,0.056156689368153,0.0424596310675292,42,"coffee maker original 5"
"coffee maker","original",5,48,44,0.024160225716711,0.057091750154096,0.042502435170865,46,"coffee maker original 5"
"coffee maker","original",5,52,48,0.0247016807434022,0.0522213374284938,0.0405267423642021,50,"coffee maker original 5"
"coffee maker","original",5,56,52,0.0241848971746238,0.0522918554996521,0.0405382571129481,54,"coffee maker original 5"
"coffee maker","original",5,60,56,0.0236956474199303,0.0505634150541209,0.0398697110137659,58,"coffee maker original 5"
"coffee maker","original",5,64,60,0.0239222436598197,0.0485246732235913,0.0387356793892924,62,"coffee maker original 5"
"coffee maker","original",5,68,64,0.0220909320850915,0.0463353771577884,0.0368058042872872,66,"coffee maker original 5"
"coffee maker","original",5,72,68,0.0218092290221766,0.045211269853941,0.0359233803232527,70,"coffee maker original 5"
"coffee maker","original",5,76,72,0.0183519821199306,0.0407834504902883,0.0308490458779672,74,"coffee maker original 5"
"coffee maker","original",5,80,76,0.0183280245486539,0.0404817558031051,0.0300097901446389,78,"coffee maker original 5"
"coffee maker","original",5,84,80,0.0188581094004815,0.0422145029908214,0.032214810753862,82,"coffee maker original 5"
"coffee maker","original",5,88,84,0.0173237541478705,0.0416835547439152,0.0308883278493017,86,"coffee maker original 5"
"coffee maker","original",5,92,88,0.0112423971785046,0.0392957576789653,0.0252158660410343,90,"coffee maker original 5"
"coffee maker","original",5,96,92,0.00983629817536336,0.0374433202022433,0.0237724310345922,94,"coffee maker original 5"
