"workerid","item","bin","UB","LB","rating","condition","exp","slider_total","normed_rating"
0,"sweater",1,40,0,0.0189681335356601,"original","03",0.0474203338391502,0.4
0,"sweater",2,80,40,0.0125189681335357,"original","03",0.0474203338391502,0.264
0,"sweater",3,120,80,0.0108118361153263,"original","03",0.0474203338391502,0.228
0,"sweater",4,160,120,0.00474203338391502,"original","03",0.0474203338391502,0.1
0,"sweater",5,200,160,0,"original","03",0.0474203338391502,0
0,"sweater",6,240,200,0,"original","03",0.0474203338391502,0
0,"sweater",7,280,240,0,"original","03",0.0474203338391502,0
0,"sweater",8,320,280,0,"original","03",0.0474203338391502,0
0,"sweater",9,360,320,0.000189681335356601,"original","03",0.0474203338391502,0.004
0,"sweater",10,400,400,0.000189681335356601,"original","03",0.0474203338391502,0.004
1,"coffee maker",1,40,0,0.0126115041525684,"original","03",0.0429098738849585,0.293906810035842
1,"coffee maker",2,80,40,0.0107659181790218,"original","03",0.0429098738849585,0.25089605734767
1,"coffee maker",3,120,80,0.00999692402337742,"original","03",0.0429098738849585,0.232974910394265
1,"coffee maker",4,160,120,0.0046139649338665,"original","03",0.0429098738849585,0.10752688172043
1,"coffee maker",5,200,160,0.00384497077822209,"original","03",0.0429098738849585,0.0896057347670251
1,"coffee maker",6,240,200,0,"original","03",0.0429098738849585,0
1,"coffee maker",7,280,240,0.000307597662257767,"original","03",0.0429098738849585,0.00716845878136201
1,"coffee maker",8,320,280,0.00046139649338665,"original","03",0.0429098738849585,0.010752688172043
1,"coffee maker",9,360,320,0.000153798831128883,"original","03",0.0429098738849585,0.003584229390681
1,"coffee maker",10,400,400,0.000153798831128883,"original","03",0.0429098738849585,0.003584229390681
2,"laptop",1,560,0,0.0141542816702052,"original","03",0.0705355036565228,0.20066889632107
2,"laptop",2,1120,560,0.0136824722811984,"original","03",0.0705355036565228,0.193979933110368
2,"laptop",3,1680,1120,0.0108516159471573,"original","03",0.0705355036565228,0.153846153846154
2,"laptop",4,2240,1680,0.00967209247464024,"original","03",0.0705355036565228,0.137123745819398
2,"laptop",5,2800,2240,0.00849256900212314,"original","03",0.0705355036565228,0.120401337792642
2,"laptop",6,3360,2800,0.00636942675159236,"original","03",0.0705355036565228,0.0903010033444816
2,"laptop",7,3920,3360,0.00495399858457183,"original","03",0.0705355036565228,0.0702341137123746
2,"laptop",8,4480,3920,0.00141542816702052,"original","03",0.0705355036565228,0.020066889632107
2,"laptop",9,5040,4480,0.000943618778013682,"original","03",0.0705355036565228,0.0133779264214047
2,"laptop",10,5600,5000,0,"original","03",0.0705355036565228,0
3,"coffee maker",1,40,0,0.0153798831128883,"original","03",0.0767456167333128,0.200400801603206
3,"coffee maker",2,80,40,0.0127653029836973,"original","03",0.0767456167333128,0.166332665330661
3,"coffee maker",3,120,80,0.0103045216856352,"original","03",0.0767456167333128,0.134268537074148
3,"coffee maker",4,160,120,0.00861273454321747,"original","03",0.0767456167333128,0.112224448897796
3,"coffee maker",5,200,160,0.00768994155644417,"original","03",0.0767456167333128,0.100200400801603
3,"coffee maker",6,240,200,0.00768994155644417,"original","03",0.0767456167333128,0.100200400801603
3,"coffee maker",7,280,240,0.00584435558289757,"original","03",0.0767456167333128,0.0761523046092184
3,"coffee maker",8,320,280,0.00399876960935097,"original","03",0.0767456167333128,0.0521042084168337
3,"coffee maker",9,360,320,0.00261458012919102,"original","03",0.0767456167333128,0.0340681362725451
3,"coffee maker",10,400,400,0.0018455859735466,"original","03",0.0767456167333128,0.0240480961923848
4,"watch",1,60,0,0.0123517786561265,"original","03",0.0321146245059289,0.384615384615385
4,"watch",2,120,60,0.00951086956521739,"original","03",0.0321146245059289,0.296153846153846
4,"watch",3,180,120,0.00654644268774704,"original","03",0.0321146245059289,0.203846153846154
4,"watch",4,240,180,0.00345849802371542,"original","03",0.0321146245059289,0.107692307692308
4,"watch",5,300,240,0,"original","03",0.0321146245059289,0
4,"watch",6,360,300,0,"original","03",0.0321146245059289,0
4,"watch",7,420,360,0,"original","03",0.0321146245059289,0
4,"watch",8,480,420,0,"original","03",0.0321146245059289,0
4,"watch",9,540,480,0,"original","03",0.0321146245059289,0
4,"watch",10,600,500,0.00024703557312253,"original","03",0.0321146245059289,0.00769230769230769
5,"coffee maker",1,40,0,0.0104583205167641,"original","03",0.0596739464780068,0.175257731958763
5,"coffee maker",2,80,40,0.0124577053214396,"original","03",0.0596739464780068,0.208762886597938
5,"coffee maker",3,120,80,0.0146108889572439,"original","03",0.0596739464780068,0.244845360824742
5,"coffee maker",4,160,120,0.0124577053214396,"original","03",0.0596739464780068,0.208762886597938
5,"coffee maker",5,200,160,0.00584435558289757,"original","03",0.0596739464780068,0.0979381443298969
5,"coffee maker",6,240,200,0.0027683789603199,"original","03",0.0596739464780068,0.0463917525773196
5,"coffee maker",7,280,240,0.00107659181790218,"original","03",0.0596739464780068,0.0180412371134021
5,"coffee maker",8,320,280,0,"original","03",0.0596739464780068,0
5,"coffee maker",9,360,320,0,"original","03",0.0596739464780068,0
5,"coffee maker",10,400,400,0,"original","03",0.0596739464780068,0
6,"watch",1,60,0,0.00728754940711462,"original","03",0.0534832015810277,0.136258660508083
6,"watch",2,120,60,0.00975790513833992,"original","03",0.0534832015810277,0.182448036951501
6,"watch",3,180,120,0.0116106719367589,"original","03",0.0534832015810277,0.217090069284065
6,"watch",4,240,180,0.00951086956521739,"original","03",0.0534832015810277,0.177829099307159
6,"watch",5,300,240,0.00679347826086957,"original","03",0.0534832015810277,0.1270207852194
6,"watch",6,360,300,0.00382905138339921,"original","03",0.0534832015810277,0.0715935334872979
6,"watch",7,420,360,0.0024703557312253,"original","03",0.0534832015810277,0.046189376443418
6,"watch",8,480,420,0.00135869565217391,"original","03",0.0534832015810277,0.0254041570438799
6,"watch",9,540,480,0.000494071146245059,"original","03",0.0534832015810277,0.0092378752886836
6,"watch",10,600,500,0.000370553359683794,"original","03",0.0534832015810277,0.0069284064665127
7,"headphones",1,30,0,0.00903723340161465,"original","03",0.0827810579587902,0.109170305676856
7,"headphones",2,60,30,0.00915772984696952,"original","03",0.0827810579587902,0.110625909752547
7,"headphones",3,90,60,0.0116881551994216,"original","03",0.0827810579587902,0.141193595342067
7,"headphones",4,120,90,0.00903723340161465,"original","03",0.0827810579587902,0.109170305676856
7,"headphones",5,150,120,0.00879624051090493,"original","03",0.0827810579587902,0.106259097525473
7,"headphones",6,180,150,0.00843475117484034,"original","03",0.0827810579587902,0.101892285298399
7,"headphones",7,210,180,0.0085552476201952,"original","03",0.0827810579587902,0.10334788937409
7,"headphones",8,240,210,0.0060248222677431,"original","03",0.0827810579587902,0.0727802037845706
7,"headphones",9,270,240,0.0060248222677431,"original","03",0.0827810579587902,0.0727802037845706
7,"headphones",10,300,300,0.0060248222677431,"original","03",0.0827810579587902,0.0727802037845706
8,"sweater",1,40,0,0.0172610015174507,"original","03",0.0698027314112291,0.247282608695652
8,"sweater",2,80,40,0.0142261001517451,"original","03",0.0698027314112291,0.203804347826087
8,"sweater",3,120,80,0.0115705614567527,"original","03",0.0698027314112291,0.165760869565217
8,"sweater",4,160,120,0.0106221547799697,"original","03",0.0698027314112291,0.152173913043478
8,"sweater",5,200,160,0.00550075872534143,"original","03",0.0698027314112291,0.0788043478260869
8,"sweater",6,240,200,0.00360394537177542,"original","03",0.0698027314112291,0.0516304347826087
8,"sweater",7,280,240,0.00265553869499241,"original","03",0.0698027314112291,0.0380434782608696
8,"sweater",8,320,280,0.00208649468892261,"original","03",0.0698027314112291,0.0298913043478261
8,"sweater",9,360,320,0.00227617602427921,"original","03",0.0698027314112291,0.0326086956521739
8,"sweater",10,400,400,0,"original","03",0.0698027314112291,0
9,"sweater",1,40,0,0.0128983308042489,"original","03",0.079855842185129,0.161520190023753
9,"sweater",2,80,40,0.0127086494688923,"original","03",0.079855842185129,0.159144893111639
9,"sweater",3,120,80,0.0128983308042489,"original","03",0.079855842185129,0.161520190023753
9,"sweater",4,160,120,0.00948406676783005,"original","03",0.079855842185129,0.118764845605701
9,"sweater",5,200,160,0.00948406676783005,"original","03",0.079855842185129,0.118764845605701
9,"sweater",6,240,200,0.00948406676783005,"original","03",0.079855842185129,0.118764845605701
9,"sweater",7,280,240,0.00606980273141123,"original","03",0.079855842185129,0.0760095011876484
9,"sweater",8,320,280,0.00569044006069803,"original","03",0.079855842185129,0.0712589073634204
9,"sweater",9,360,320,0.000379362670713202,"original","03",0.079855842185129,0.00475059382422803
9,"sweater",10,400,400,0.000758725341426404,"original","03",0.079855842185129,0.00950118764845606
10,"headphones",1,30,0,0.0108446800819376,"original","03",0.0678394987347873,0.159857904085258
10,"headphones",2,60,30,0.0103626943005181,"original","03",0.0678394987347873,0.152753108348135
10,"headphones",3,90,60,0.0106036871912279,"original","03",0.0678394987347873,0.156305506216696
10,"headphones",4,120,90,0.0106036871912279,"original","03",0.0678394987347873,0.156305506216696
10,"headphones",5,150,120,0.00759127605735631,"original","03",0.0678394987347873,0.11190053285968
10,"headphones",6,180,150,0.00566333293167852,"original","03",0.0678394987347873,0.0834813499111901
10,"headphones",7,210,180,0.00506085070490421,"original","03",0.0678394987347873,0.0746003552397869
10,"headphones",8,240,210,0.00301241113387155,"original","03",0.0678394987347873,0.044404973357016
10,"headphones",9,270,240,0.00277141824316183,"original","03",0.0678394987347873,0.0408525754884547
10,"headphones",10,300,300,0.00132546089890348,"original","03",0.0678394987347873,0.019538188277087
11,"coffee maker",1,40,0,0.00707474623192864,"original","03",0.039526299600123,0.178988326848249
11,"coffee maker",2,80,40,0.00768994155644417,"original","03",0.039526299600123,0.194552529182879
11,"coffee maker",3,120,80,0.0107659181790218,"original","03",0.039526299600123,0.272373540856031
11,"coffee maker",4,160,120,0.00784374038757306,"original","03",0.039526299600123,0.198443579766537
11,"coffee maker",5,200,160,0.00430636727160874,"original","03",0.039526299600123,0.108949416342412
11,"coffee maker",6,240,200,0.0018455859735466,"original","03",0.039526299600123,0.046692607003891
11,"coffee maker",7,280,240,0,"original","03",0.039526299600123,0
11,"coffee maker",8,320,280,0,"original","03",0.039526299600123,0
11,"coffee maker",9,360,320,0,"original","03",0.039526299600123,0
11,"coffee maker",10,400,400,0,"original","03",0.039526299600123,0
12,"coffee maker",1,40,0,0.0149184866195017,"original","03",0.0353737311596432,0.421739130434783
