"Iteration","Chain","type","label","dollar_amount","object","value"
1,1,"concrete","endorsement","350","laptop",0.126890730802229
2,1,"concrete","endorsement","350","laptop",0.126890730802229
3,1,"concrete","endorsement","350","laptop",0.126890730802229
4,1,"concrete","endorsement","350","laptop",0.126890730802229
5,1,"concrete","endorsement","350","laptop",0.12960004526892
6,1,"concrete","endorsement","350","laptop",0.226074658689993
7,1,"concrete","endorsement","350","laptop",0.226074658689993
8,1,"concrete","endorsement","350","laptop",0.114530138017994
9,1,"concrete","endorsement","350","laptop",0.114530138017994
10,1,"concrete","endorsement","350","laptop",0.205069883623548
11,1,"concrete","endorsement","350","laptop",0.196795939276735
12,1,"concrete","endorsement","350","laptop",0.251661016571438
13,1,"concrete","endorsement","350","laptop",0.207253911863955
14,1,"concrete","endorsement","350","laptop",0.207253911863955
15,1,"concrete","endorsement","350","laptop",0.228875010110659
16,1,"concrete","endorsement","350","laptop",0.23650931897765
17,1,"concrete","endorsement","350","laptop",0.193541833335632
18,1,"concrete","endorsement","350","laptop",0.200044411388128
19,1,"concrete","endorsement","350","laptop",0.200044411388128
20,1,"concrete","endorsement","350","laptop",0.200044411388128
21,1,"concrete","endorsement","350","laptop",0.200044411388128
22,1,"concrete","endorsement","350","laptop",0.200044411388128
23,1,"concrete","endorsement","350","laptop",0.235573388263888
24,1,"concrete","endorsement","350","laptop",0.18017093566466
25,1,"concrete","endorsement","350","laptop",0.18781825499159
26,1,"concrete","endorsement","350","laptop",0.263552117808338
27,1,"concrete","endorsement","350","laptop",0.341015361481206
28,1,"concrete","endorsement","350","laptop",0.341015361481206
29,1,"concrete","endorsement","350","laptop",0.341015361481206
30,1,"concrete","endorsement","350","laptop",0.367168165037543
31,1,"concrete","endorsement","350","laptop",0.367168165037543
32,1,"concrete","endorsement","350","laptop",0.248202521361093
33,1,"concrete","endorsement","350","laptop",0.296206367847356
34,1,"concrete","endorsement","350","laptop",0.3268982910725
35,1,"concrete","endorsement","350","laptop",0.3268982910725
36,1,"concrete","endorsement","350","laptop",0.293015750153541
37,1,"concrete","endorsement","350","laptop",0.293015750153541
38,1,"concrete","endorsement","350","laptop",0.293015750153541
39,1,"concrete","endorsement","350","laptop",0.304023313356449
40,1,"concrete","endorsement","350","laptop",0.304023313356449
41,1,"concrete","endorsement","350","laptop",0.318751693114971
42,1,"concrete","endorsement","350","laptop",0.297621416605594
43,1,"concrete","endorsement","350","laptop",0.423485667705951
44,1,"concrete","endorsement","350","laptop",0.337515720489638
45,1,"concrete","endorsement","350","laptop",0.339117044329775
46,1,"concrete","endorsement","350","laptop",0.339117044329775
47,1,"concrete","endorsement","350","laptop",0.306137334189295
48,1,"concrete","endorsement","350","laptop",0.306137334189295
49,1,"concrete","endorsement","350","laptop",0.306137334189295
50,1,"concrete","endorsement","350","laptop",0.353277824993355
1,1,"concrete","endorsement","600","laptop",0.269732577696928
2,1,"concrete","endorsement","600","laptop",0.269732577696928
3,1,"concrete","endorsement","600","laptop",0.269732577696928
4,1,"concrete","endorsement","600","laptop",0.269732577696928
5,1,"concrete","endorsement","600","laptop",0.274341505180027
6,1,"concrete","endorsement","600","laptop",0.467648867461977
7,1,"concrete","endorsement","600","laptop",0.467648867461977
8,1,"concrete","endorsement","600","laptop",0.2741630371069
9,1,"concrete","endorsement","600","laptop",0.2741630371069
10,1,"concrete","endorsement","600","laptop",0.412160126195176
11,1,"concrete","endorsement","600","laptop",0.393604583763006
12,1,"concrete","endorsement","600","laptop",0.460963590266373
13,1,"concrete","endorsement","600","laptop",0.378109762177232
14,1,"concrete","endorsement","600","laptop",0.378109762177232
15,1,"concrete","endorsement","600","laptop",0.410645473138156
16,1,"concrete","endorsement","600","laptop",0.42695935508538
17,1,"concrete","endorsement","600","laptop",0.364532048132903
18,1,"concrete","endorsement","600","laptop",0.380387004805369
19,1,"concrete","endorsement","600","laptop",0.380387004805369
20,1,"concrete","endorsement","600","laptop",0.380387004805369
21,1,"concrete","endorsement","600","laptop",0.380387004805369
22,1,"concrete","endorsement","600","laptop",0.380387004805369
23,1,"concrete","endorsement","600","laptop",0.425531068524754
24,1,"concrete","endorsement","600","laptop",0.344617615604805
25,1,"concrete","endorsement","600","laptop",0.355176511688637
26,1,"concrete","endorsement","600","laptop",0.449609124281466
27,1,"concrete","endorsement","600","laptop",0.531408406015522
