workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.sweater-below,Answer.bike-above,Answer.headphones-below,Answer.headphones-above,Answer.cutoff,Answer.backpack-above,Answer.electric+kettle-above,Answer.watch-below,Answer.watch-above,Answer.comments,Answer.wallet-above,Answer.camera-above,Answer.age,Answer.coffee+maker-above,Answer.electric+kettle-below,Answer.backpack-below,Answer.laptop-above,Answer.bike-below,Answer.sweater-above,Answer.coffee+maker-below,Answer.language,Answer.wallet-below,Answer.laptop-below,Answer.camera-below
0,2RVZXR24SMEZFUMP0UE938P90R50HT,2PCVCNHMVHVKSB08HST7DJ79KUR13T,Insurance Inventory,Fill in missing information about items in a store.,language research stanford fun,$0.30,Tue Oct 08 08:21:39 PDT 2013,70,52,0,18,Reviewable,NotReviewed,1 cond,1200,60000,Tue Oct 08 22:00:27 PDT 2013,https://requester.mturk.com/mturk/manageHIT?HITId=2RVZXR24SMEZFUMP0UE938P90R50HT,277B0HFL42J11Q5FRFT7V0IGOZM0LT,0,Approved,Wed Oct 09 01:18:15 PDT 2013,Tue Oct 08 08:31:19 PDT 2013,Tue Oct 08 08:38:15 PDT 2013,Tue Oct 08 09:24:15 PDT 2013,,,,,30,45000,600,60000,10000,13000,11000,400,35000,"""""",20000,25000,"""28""",11000,100,100,15000,200,12500,25,"""english""",50,900,300
1,2RVZXR24SMEZFUMP0UE938P90R50HT,2PCVCNHMVHVKSB08HST7DJ79KUR13T,Insurance Inventory,Fill in missing information about items in a store.,language research stanford fun,$0.30,Tue Oct 08 08:21:39 PDT 2013,70,52,0,18,Reviewable,NotReviewed,1 cond,1200,60000,Tue Oct 08 22:00:27 PDT 2013,https://requester.mturk.com/mturk/manageHIT?HITId=2RVZXR24SMEZFUMP0UE938P90R50HT,22FQQ7Q670516CCU79TTZC1XVVNWCB,1,Approved,Wed Oct 09 01:21:02 PDT 2013,Tue Oct 08 08:33:21 PDT 2013,Tue Oct 08 08:41:02 PDT 2013,Tue Oct 08 09:24:15 PDT 2013,,,,,50,5125,20,5500,5000,5005,5500,50,5100,"""No+comments.""",5400,5800,"""37""",5600,25,25,5900,125,5400,25,"""English""",10,1000,100
2,2RVZXR24SMEZFUMP0UE938P90R50HT,2PCVCNHMVHVKSB08HST7DJ79KUR13T,Insurance Inventory,Fill in missing information about items in a store.,language research stanford fun,$0.30,Tue Oct 08 08:21:39 PDT 2013,70,52,0,18,Reviewable,NotReviewed,1 cond,1200,60000,Tue Oct 08 22:00:27 PDT 2013,https://requester.mturk.com/mturk/manageHIT?HITId=2RVZXR24SMEZFUMP0UE938P90R50HT,29EAZHHRRLFQGGNUBZ81THO9NVXNE5,2,Approved,Wed Oct 09 01:23:34 PDT 2013,Tue Oct 08 08:39:25 PDT 2013,Tue Oct 08 08:43:34 PDT 2013,Tue Oct 08 09:24:16 PDT 2013,,,,,250,3000,300,2100,2000,2100,2200,500,2500,"""When+you+know+approximate+price+ranges+it+makes+some+of+these+items+a+little+irrelevant+when+they+are+mandated+at+being+above+2000.+Maybe+a+specification+about+how+this+store+also+deals+in+exclusive+high+end+products+would+help+justify+a+2000+minimum+for+some+of+the+more+mundane+items.""",2100,2100,"""25""",2100,250,100,3000,1500,2200,150,"""English""",100,900,500
3,2RVZXR24SMEZFUMP0UE938P90R50HT,2PCVCNHMVHVKSB08HST7DJ79KUR13T,Insurance Inventory,Fill in missing information about items in a store.,language research stanford fun,$0.30,Tue Oct 08 08:21:39 PDT 2013,70,52,0,18,Reviewable,NotReviewed,1 cond,1200,60000,Tue Oct 08 22:00:27 PDT 2013,https://requester.mturk.com/mturk/manageHIT?HITId=2RVZXR24SMEZFUMP0UE938P90R50HT,2TCM05BMJTUHEO2N9X0RJ7S5516KFE,3,Approved,Wed Oct 09 01:24:26 PDT 2013,Tue Oct 08 08:42:39 PDT 2013,Tue Oct 08 08:44:26 PDT 2013,Tue Oct 08 09:24:16 PDT 2013,,,,,25,135,10,60,50,55,60,40,130,"""""",60,200,"""33""",60,40,30,300,45,65,25,"""English""",30,45,40
4,2RVZXR24SMEZFUMP0UE938P90R50HT,2PCVCNHMVHVKSB08HST7DJ79KUR13T,Insurance Inventory,Fill in missing information about items in a store.,language research stanford fun,$0.30,Tue Oct 08 08:21:39 PDT 2013,70,52,0,18,Reviewable,NotReviewed,1 cond,1200,60000,Tue Oct 08 22:00:27 PDT 2013,https://requester.mturk.com/mturk/manageHIT?HITId=2RVZXR24SMEZFUMP0UE938P90R50HT,2TX1Y7QEOZFY6K1J81DOOXRD1JNHEP,4,Approved,Wed Oct 09 01:25:10 PDT 2013,Tue Oct 08 08:38:45 PDT 2013,Tue Oct 08 08:45:10 PDT 2013,Tue Oct 08 09:24:16 PDT 2013,,,,,80,17845,45,17436,10000,17466,16470,8624,14149,"""""",86420,13840,"""52""",15179,36,60,12967,82,14056,79,"""english""",33,2863,489
5,2RVZXR24SMEZFUMP0UE938P90R50HT,2PCVCNHMVHVKSB08HST7DJ79KUR13T,Insurance Inventory,Fill in missing information about items in a store.,language research stanford fun,$0.30,Tue Oct 08 08:21:39 PDT 2013,70,52,0,18,Reviewable,NotReviewed,1 cond,1200,60000,Tue Oct 08 22:00:27 PDT 2013,https://requester.mturk.com/mturk/manageHIT?HITId=2RVZXR24SMEZFUMP0UE938P90R50HT,23EOFXRDS4ICH6YK35AFV11ABX0XUF,5,Approved,Wed Oct 09 01:29:26 PDT 2013,Tue Oct 08 08:47:28 PDT 2013,Tue Oct 08 08:49:26 PDT 2013,Tue Oct 08 09:24:15 PDT 2013,,,,,25,7500,100,3000,2000,2500,2300,300,7000,"""""",3200,8000,"""28""",3200,70,50,6000,600,2100,75,"""English""",50,1500,1700
6,2RVZXR24SMEZFUMP0UE938P90R50HT,2PCVCNHMVHVKSB08HST7DJ79KUR13T,Insurance Inventory,Fill in missing information about items in a store.,language research stanford fun,$0.30,Tue Oct 08 08:21:39 PDT 2013,70,52,0,18,Reviewable,NotReviewed,1 cond,1200,60000,Tue Oct 08 22:00:27 PDT 2013,https://requester.mturk.com/mturk/manageHIT?HITId=2RVZXR24SMEZFUMP0UE938P90R50HT,2C21QP6AUC26T86ET9O340FK9RU81J,6,Approved,Wed Oct 09 01:29:33 PDT 2013,Tue Oct 08 08:48:05 PDT 2013,Tue Oct 08 08:49:33 PDT 2013,Tue Oct 08 09:24:15 PDT 2013,,,,,50,2500,250,2010,2000,3000,2500,500,5000,"""""",2050,3000,"""33""",5000,200,200,2500,500,2200,400,"""english""",500,1900,250
7,2RVZXR24SMEZFUMP0UE938P90R50HT,2PCVCNHMVHVKSB08HST7DJ79KUR13T,Insurance Inventory,Fill in missing information about items in a store.,language research stanford fun,$0.30,Tue Oct 08 08:21:39 PDT 2013,70,52,0,18,Reviewable,NotReviewed,1 cond,1200,60000,Tue Oct 08 22:00:27 PDT 2013,https://requester.mturk.com/mturk/manageHIT?HITId=2RVZXR24SMEZFUMP0UE938P90R50HT,2DI0JG5TYMNCCQBBPN0S1SHXAGPLHH,7,Approved,Wed Oct 09 01:30:22 PDT 2013,Tue Oct 08 08:48:17 PDT 2013,Tue Oct 08 08:50:22 PDT 2013,Tue Oct 08 09:24:16 PDT 2013,,,,,60,700,80,550,500,501,501,40,600,"""""",501,1000,"""22""",2000,35,50,900,400,501,60,"""English""",50,450,200
8,2RVZXR24SMEZFUMP0UE938P90R50HT,2PCVCNHMVHVKSB08HST7DJ79KUR13T,Insurance Inventory,Fill in missing information about items in a store.,language research stanford fun,$0.30,Tue Oct 08 08:21:39 PDT 2013,70,52,0,18,Reviewable,NotReviewed,1 cond,1200,60000,Tue Oct 08 22:00:27 PDT 2013,https://requester.mturk.com/mturk/manageHIT?HITId=2RVZXR24SMEZFUMP0UE938P90R50HT,2CI45UUKQOYG3AW830ZOP010G71WE5,8,Approved,Wed Oct 09 01:35:01 PDT 2013,Tue Oct 08 08:51:57 PDT 2013,Tue Oct 08 08:55:01 PDT 2013,Tue Oct 08 09:24:16 PDT 2013,,,,,75,1300,35,1100,1000,1600,1500,125,1200,"""""",1200,1500,"""29""",1300,500,125,1250,130,1300,150,"""English""",50,800,575
9,2RVZXR24SMEZFUMP0UE938P90R50HT,2PCVCNHMVHVKSB08HST7DJ79KUR13T,Insurance Inventory,Fill in missing information about items in a store.,language research stanford fun,$0.30,Tue Oct 08 08:21:39 PDT 2013,70,52,0,18,Reviewable,NotReviewed,1 cond,1200,60000,Tue Oct 08 22:00:27 PDT 2013,https://requester.mturk.com/mturk/manageHIT?HITId=2RVZXR24SMEZFUMP0UE938P90R50HT,280TNKIMZSM507HZIWD0YGVFCXTCZJ,9,Approved,Wed Oct 09 01:45:39 PDT 2013,Tue Oct 08 09:04:09 PDT 2013,Tue Oct 08 09:05:39 PDT 2013,Tue Oct 08 09:24:16 PDT 2013,,,,,80,800,35,550,500,600,550,200,600,"""""",505,850,"""35""",501,25,50,900,200,560,30,"""English""",30,450,60
