"workerid","qnumber","qtype","condition","item","response","lower","upper"
"10",0,"bins","prior","sweater",0,0,"3"
"10",0,"bins","prior","sweater",0,3,"6"
"10",0,"bins","prior","sweater",0,6,"9"
"10",0,"bins","prior","sweater",0,9,"12"
"10",0,"bins","prior","sweater",0,12,"15"
"10",0,"bins","prior","sweater",0.44,15,"18"
"10",0,"bins","prior","sweater",0.74,18,"21"
"10",0,"bins","prior","sweater",1,21,"24"
"10",0,"bins","prior","sweater",0.71,24,"27"
"10",0,"bins","prior","sweater",0.56,27,"30"
"10",0,"bins","prior","sweater",0.54,30,"33"
"10",0,"bins","prior","sweater",0.53,33,"36"
"10",0,"bins","prior","sweater",0.53,36,"39"
"10",0,"bins","prior","sweater",0.53,39,"42"
"10",0,"bins","prior","sweater",0.52,42,"45"
"10",0,"bins","prior","sweater",0.53,45,"48"
"10",0,"bins","prior","sweater",0.33,48,"51"
"10",0,"bins","prior","sweater",0.14,51,"54"
"10",0,"bins","prior","sweater",0,54,"57"
"10",0,"bins","prior","sweater",0,57,"60"
"10",0,"bins","prior","sweater",0,60,"63"
"10",0,"bins","prior","sweater",0,63,"66"
"10",0,"bins","prior","sweater",0,66,"69"
"10",0,"bins","prior","sweater",0.01,69,"72"
"10",0,"bins","prior","sweater",0,72,"75"
"10",0,"bins","prior","sweater",0,75,"78"
"10",0,"bins","prior","sweater",0,78,"81"
"10",0,"bins","prior","sweater",0,81,"84"
"10",0,"bins","prior","sweater",0,84,"87"
"10",0,"bins","prior","sweater",0,87,"90"
"10",0,"bins","prior","sweater",0,90,"93"
"10",0,"bins","prior","sweater",0,93,"96"
"10",0,"bins","prior","sweater",0,96,"99"
"10",0,"bins","prior","sweater",0,99,"102"
"10",0,"bins","prior","sweater",0,102,"105"
"10",0,"bins","prior","sweater",0,105,"108"
"10",0,"bins","prior","sweater",0,108,"111"
"10",0,"bins","prior","sweater",0,111,"114"
"10",0,"bins","prior","sweater",0,114,"117"
"10",0,"bins","prior","sweater",0,117,"120"
"10",0,"bins","prior","sweater",0,120,"123"
"10",0,"bins","prior","sweater",0,123,"126"
"10",0,"bins","prior","sweater",0,126,"129"
"10",0,"bins","prior","sweater",0,129,"132"
"10",0,"bins","prior","sweater",0,132,"135"
"10",0,"bins","prior","sweater",0,135,"138"
"10",0,"bins","prior","sweater",0,138,"141"
"10",0,"bins","prior","sweater",0,141,"144"
"10",0,"bins","prior","sweater",0,144,"147"
"10",0,"bins","prior","sweater",0,147,"150"
"10",0,"bins","prior","sweater",0,150,"153"
"10",0,"bins","prior","sweater",0,153,"156"
"10",0,"bins","prior","sweater",0,156,"159"
"10",0,"bins","prior","sweater",0,159,"162"
"10",0,"bins","prior","sweater",0,162,"165"
"10",0,"bins","prior","sweater",0,165,"168"
"10",0,"bins","prior","sweater",0,168,"171"
"10",0,"bins","prior","sweater",0,171,"174"
"10",0,"bins","prior","sweater",0,174,"177"
"10",0,"bins","prior","sweater",0,177,"180"
"10",0,"bins","prior","sweater",0,180,"183"
"10",0,"bins","prior","sweater",0,183,"186"
"10",0,"bins","prior","sweater",0,186,"189"
"10",0,"bins","prior","sweater",0,189,"192"
"10",0,"bins","prior","sweater",0,192,"195"
"10",0,"bins","prior","sweater",0,195,"198"
"10",0,"bins","prior","sweater",0,198,"201"
"10",0,"bins","prior","sweater",0,201,"204"
"10",0,"bins","prior","sweater",0,204,"207"
"10",0,"bins","prior","sweater",0,207,"210"
"10",0,"bins","prior","sweater",0,210,"213"
"10",0,"bins","prior","sweater",0,213,"216"
"10",0,"bins","prior","sweater",0,216,"219"
"10",0,"bins","prior","sweater",0,219,"222"
"10",0,"bins","prior","sweater",0,222,"225"
"10",0,"bins","prior","sweater",0,225,"228"
"10",0,"bins","prior","sweater",0,228,"231"
"10",0,"bins","prior","sweater",0,231,"234"
"10",0,"bins","prior","sweater",0,234,"237"
"10",0,"bins","prior","sweater",0,237,"infty"
"11",0,"bins","prior","coffee maker",0,0,"4"
"11",0,"bins","prior","coffee maker",0,4,"8"
"11",0,"bins","prior","coffee maker",0.15,8,"12"
"11",0,"bins","prior","coffee maker",0.24,12,"16"
"11",0,"bins","prior","coffee maker",0.34,16,"20"
"11",0,"bins","prior","coffee maker",0.44,20,"24"
"11",0,"bins","prior","coffee maker",0.5,24,"28"
"11",0,"bins","prior","coffee maker",0.57,28,"32"
"11",0,"bins","prior","coffee maker",0.58,32,"36"
"11",0,"bins","prior","coffee maker",0.6,36,"40"
"11",0,"bins","prior","coffee maker",0.58,40,"44"
"11",0,"bins","prior","coffee maker",0.58,44,"48"
"11",0,"bins","prior","coffee maker",0.58,48,"52"
"11",0,"bins","prior","coffee maker",0.5,52,"56"
"11",0,"bins","prior","coffee maker",0.47,56,"60"
"11",0,"bins","prior","coffee maker",0.44,60,"64"
"11",0,"bins","prior","coffee maker",0.44,64,"68"
"11",0,"bins","prior","coffee maker",0.44,68,"72"
"11",0,"bins","prior","coffee maker",0.41,72,"76"
"11",0,"bins","prior","coffee maker",0.42,76,"80"
"11",0,"bins","prior","coffee maker",0.43,80,"84"
"11",0,"bins","prior","coffee maker",0.43,84,"88"
"11",0,"bins","prior","coffee maker",0.4,88,"92"
"11",0,"bins","prior","coffee maker",0.36,92,"96"
"11",0,"bins","prior","coffee maker",0.33,96,"100"
"11",0,"bins","prior","coffee maker",0.31,100,"104"
"11",0,"bins","prior","coffee maker",0.29,104,"108"
"11",0,"bins","prior","coffee maker",0.27,108,"112"
"11",0,"bins","prior","coffee maker",0.24,112,"116"
"11",0,"bins","prior","coffee maker",0.21,116,"120"
"11",0,"bins","prior","coffee maker",0.26,120,"124"
"11",0,"bins","prior","coffee maker",0.23,124,"128"
"11",0,"bins","prior","coffee maker",0.2,128,"132"
"11",0,"bins","prior","coffee maker",0.17,132,"136"
"11",0,"bins","prior","coffee maker",0.15,136,"140"
"11",0,"bins","prior","coffee maker",0.14,140,"144"
"11",0,"bins","prior","coffee maker",0.13,144,"148"
"11",0,"bins","prior","coffee maker",0.1,148,"152"
"11",0,"bins","prior","coffee maker",0.09,152,"156"
"11",0,"bins","prior","coffee maker",0.08,156,"160"
"11",0,"bins","prior","coffee maker",0.06,160,"164"
"11",0,"bins","prior","coffee maker",0.06,164,"168"
"11",0,"bins","prior","coffee maker",0.06,168,"172"
"11",0,"bins","prior","coffee maker",0.05,172,"176"
"11",0,"bins","prior","coffee maker",0.06,176,"180"
"11",0,"bins","prior","coffee maker",0.06,180,"184"
"11",0,"bins","prior","coffee maker",0.06,184,"188"
"11",0,"bins","prior","coffee maker",0.06,188,"192"
"11",0,"bins","prior","coffee maker",0.06,192,"196"
"11",0,"bins","prior","coffee maker",0.07,196,"200"
"11",0,"bins","prior","coffee maker",0.05,200,"204"
"11",0,"bins","prior","coffee maker",0.05,204,"208"
"11",0,"bins","prior","coffee maker",0.05,208,"212"
"11",0,"bins","prior","coffee maker",0.05,212,"216"
"11",0,"bins","prior","coffee maker",0.05,216,"220"
"11",0,"bins","prior","coffee maker",0.05,220,"224"
"11",0,"bins","prior","coffee maker",0.05,224,"228"
"11",0,"bins","prior","coffee maker",0.05,228,"232"
"11",0,"bins","prior","coffee maker",0.05,232,"236"
