"workerid","domain","condition","item","lowers","uppers","responses"
"0","height","posterior","building",0,10,0.03
"0","height","posterior","building",10,20,0.25
"0","height","posterior","building",20,30,0.27
"0","height","posterior","building",30,40,0.5
"0","height","posterior","building",40,50,0.5
"0","height","posterior","building",50,60,0.5
"0","height","posterior","building",60,70,0.5
"0","height","posterior","building",70,80,0.29
"0","height","posterior","building",80,90,0.33
"0","height","posterior","building",90,100,0.36
"0","height","posterior","building",100,110,0.5
"0","height","posterior","building",110,120,0.31
"0","height","posterior","building",120,130,0.3
"0","height","posterior","building",130,140,0.31
"0","height","posterior","building",140,150,0.31
"0","height","posterior","building",150,160,0.29
"0","height","posterior","building",160,170,0.29
"0","height","posterior","building",170,180,0.29
"0","height","posterior","building",180,190,0.28
"0","height","posterior","building",190,NA,0.27
"1","height","prior","tree",0,5,0.14
"1","height","prior","tree",5,10,0.75
"1","height","prior","tree",10,15,1
"1","height","prior","tree",15,20,1
"1","height","prior","tree",20,25,1
"1","height","prior","tree",25,30,0.83
"1","height","prior","tree",30,35,0.63
"1","height","prior","tree",35,40,0.46
"1","height","prior","tree",40,45,0.22
"1","height","prior","tree",45,50,0.13
"1","height","prior","tree",50,55,0.08
"1","height","prior","tree",55,60,0
"1","height","prior","tree",60,65,0
"1","height","prior","tree",65,70,0
"1","height","prior","tree",70,75,0
"1","height","prior","tree",75,80,0
"1","height","prior","tree",80,85,0
"1","height","prior","tree",85,90,0
"1","height","prior","tree",90,95,0
"1","height","prior","tree",95,NA,0
"2","height","posterior","building",0,10,0.05
"2","height","posterior","building",10,20,0.04
"2","height","posterior","building",20,30,0.27
"2","height","posterior","building",30,40,0.29
"2","height","posterior","building",40,50,0.46
"2","height","posterior","building",50,60,0.48
"2","height","posterior","building",60,70,0.47
"2","height","posterior","building",70,80,0.48
"2","height","posterior","building",80,90,0.36
"2","height","posterior","building",90,100,0.36
"2","height","posterior","building",100,110,0.31
"2","height","posterior","building",110,120,0.31
"2","height","posterior","building",120,130,0.33
"2","height","posterior","building",130,140,0.32
"2","height","posterior","building",140,150,0.33
"2","height","posterior","building",150,160,0.17
"2","height","posterior","building",160,170,0.16
"2","height","posterior","building",170,180,0.02
"2","height","posterior","building",180,190,0.03
"2","height","posterior","building",190,NA,0.04
"3","price","prior","watch",0,50,1
"3","price","prior","watch",50,100,0.63
"3","price","prior","watch",100,150,0.5
"3","price","prior","watch",150,200,0.28
"3","price","prior","watch",200,250,0.19
"3","price","prior","watch",250,300,0.08
"3","price","prior","watch",300,350,0
"3","price","prior","watch",350,400,0
"3","price","prior","watch",400,450,0
"3","price","prior","watch",450,500,0
"3","price","prior","watch",500,550,0
"3","price","prior","watch",550,600,0
"3","price","prior","watch",600,650,0
"3","price","prior","watch",650,700,0
"3","price","prior","watch",700,750,0
"3","price","prior","watch",750,800,0
"3","price","prior","watch",800,850,0
"3","price","prior","watch",850,900,0
"3","price","prior","watch",900,950,0
"3","price","prior","watch",950,1000,0
"3","price","prior","watch",1000,1050,0
"3","price","prior","watch",1050,1100,0
"3","price","prior","watch",1100,1150,0
"3","price","prior","watch",1150,1200,0
"3","price","prior","watch",1200,1250,0
"3","price","prior","watch",1250,1300,0
"3","price","prior","watch",1300,1350,0
"3","price","prior","watch",1350,1400,0
"3","price","prior","watch",1400,1450,0
"3","price","prior","watch",1450,1500,0
"3","price","prior","watch",1500,1550,0
"3","price","prior","watch",1550,1600,0
"3","price","prior","watch",1600,1650,0
"3","price","prior","watch",1650,1700,0
"3","price","prior","watch",1700,1750,0
"3","price","prior","watch",1750,1800,0
"3","price","prior","watch",1800,1850,0
"3","price","prior","watch",1850,1900,0
"3","price","prior","watch",1900,1950,0
"3","price","prior","watch",1950,2000,0
"3","price","prior","watch",2000,2050,0
"3","price","prior","watch",2050,2100,0
"3","price","prior","watch",2100,2150,0
"3","price","prior","watch",2150,2200,0
"3","price","prior","watch",2200,2250,0
"3","price","prior","watch",2250,2300,0
"3","price","prior","watch",2300,2350,0
