"","item","price"
"1","coffee.maker",49.99
"2","coffee.maker",35
"3","coffee.maker",19.99
"4","coffee.maker",35
"5","coffee.maker",29.99
"6","coffee.maker",39.99
"7","coffee.maker",85
"8","coffee.maker",30.99
"9","coffee.maker",20
"10","coffee.maker",29.99
"11","coffee.maker",45.95
"12","coffee.maker",30
"13","coffee.maker",75
"14","coffee.maker",50
"15","coffee.maker",35.99
"16","coffee.maker",49.99
"17","coffee.maker",23
"18","coffee.maker",29.99
"19","coffee.maker",30
"20","coffee.maker",50
"21","coffee.maker",35
"22","coffee.maker",10.99
"23","coffee.maker",35.5
"24","coffee.maker",14.99
"25","coffee.maker",19.99
"26","coffee.maker",30
"27","coffee.maker",30
"28","coffee.maker",39.99
"29","coffee.maker",111.98
"30","coffee.maker",34.99
"31","coffee.maker",24.99
"32","coffee.maker",32.99
"33","coffee.maker",49.99
"34","coffee.maker",19.99
"35","coffee.maker",8.5
"36","coffee.maker",30
"37","coffee.maker",25.5
"38","coffee.maker",19.99
"39","coffee.maker",39.99
"40","coffee.maker",100
"41","coffee.maker",30
"42","coffee.maker",60.38
"43","coffee.maker",24.99
"44","coffee.maker",24.99
"45","coffee.maker",40
"46","coffee.maker",19.95
"47","coffee.maker",30
"48","coffee.maker",35.99
"49","coffee.maker",109.99
"50","coffee.maker",39.99
"51","coffee.maker",58.75
"52","coffee.maker",40
"53","coffee.maker",39.99
"54","coffee.maker",35.99
"55","coffee.maker",30
"56","coffee.maker",35.21
"57","coffee.maker",39.99
"58","coffee.maker",20.59
"59","coffee.maker",60
"60","coffee.maker",30.99
"61","coffee.maker",20
"62","coffee.maker",35.99
"63","coffee.maker",45.99
"64","coffee.maker",40
"65","coffee.maker",70
"66","coffee.maker",45
"67","coffee.maker",49.5
"68","coffee.maker",30.99
"69","coffee.maker",70.99
"70","coffee.maker",20.5
"71","coffee.maker",60
"72","coffee.maker",15.99
"73","coffee.maker",40
"74","coffee.maker",15
"75","coffee.maker",29.99
"76","coffee.maker",38.99
"77","coffee.maker",25
"78","coffee.maker",29.99
"79","coffee.maker",20
"80","coffee.maker",30
"81","coffee.maker",29.95
"82","coffee.maker",55
"83","coffee.maker",49.99
"84","coffee.maker",40
"85","coffee.maker",29.95
"86","coffee.maker",15.99
"87","coffee.maker",79.99
"88","coffee.maker",79.99
"89","coffee.maker",24.99
"90","coffee.maker",35
"91","coffee.maker",70.41
"92","coffee.maker",15
"93","coffee.maker",45.99
"94","coffee.maker",24.99
"95","coffee.maker",50.99
"96","coffee.maker",30
"97","coffee.maker",20
"98","coffee.maker",25
"99","coffee.maker",25
"100","coffee.maker",20
"101","coffee.maker",29.99
"102","coffee.maker",25.99
"103","coffee.maker",29.99
"104","coffee.maker",25
"105","coffee.maker",35.99
"106","coffee.maker",23.18
"107","coffee.maker",27.89
"108","coffee.maker",75
"109","coffee.maker",29.99
"110","coffee.maker",19.99
"111","coffee.maker",40
"112","coffee.maker",35
"113","coffee.maker",24.99
"114","coffee.maker",19.99
"115","coffee.maker",14.99
"116","coffee.maker",44.77
"117","coffee.maker",15.99
"118","coffee.maker",25.95
"119","coffee.maker",75
"120","coffee.maker",89.99
"121","coffee.maker",60
"122","coffee.maker",39.99
"123","coffee.maker",20.99
"124","coffee.maker",149.99
"125","coffee.maker",73
"126","coffee.maker",45.99
"127","electric.kettle",35.99
"128","electric.kettle",45
"129","electric.kettle",15
"130","electric.kettle",45
