workerid,object,bin,UB,LB,rating,condition,exp,slider_total,normed_rating
0,sweater,1,40,0,1,original,03,2.5,0.4
0,sweater,2,80,40,0.66,original,03,2.5,0.264
0,sweater,3,120,80,0.57,original,03,2.5,0.22799999999999998
0,sweater,4,160,120,0.25,original,03,2.5,0.1
0,sweater,5,200,160,0,original,03,2.5,0
0,sweater,6,240,200,0,original,03,2.5,0
0,sweater,7,280,240,0,original,03,2.5,0
0,sweater,8,320,280,0,original,03,2.5,0
0,sweater,9,360,320,0.01,original,03,2.5,0.004
0,sweater,10,Inf,400,0.01,original,03,2.5,0.004
1,coffee maker,1,40,0,0.82,original,03,2.79,0.2939068100358423
1,coffee maker,2,80,40,0.7,original,03,2.79,0.25089605734767023
1,coffee maker,3,120,80,0.65,original,03,2.79,0.23297491039426524
1,coffee maker,4,160,120,0.3,original,03,2.79,0.1075268817204301
1,coffee maker,5,200,160,0.25,original,03,2.79,0.08960573476702509
1,coffee maker,6,240,200,0,original,03,2.79,0
1,coffee maker,7,280,240,0.02,original,03,2.79,0.007168458781362007
1,coffee maker,8,320,280,0.03,original,03,2.79,0.01075268817204301
1,coffee maker,9,360,320,0.01,original,03,2.79,0.0035842293906810036
1,coffee maker,10,Inf,400,0.01,original,03,2.79,0.0035842293906810036
2,laptop,1,560,0,0.6,original,03,2.9899999999999998,0.20066889632107024
2,laptop,2,1120,560,0.58,original,03,2.9899999999999998,0.1939799331103679
2,laptop,3,1680,1120,0.46,original,03,2.9899999999999998,0.15384615384615385
2,laptop,4,2240,1680,0.41,original,03,2.9899999999999998,0.13712374581939799
2,laptop,5,2800,2240,0.36,original,03,2.9899999999999998,0.12040133779264214
2,laptop,6,3360,2800,0.27,original,03,2.9899999999999998,0.09030100334448161
2,laptop,7,3920,3360,0.21,original,03,2.9899999999999998,0.07023411371237459
2,laptop,8,4480,3920,0.06,original,03,2.9899999999999998,0.020066889632107024
2,laptop,9,5040,4480,0.04,original,03,2.9899999999999998,0.013377926421404684
2,laptop,10,Inf,5000,0,original,03,2.9899999999999998,0
3,coffee maker,1,40,0,1,original,03,4.99,0.2004008016032064
3,coffee maker,2,80,40,0.83,original,03,4.99,0.1663326653306613
3,coffee maker,3,120,80,0.67,original,03,4.99,0.1342685370741483
3,coffee maker,4,160,120,0.56,original,03,4.99,0.11222444889779559
3,coffee maker,5,200,160,0.5,original,03,4.99,0.1002004008016032
3,coffee maker,6,240,200,0.5,original,03,4.99,0.1002004008016032
3,coffee maker,7,280,240,0.38,original,03,4.99,0.07615230460921843
3,coffee maker,8,320,280,0.26,original,03,4.99,0.052104208416833664
3,coffee maker,9,360,320,0.17,original,03,4.99,0.03406813627254509
3,coffee maker,10,Inf,400,0.12,original,03,4.99,0.02404809619238477
4,watch,1,60,0,1,original,03,2.6,0.3846153846153846
4,watch,2,120,60,0.77,original,03,2.6,0.29615384615384616
4,watch,3,180,120,0.53,original,03,2.6,0.20384615384615384
4,watch,4,240,180,0.28,original,03,2.6,0.1076923076923077
4,watch,5,300,240,0,original,03,2.6,0
4,watch,6,360,300,0,original,03,2.6,0
4,watch,7,420,360,0,original,03,2.6,0
4,watch,8,480,420,0,original,03,2.6,0
4,watch,9,540,480,0,original,03,2.6,0
