"","price","object"
"1",49.99,"coffee maker"
"2",35,"coffee maker"
"3",19.99,"coffee maker"
"4",35,"coffee maker"
"5",29.99,"coffee maker"
"6",39.99,"coffee maker"
"7",85,"coffee maker"
"8",30.99,"coffee maker"
"9",20,"coffee maker"
"10",29.99,"coffee maker"
"11",45.95,"coffee maker"
"12",30,"coffee maker"
"13",75,"coffee maker"
"14",50,"coffee maker"
"15",35.99,"coffee maker"
"16",49.99,"coffee maker"
"17",23,"coffee maker"
"18",29.99,"coffee maker"
"19",30,"coffee maker"
"20",50,"coffee maker"
"21",35,"coffee maker"
"22",10.99,"coffee maker"
"23",35.5,"coffee maker"
"24",14.99,"coffee maker"
"25",19.99,"coffee maker"
"26",30,"coffee maker"
"27",30,"coffee maker"
"28",39.99,"coffee maker"
"29",111.98,"coffee maker"
"30",34.99,"coffee maker"
"31",24.99,"coffee maker"
"32",32.99,"coffee maker"
"33",49.99,"coffee maker"
"34",19.99,"coffee maker"
"35",8.5,"coffee maker"
"36",30,"coffee maker"
"37",25.5,"coffee maker"
"38",19.99,"coffee maker"
"39",39.99,"coffee maker"
"40",100,"coffee maker"
"41",30,"coffee maker"
"42",60.38,"coffee maker"
"43",24.99,"coffee maker"
"44",24.99,"coffee maker"
"45",40,"coffee maker"
"46",19.95,"coffee maker"
"47",30,"coffee maker"
"48",35.99,"coffee maker"
"49",109.99,"coffee maker"
"50",39.99,"coffee maker"
"51",58.75,"coffee maker"
"52",40,"coffee maker"
"53",39.99,"coffee maker"
"54",35.99,"coffee maker"
"55",30,"coffee maker"
"56",35.21,"coffee maker"
"57",39.99,"coffee maker"
"58",20.59,"coffee maker"
"59",60,"coffee maker"
"60",30.99,"coffee maker"
"61",20,"coffee maker"
"62",35.99,"coffee maker"
"63",45.99,"coffee maker"
"64",40,"coffee maker"
"65",70,"coffee maker"
"66",45,"coffee maker"
"67",49.5,"coffee maker"
"68",30.99,"coffee maker"
"69",70.99,"coffee maker"
"70",20.5,"coffee maker"
"71",60,"coffee maker"
"72",15.99,"coffee maker"
"73",40,"coffee maker"
"74",15,"coffee maker"
"75",29.99,"coffee maker"
"76",38.99,"coffee maker"
"77",25,"coffee maker"
"78",29.99,"coffee maker"
"79",20,"coffee maker"
"80",30,"coffee maker"
"81",29.95,"coffee maker"
"82",55,"coffee maker"
"83",49.99,"coffee maker"
"84",40,"coffee maker"
"85",29.95,"coffee maker"
"86",15.99,"coffee maker"
"87",79.99,"coffee maker"
"88",79.99,"coffee maker"
"89",24.99,"coffee maker"
"90",35,"coffee maker"
"91",70.41,"coffee maker"
"92",15,"coffee maker"
"93",45.99,"coffee maker"
"94",24.99,"coffee maker"
"95",50.99,"coffee maker"
"96",30,"coffee maker"
"97",20,"coffee maker"
"98",25,"coffee maker"
"99",25,"coffee maker"
"100",20,"coffee maker"
"101",29.99,"coffee maker"
"102",25.99,"coffee maker"
"103",29.99,"coffee maker"
"104",25,"coffee maker"
"105",35.99,"coffee maker"
"106",23.18,"coffee maker"
"107",27.89,"coffee maker"
"108",75,"coffee maker"
"109",29.99,"coffee maker"
"110",19.99,"coffee maker"
"111",40,"coffee maker"
"112",35,"coffee maker"
"113",24.99,"coffee maker"
"114",19.99,"coffee maker"
"115",14.99,"coffee maker"
"116",44.77,"coffee maker"
"117",15.99,"coffee maker"
"118",25.95,"coffee maker"
"119",75,"coffee maker"
"120",89.99,"coffee maker"
"121",60,"coffee maker"
"122",39.99,"coffee maker"
"123",20.99,"coffee maker"
"124",149.99,"coffee maker"
"125",73,"coffee maker"
"126",45.99,"coffee maker"
"127",18.99,"headphones"
"128",10,"headphones"
"129",300,"headphones"
"130",40,"headphones"
"131",99.99,"headphones"
"132",19,"headphones"
"133",25,"headphones"
"134",44.99,"headphones"
"135",125,"headphones"
"136",9.99,"headphones"
"137",21.99,"headphones"
"138",9.99,"headphones"
"139",35,"headphones"
"140",12.49,"headphones"
"141",15.99,"headphones"
"142",19.99,"headphones"
"143",10,"headphones"
"144",14.99,"headphones"
"145",25,"headphones"
"146",24.99,"headphones"
"147",25,"headphones"
"148",24.99,"headphones"
"149",20,"headphones"
"150",14.99,"headphones"
"151",11.99,"headphones"
"152",25.99,"headphones"
"153",20,"headphones"
"154",14.59,"headphones"
"155",8.99,"headphones"
"156",29.99,"headphones"
"157",59.99,"headphones"
"158",30,"headphones"
"159",59.99,"headphones"
"160",29.99,"headphones"
"161",25,"headphones"
"162",25,"headphones"
"163",19.99,"headphones"
"164",19.99,"headphones"
"165",29.99,"headphones"
"166",15.25,"headphones"
"167",6,"headphones"
"168",28.5,"headphones"
"169",27.99,"headphones"
"170",49.99,"headphones"
"171",50,"headphones"
"172",24.95,"headphones"
"173",35,"headphones"
"174",19.99,"headphones"
"175",24.99,"headphones"
"176",60,"headphones"
"177",30.48,"headphones"
"178",20,"headphones"
"179",29.99,"headphones"
"180",25.99,"headphones"
"181",50,"headphones"
"182",10.13,"headphones"
"183",19.99,"headphones"
"184",20.99,"headphones"
"185",25,"headphones"
"186",20.5,"headphones"
"187",15,"headphones"
"188",19.99,"headphones"
"189",25,"headphones"
"190",25,"headphones"
"191",8.99,"headphones"
"192",89.99,"headphones"
"193",9.99,"headphones"
"194",3.99,"headphones"
"195",70.79,"headphones"
"196",25,"headphones"
"197",30,"headphones"
"198",30.2,"headphones"
"199",49.99,"headphones"
"200",30,"headphones"
"201",19.99,"headphones"
"202",35,"headphones"
"203",10,"headphones"
"204",19.99,"headphones"
"205",20,"headphones"
"206",20,"headphones"
