"workerid","reward","comments","age","language","qNumber","qtype","dollar_amount","sigs","object","response","rt","level","id","date","phrasing"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",0,"inductive",100,0.5,"laptop",8,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",1,"inductive",15,1,"sweater",7,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",2,"concrete",60,2,"sweater",5,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",3,"inductive",20,1,"coffee maker",7,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",4,"inductive",0.15,0.01,"watch",8,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",5,"concrete",60,2,"watch",5,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",6,"inductive",11,0.5,"coffee maker",6,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",7,"concrete",1100,2,"laptop",5,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",8,"concrete",100,3,"headphones",7,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",9,"concrete",60,1,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",10,"inductive",0.15,0.01,"sweater",7,NA,NA,"00","2013 August 27 7am","relative"
