"","workerid","reward","comments","age","language","qNumber","qtype","dollar_amount","sigs","object","response","rt","level","id","date","phrasing"
"1","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",0,"inductive",100,0.5,"laptop",8,NA,NA,"00","2013 August 27 7am","relative"
"2","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",1,"inductive",15,1,"sweater",7,NA,NA,"00","2013 August 27 7am","relative"
"3","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",2,"concrete",60,2,"sweater",5,NA,NA,"00","2013 August 27 7am","relative"
"4","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",3,"inductive",20,1,"coffee maker",7,NA,NA,"00","2013 August 27 7am","relative"
"5","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",4,"inductive",0.15,0.01,"watch",8,NA,NA,"00","2013 August 27 7am","relative"
"6","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",5,"concrete",60,2,"watch",5,NA,NA,"00","2013 August 27 7am","relative"
"7","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",6,"inductive",11,0.5,"coffee maker",6,NA,NA,"00","2013 August 27 7am","relative"
"8","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",7,"concrete",1100,2,"laptop",5,NA,NA,"00","2013 August 27 7am","relative"
"9","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",8,"concrete",100,3,"headphones",7,NA,NA,"00","2013 August 27 7am","relative"
"10","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",9,"concrete",60,1,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"11","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",10,"inductive",0.15,0.01,"sweater",7,NA,NA,"00","2013 August 27 7am","relative"
"12","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",11,"concrete",40,0,"coffee maker",7,NA,NA,"00","2013 August 27 7am","relative"
"13","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",12,"inductive",3,0.01,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"14","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",13,"inductive",8,0.5,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"15","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",14,"concrete",900,1,"laptop",6,NA,NA,"00","2013 August 27 7am","relative"
"16","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",15,"inductive",16,0.5,"headphones",8,NA,NA,"00","2013 August 27 7am","relative"
"17","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",16,"inductive",15,1,"watch",7,NA,NA,"00","2013 August 27 7am","relative"
"18","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",17,"inductive",2,0.1,"watch",9,NA,NA,"00","2013 August 27 7am","relative"
"19","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",18,"concrete",1400,3,"laptop",9,NA,NA,"00","2013 August 27 7am","relative"
"20","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",19,"concrete",100,3,"coffee maker",9,NA,NA,"00","2013 August 27 7am","relative"
"21","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",20,"concrete",80,3,"watch",4,NA,NA,"00","2013 August 27 7am","relative"
"22","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",21,"inductive",0.22,0.01,"coffee maker",5,NA,NA,"00","2013 August 27 7am","relative"
"23","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",22,"inductive",8,0.5,"sweater",7,NA,NA,"00","2013 August 27 7am","relative"
"24","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",23,"inductive",30,1,"headphones",6,NA,NA,"00","2013 August 27 7am","relative"
"25","0_00","$0.40","""it&quotechars+all+expensive+for+someone+doing+surveys+for+money""","""33""","""english""",24,"concrete",600,0,"laptop",4,NA,NA,"00","2013 August 27 7am","relative"
