"dollarAmt","qType","item","prior_version","model"
0.63,"eps","coffee maker","ebay",0.999999999999999
0.63,"eps","coffee maker","ebay",0.999999999999999
0.63,"eps","coffee maker","v4",0.999999999999999
0.63,"eps","coffee maker","v4",0.999999999999999
6,"eps","coffee maker","ebay",0.999999999999999
6,"eps","coffee maker","ebay",0.999999999999999
6,"eps","coffee maker","v4",0.963102612135716
6,"eps","coffee maker","v4",0.963102612135716
30,"eps","coffee maker","ebay",0.568463837737581
30,"eps","coffee maker","ebay",0.568463837737581
30,"eps","coffee maker","v4",0.694652162132544
30,"eps","coffee maker","v4",0.694652162132544
60,"eps","coffee maker","ebay",0.351224132528119
60,"eps","coffee maker","ebay",0.351224132528119
60,"eps","coffee maker","v4",0.432400713421473
60,"eps","coffee maker","v4",0.432400713421473
120,"val","coffee maker","ebay",0.767822248817146
120,"val","coffee maker","ebay",0.767822248817146
120,"val","coffee maker","v4",0.706844963953362
120,"val","coffee maker","v4",0.706844963953362
130,"eps","coffee maker","ebay",0.158214990293905
130,"eps","coffee maker","ebay",0.158214990293905
130,"eps","coffee maker","v4",0.122135336275462
130,"eps","coffee maker","v4",0.122135336275462
180,"val","coffee maker","ebay",0.859957435137041
180,"val","coffee maker","ebay",0.859957435137041
180,"val","coffee maker","v4",0.900645794687042
180,"val","coffee maker","v4",0.900645794687042
190,"eps","coffee maker","ebay",0.10229875790428
190,"eps","coffee maker","ebay",0.10229875790428
190,"eps","coffee maker","v4",0.0291511721788896
190,"eps","coffee maker","v4",0.0291511721788896
250,"val","coffee maker","ebay",0.906427599795482
250,"val","coffee maker","ebay",0.906427599795482
250,"val","coffee maker","v4",0.996380234121596
250,"val","coffee maker","v4",0.996380234121596
300,"val","coffee maker","ebay",0.929384117308438
300,"val","coffee maker","ebay",0.929384117308438
300,"val","coffee maker","v4",0.999999999999999
300,"val","coffee maker","v4",0.999999999999999
350,"val","coffee maker","ebay",0.947060827324738
350,"val","coffee maker","ebay",0.947060827324738
350,"val","coffee maker","v4",0.999999999999999
350,"val","coffee maker","v4",0.999999999999999
0.79,"eps","headphones","ebay",1
0.79,"eps","headphones","ebay",1
0.79,"eps","headphones","v4",1
0.79,"eps","headphones","v4",1
8,"eps","headphones","ebay",0.778451989484974
8,"eps","headphones","ebay",0.778451989484974
8,"eps","headphones","v4",0.920892845987894
8,"eps","headphones","v4",0.920892845987894
40,"eps","headphones","ebay",0.18695549963593
40,"eps","headphones","ebay",0.18695549963593
40,"eps","headphones","v4",0.647580759176046
40,"eps","headphones","v4",0.647580759176046
80,"eps","headphones","ebay",0.0297126395066998
80,"eps","headphones","ebay",0.0297126395066998
80,"eps","headphones","v4",0.396231114170135
80,"eps","headphones","v4",0.396231114170135
120,"val","headphones","ebay",0.993126841586939
120,"val","headphones","ebay",0.993126841586939
120,"val","headphones","v4",0.614249535499387
120,"val","headphones","v4",0.614249535499387
160,"eps","headphones","ebay",3.2582362461888e-05
160,"eps","headphones","ebay",3.2582362461888e-05
160,"eps","headphones","v4",0.122322344505757
