prior_version,object,price,theta,probability,utterance_cost,alpha
v4_actual,coffee maker,72,0,0.0005207773662935318,9,1
v4_actual,coffee maker,72,4,0.0005216126760699462,9,1
v4_actual,coffee maker,72,8,0.0005234190968753687,9,1
v4_actual,coffee maker,72,12,0.0005272771224915424,9,1
v4_actual,coffee maker,72,16,0.0005327098240374768,9,1
v4_actual,coffee maker,72,20,0.000539778497852641,9,1
v4_actual,coffee maker,72,24,0.000548695243512798,9,1
v4_actual,coffee maker,72,28,0.0005598052141692718,9,1
v4_actual,coffee maker,72,32,0.0005726081956436077,9,1
v4_actual,coffee maker,72,36,0.0005869812092922551,9,1
v4_actual,coffee maker,72,40,0.0006028528043566959,9,1
v4_actual,coffee maker,72,44,0.0006222265491496238,9,1
v4_actual,coffee maker,72,48,0.0006436433741508934,9,1
v4_actual,coffee maker,72,52,0.0006653723242829894,9,1
v4_actual,coffee maker,72,56,0.0006911199988211434,9,1
v4_actual,coffee maker,72,60,0.0007200971912735914,9,1
v4_actual,coffee maker,72,64,0.0007532477809543081,9,1
v4_actual,coffee maker,72,68,0.0007914406842119596,9,1
v4_actual,coffee maker,76,0,0.0005124296703754028,9,1
v4_actual,coffee maker,76,4,0.0005132515907219739,9,1
v4_actual,coffee maker,76,8,0.0005150290558688736,9,1
v4_actual,coffee maker,76,12,0.0005188252400403675,9,1
v4_actual,coffee maker,76,16,0.0005241708591909162,9,1
v4_actual,coffee maker,76,20,0.0005311262271226597,9,1
v4_actual,coffee maker,76,24,0.0005399000436039259,9,1
v4_actual,coffee maker,76,28,0.0005508319292231011,9,1
v4_actual,coffee maker,76,32,0.0005634296878841765,9,1
v4_actual,coffee maker,76,36,0.0005775723122050025,9,1
v4_actual,coffee maker,76,40,0.0005931894967325998,9,1
v4_actual,coffee maker,76,44,0.000612252693984879,9,1
v4_actual,coffee maker,76,48,0.0006333262223027453,9,1
v4_actual,coffee maker,76,52,0.0006547068726045029,9,1
v4_actual,coffee maker,76,56,0.0006800418299787503,9,1
v4_actual,coffee maker,76,60,0.0007085545383602467,9,1
v4_actual,coffee maker,76,64,0.000741173747339591,9,1
v4_actual,coffee maker,76,68,0.0007787544451458168,9,1
v4_actual,coffee maker,76,72,0.0008222660021933561,9,1
v4_actual,coffee maker,80,0,0.0005027634867147382,9,1
v4_actual,coffee maker,80,4,0.0005035699028204667,9,1
v4_actual,coffee maker,80,8,0.0005053138388695143,9,1
v4_actual,coffee maker,80,12,0.0005090384139685193,9,1
v4_actual,coffee maker,80,16,0.0005142831963809235,9,1
v4_actual,coffee maker,80,20,0.0005211073621833943,9,1
v4_actual,coffee maker,80,24,0.0005297156743497936,9,1
v4_actual,coffee maker,80,28,0.0005404413470576948,9,1
v4_actual,coffee maker,80,32,0.0005528014687200354,9,1
v4_actual,coffee maker,80,36,0.0005666773145695255,9,1
v4_actual,coffee maker,80,40,0.000581999905355516,9,1
v4_actual,coffee maker,80,44,0.0006007035052299465,9,1
v4_actual,coffee maker,80,48,0.0006213795144210405,9,1
v4_actual,coffee maker,80,52,0.0006423568522205189,9,1
v4_actual,coffee maker,80,56,0.0006672139052789721,9,1
v4_actual,coffee maker,80,60,0.0006951887660458358,9,1
v4_actual,coffee maker,80,64,0.0007271926647043922,9,1
v4_actual,coffee maker,80,68,0.0007640644614689834,9,1
v4_actual,coffee maker,80,72,0.0008067552410984753,9,1
v4_actual,coffee maker,80,76,0.0008536890686785617,9,1
v4_actual,coffee maker,68,0,0.0004990046839861571,9,1
v4_actual,coffee maker,68,4,0.0004998050710958675,9,1
v4_actual,coffee maker,68,8,0.0005015359689833302,9,1
v4_actual,coffee maker,68,12,0.0005052326981002484,9,1
v4_actual,coffee maker,68,16,0.000510438269028598,9,1
v4_actual,coffee maker,68,20,0.0005172114154278793,9,1
v4_actual,coffee maker,68,24,0.0005257553694057537,9,1
v4_actual,coffee maker,68,28,0.000536400853935904,9,1
v4_actual,coffee maker,68,32,0.0005486685678155442,9,1
v4_actual,coffee maker,68,36,0.0005624406738974902,9,1
v4_actual,coffee maker,68,40,0.0005776487086395829,9,1
v4_actual,coffee maker,68,44,0.0005962124750851746,9,1
v4_actual,coffee maker,68,48,0.0006167339045547527,9,1
v4_actual,coffee maker,68,52,0.0006375544098143979,9,1
v4_actual,coffee maker,68,56,0.0006622256244789927,9,1
v4_actual,coffee maker,68,60,0.0006899913372353889,9,1
v4_actual,coffee maker,68,64,0.0007217559656510118,9,1
v4_actual,coffee maker,84,0,0.0004847777486719918,9,1
v4_actual,coffee maker,84,4,0.0004855553162451312,9,1
v4_actual,coffee maker,84,8,0.00048723686515237096,9,1
v4_actual,coffee maker,84,12,0.0004908281982124821,9,1
v4_actual,coffee maker,84,16,0.0004958853550612697,9,1
v4_actual,coffee maker,84,20,0.0005024653948249036,9,1
v4_actual,coffee maker,84,24,0.0005107657553366855,9,1
v4_actual,coffee maker,84,28,0.0005211077304516727,9,1
v4_actual,coffee maker,84,32,0.0005330256841438451,9,1
v4_actual,coffee maker,84,36,0.0005464051388767083,9,1
v4_actual,coffee maker,84,40,0.0005611795830464543,9,1
v4_actual,coffee maker,84,44,0.0005792140849122046,9,1
