prior_version,object,price,theta,probability,utterance_cost,alpha
v4_actual,headphones,30,0,0.0000068661676808743625,9,4
v4_actual,headphones,30,6,0.000007264090676510907,9,4
v4_actual,headphones,30,12,0.000007947691639361006,9,4
v4_actual,headphones,30,18,0.000009141773756754833,9,4
v4_actual,headphones,30,24,0.000011051562693396221,9,4
v4_actual,headphones,36,0,0.000006839926524000758,9,4
v4_actual,headphones,36,6,0.000007236328735374895,9,4
v4_actual,headphones,36,12,0.000007917317108358458,9,4
v4_actual,headphones,36,18,0.00000910683567624132,9,4
v4_actual,headphones,36,24,0.000011009325771169097,9,4
v4_actual,headphones,36,30,0.000013553821950916584,9,4
v4_actual,headphones,24,0,0.000006583823874717304,9,4
v4_actual,headphones,24,6,0.0000069653838716088,9,4
v4_actual,headphones,24,12,0.000007620874466825282,9,4
v4_actual,headphones,24,18,0.00000876585471173963,9,4
v4_actual,headphones,42,0,0.00000633248306082269,9,4
v4_actual,headphones,42,6,0.000006699476811412176,9,4
v4_actual,headphones,42,12,0.000007329943720874426,9,4
v4_actual,headphones,42,18,0.000008431213764524864,9,4
v4_actual,headphones,42,24,0.000010192561091464625,9,4
v4_actual,headphones,42,30,0.00001254828507476186,9,4
v4_actual,headphones,42,36,0.000015612048033820037,9,4
v4_actual,headphones,48,0,0.0000059052000932554076,9,4
v4_actual,headphones,48,6,0.000006247431017426802,9,4
v4_actual,headphones,48,12,0.00000683535730428642,9,4
v4_actual,headphones,48,18,0.000007862319382510937,9,4
v4_actual,headphones,48,24,0.000009504820167652957,9,4
v4_actual,headphones,48,30,0.000011701592168815453,9,4
v4_actual,headphones,48,36,0.000014558628364217779,9,4
v4_actual,headphones,48,42,0.000018022944142072606,9,4
v4_actual,headphones,60,0,0.00000546011300489576,9,4
v4_actual,headphones,60,6,0.000005776549279744444,9,4
v4_actual,headphones,60,12,0.000006320162351970183,9,4
v4_actual,headphones,60,18,0.000007269720184100679,9,4
v4_actual,headphones,60,24,0.000008788422303567974,9,4
v4_actual,headphones,60,30,0.000010819619076398332,9,4
v4_actual,headphones,60,36,0.000013461314571829835,9,4
v4_actual,headphones,60,42,0.0000166645177373475,9,4
v4_actual,headphones,60,48,0.000020555838564015866,9,4
v4_actual,headphones,60,54,0.000025134760656724664,9,4
v4_actual,headphones,54,0,0.000005375797575205145,9,4
v4_actual,headphones,54,6,0.000005687347419963529,9,4
v4_actual,headphones,54,12,0.000006222565982821228,9,4
v4_actual,headphones,54,18,0.0000071574606794890724,9,4
v4_actual,headphones,54,24,0.00000865271089939676,9,4
v4_actual,headphones,54,30,0.000010652541796001896,9,4
v4_actual,headphones,54,36,0.00001325344405315988,9,4
v4_actual,headphones,54,42,0.00001640718314146063,9,4
v4_actual,headphones,54,48,0.000020238413932030872,9,4
v4_actual,headphones,66,0,0.000005285100032175066,9,4
v4_actual,headphones,66,6,0.00000559139357681132,9,4
v4_actual,headphones,66,12,0.000006117582222162604,9,4
v4_actual,headphones,66,18,0.000007036703882217129,9,4
v4_actual,headphones,66,24,0.000008506727050833584,9,4
v4_actual,headphones,66,30,0.000010472817884450776,9,4
v4_actual,headphones,66,36,0.00001302983912840363,9,4
v4_actual,headphones,66,42,0.000016130370040119406,9,4
v4_actual,headphones,66,48,0.000019896962381301407,9,4
v4_actual,headphones,66,54,0.000024329116308848986,9,4
v4_actual,headphones,66,60,0.00003016918301927921,9,4
v4_actual,headphones,18,0,0.000005061566814389139,9,4
v4_actual,headphones,18,6,0.000005354905678659311,9,4
v4_actual,headphones,18,12,0.000005858839184024289,9,4
v4_actual,headphones,72,0,0.0000047898150365958345,9,4
v4_actual,headphones,72,6,0.000005067404754251035,9,4
v4_actual,headphones,72,12,0.000005544282442515401,9,4
v4_actual,headphones,72,18,0.000006377270034233373,9,4
v4_actual,headphones,72,24,0.00000770953224957797,9,4
v4_actual,headphones,72,30,0.000009491373914038862,9,4
v4_actual,headphones,72,36,0.000011808767857127507,9,4
v4_actual,headphones,72,42,0.00001461873729800002,9,4
v4_actual,headphones,72,48,0.000018032349249086607,9,4
v4_actual,headphones,72,54,0.0000220491507093113,9,4
v4_actual,headphones,72,60,0.000027341924578120907,9,4
v4_actual,headphones,72,66,0.00003406539581507504,9,4
v4_actual,headphones,114,0,0.000004187239194531381,9,4
v4_actual,headphones,114,6,0.000004429907134083142,9,4
v4_actual,headphones,114,12,0.000004846791905633154,9,4
v4_actual,headphones,114,18,0.000005574986682665421,9,4
v4_actual,headphones,114,24,0.000006739645552133768,9,4
v4_actual,headphones,114,30,0.000008297325170005265,9,4
v4_actual,headphones,114,36,0.000010323182676721612,9,4
v4_actual,headphones,114,42,0.000012779647923993242,9,4
v4_actual,headphones,114,48,0.00001576381529732651,9,4
v4_actual,headphones,114,54,0.000019275288784799077,9,4
v4_actual,headphones,114,60,0.000023902212793752433,9,4
v4_actual,headphones,114,66,0.000029779847331115995,9,4
v4_actual,headphones,114,72,0.00003674733728202122,9,4
v4_actual,headphones,114,78,0.000044010065075830494,9,4
v4_actual,headphones,114,84,0.000052873402137173096,9,4
v4_actual,headphones,114,90,0.00006474669319741485,9,4
v4_actual,headphones,114,96,0.00008000325230887773,9,4
v4_actual,headphones,114,102,0.00010026433878556716,9,4
v4_actual,headphones,114,108,0.00012813164853453377,9,4
v4_actual,headphones,108,0,0.000004114683080728748,9,4
v4_actual,headphones,108,6,0.000004353146091490843,9,4
v4_actual,headphones,108,12,0.000004762807120254281,9,4
v4_actual,headphones,108,18,0.000005478383802007484,9,4
v4_actual,headphones,108,24,0.000006622861564653768,9,4
v4_actual,headphones,108,30,0.00000815354984661828,9,4
v4_actual,headphones,108,36,0.000010144303471999847,9,4
v4_actual,headphones,108,42,0.000012558203304745855,9,4
v4_actual,headphones,108,48,0.000015490661287359685,9,4
v4_actual,headphones,108,54,0.000018941288269978984,9,4
v4_actual,headphones,108,60,0.000023488037345198443,9,4
v4_actual,headphones,108,66,0.000029263824746401183,9,4
v4_actual,headphones,108,72,0.00003611058264205231,9,4
v4_actual,headphones,108,78,0.00004324746252513943,9,4
v4_actual,headphones,108,84,0.000051957216458646076,9,4
v4_actual,headphones,108,90,0.00006362476817194435,9,4
v4_actual,headphones,108,96,0.00007861696296417397,9,4
v4_actual,headphones,108,102,0.00009852696711003139,9,4
v4_actual,headphones,102,0,0.000004014804220020812,9,4
v4_actual,headphones,102,6,0.000004247478835086647,9,4
v4_actual,headphones,102,12,0.000004647195847257173,9,4
v4_actual,headphones,102,18,0.0000053454027869621145,9,4
v4_actual,headphones,102,24,0.000006462099762413862,9,4
v4_actual,headphones,102,30,0.000007955632472806484,9,4
v4_actual,headphones,102,36,0.000009898063007405036,9,4
v4_actual,headphones,102,42,0.000012253368396684255,9,4
v4_actual,headphones,102,48,0.000015114644575831998,9,4
v4_actual,headphones,102,54,0.000018481511841119444,9,4
v4_actual,headphones,102,60,0.00002291789418610771,9,4
v4_actual,headphones,102,66,0.000028553481466425077,9,4
v4_actual,headphones,102,72,0.00003523404275233882,9,4
v4_actual,headphones,102,78,0.000042197683671999895,9,4
v4_actual,headphones,102,84,0.000050696019062970465,9,4
v4_actual,headphones,102,90,0.00006208035533791999,9,4
v4_actual,headphones,102,96,0.00007670863307846416,9,4
v4_actual,headphones,90,0,0.000004004558389122951,9,4
v4_actual,headphones,90,6,0.000004236639215642809,9,4
v4_actual,headphones,90,12,0.000004635336144967633,9,4
v4_actual,headphones,90,18,0.000005331761251775154,9,4
v4_actual,headphones,90,24,0.000006445608402491346,9,4
v4_actual,headphones,90,30,0.000007935329598610174,9,4
v4_actual,headphones,90,36,0.000009872803026037982,9,4
v4_actual,headphones,90,42,0.000012222097646320999,9,4
v4_actual,headphones,90,48,0.00001507607181264893,9,4
v4_actual,headphones,90,54,0.000018434346790301614,9,4
v4_actual,headphones,90,60,0.000022859407431711327,9,4
v4_actual,headphones,90,66,0.00002848061262236257,9,4
v4_actual,headphones,90,72,0.00003514412503179637,9,4
v4_actual,headphones,90,78,0.000042089994652189486,9,4
v4_actual,headphones,90,84,0.000050566642184286396,9,4
v4_actual,headphones,96,0,0.0000039727625614358666,9,4
v4_actual,headphones,96,6,0.000004203000687399892,9,4
v4_actual,headphones,96,12,0.000004598531999537408,9,4
v4_actual,headphones,96,18,0.00000528942755463379,9,4
v4_actual,headphones,96,24,0.00000639443086075276,9,4
v4_actual,headphones,96,30,0.000007872323806699926,9,4
v4_actual,headphones,96,36,0.000009794413872153462,9,4
v4_actual,headphones,96,42,0.000012125055307821784,9,4
v4_actual,headphones,96,48,0.00001495636918005531,9,4
v4_actual,headphones,96,54,0.00001828797976125281,9,4
v4_actual,headphones,96,60,0.000022677905825516307,9,4
v4_actual,headphones,96,66,0.000028254479160599867,9,4
v4_actual,headphones,96,72,0.00003486508389039125,9,4
v4_actual,headphones,96,78,0.00004175580394068788,9,4
v4_actual,headphones,96,84,0.00005016514766594623,9,4
v4_actual,headphones,96,90,0.00006143027105960505,9,4
v4_actual,headphones,78,0,0.0000039137470554356185,9,4
v4_actual,headphones,78,6,0.000004140564987191157,9,4
v4_actual,headphones,78,12,0.000004530220669923753,9,4
v4_actual,headphones,78,18,0.000005210852951001879,9,4
v4_actual,headphones,78,24,0.000006299441400145601,9,4
v4_actual,headphones,78,30,0.000007755380202428156,9,4
v4_actual,headphones,78,36,0.00000964891756279636,9,4
v4_actual,headphones,78,42,0.000011944937250624394,9,4
v4_actual,headphones,78,48,0.000014734191871082565,9,4
v4_actual,headphones,78,54,0.000018016311278014146,9,4
v4_actual,headphones,78,60,0.000022341024860036347,9,4
v4_actual,headphones,78,66,0.000027834758032379757,9,4
v4_actual,headphones,78,72,0.00003434716203231036,9,4
v4_actual,headphones,84,0,0.0000038053448852838114,9,4
v4_actual,headphones,84,6,0.000004025880460084907,9,4
v4_actual,headphones,84,12,0.000004404743538946609,9,4
v4_actual,headphones,84,18,0.00000506652380549771,9,4
v4_actual,headphones,84,24,0.000006124960753121818,9,4
v4_actual,headphones,84,30,0.000007540573258497501,9,4
v4_actual,headphones,84,36,0.000009381663806074843,9,4
v4_actual,headphones,84,42,0.00001161408880744348,9,4
v4_actual,headphones,84,48,0.000014326087220568563,9,4
v4_actual,headphones,84,54,0.00001751729915152656,9,4
v4_actual,headphones,84,60,0.00002172222769610627,9,4
v4_actual,headphones,84,66,0.000027063796564093262,9,4
v4_actual,headphones,84,72,0.000033395821322213414,9,4
v4_actual,headphones,84,78,0.000039996156956125825,9,4
v4_actual,headphones,120,0,0.0000036320065678076263,9,4
v4_actual,headphones,120,6,0.000003842496465638023,9,4
v4_actual,headphones,120,12,0.000004204101847596165,9,4
v4_actual,headphones,120,18,0.000004835737178168806,9,4
v4_actual,headphones,120,24,0.000005845960971614576,9,4
v4_actual,headphones,120,30,0.0000071970905201816034,9,4
v4_actual,headphones,120,36,0.000008954317042957205,9,4
v4_actual,headphones,120,42,0.000011085052235571466,9,4
v4_actual,headphones,120,48,0.00001367351565880723,9,4
v4_actual,headphones,120,54,0.000016719363812368483,9,4
v4_actual,headphones,120,60,0.00002073275249367742,9,4
v4_actual,headphones,120,66,0.000025831006080613125,9,4
v4_actual,headphones,120,72,0.00003187459902745779,9,4
v4_actual,headphones,120,78,0.0000381742809471735,9,4
v4_actual,headphones,120,84,0.00004586232954528848,9,4
v4_actual,headphones,120,90,0.00005616120885665199,9,4
v4_actual,headphones,120,96,0.0000693947310703692,9,4
v4_actual,headphones,120,102,0.00008696917469192354,9,4
v4_actual,headphones,120,108,0.00011114124782487569,9,4
v4_actual,headphones,120,114,0.00014498476237030666,9,4
v4_actual,headphones,126,0,0.0000033734700268410185,9,4
v4_actual,headphones,126,6,0.0000035689766560353302,9,4
v4_actual,headphones,126,12,0.00000390484194008864,9,4
v4_actual,headphones,126,18,0.000004491515674235193,9,4
v4_actual,headphones,126,24,0.000005429828869425306,9,4
v4_actual,headphones,126,30,0.000006684781180048813,9,4
v4_actual,headphones,126,36,0.000008316923329101117,9,4
v4_actual,headphones,126,42,0.000010295986740255231,9,4
v4_actual,headphones,126,48,0.000012700195986807075,9,4
v4_actual,headphones,126,54,0.000015529232019787108,9,4
v4_actual,headphones,126,60,0.00001925693629831521,9,4
v4_actual,headphones,126,66,0.000023992281717897945,9,4
v4_actual,headphones,126,72,0.00002960567455735937,9,4
v4_actual,headphones,126,78,0.00003545692722941092,9,4
v4_actual,headphones,126,84,0.000042597718697278,9,4
v4_actual,headphones,126,90,0.00005216349453449228,9,4
v4_actual,headphones,126,96,0.00006445501705903918,9,4
v4_actual,headphones,126,102,0.00008077846187910394,9,4
v4_actual,headphones,126,108,0.00010322989820727249,9,4
v4_actual,headphones,126,114,0.00013466433528509008,9,4
v4_actual,headphones,126,120,0.0001721469565554985,9,4
v4_actual,headphones,12,0,0.0000033469456822972027,9,4
v4_actual,headphones,12,6,0.0000035409151153249296,9,4
v4_actual,headphones,138,0,0.000003103761621605572,9,4
v4_actual,headphones,138,6,0.0000032836375261296267,9,4
v4_actual,headphones,138,12,0.0000035926504328340286,9,4
v4_actual,headphones,138,18,0.000004132419692960886,9,4
v4_actual,headphones,138,24,0.0000049957148937794685,9,4
v4_actual,headphones,138,30,0.000006150333961880685,9,4
v4_actual,headphones,138,36,0.000007651986599351148,9,4
v4_actual,headphones,138,42,0.000009472824197844939,9,4
v4_actual,headphones,138,48,0.000011684817288159902,9,4
v4_actual,headphones,138,54,0.000014287672329242076,9,4
v4_actual,headphones,138,60,0.00001771734722907356,9,4
v4_actual,headphones,138,66,0.00002207410251707282,9,4
v4_actual,headphones,138,72,0.000027238705469964932,9,4
v4_actual,headphones,138,78,0.000032622151398736674,9,4
v4_actual,headphones,138,84,0.00003919203769667673,9,4
v4_actual,headphones,138,90,0.00004799303123988293,9,4
v4_actual,headphones,138,96,0.000059301848445682614,9,4
v4_actual,headphones,138,102,0.00007432023638504627,9,4
v4_actual,headphones,138,108,0.00009497668386222879,9,4
v4_actual,headphones,138,114,0.000123897942572883,9,4
v4_actual,headphones,138,120,0.00015838383408833584,9,4
v4_actual,headphones,138,126,0.00020177436774566614,9,4
v4_actual,headphones,138,132,0.00025471022059631027,9,4
v4_actual,headphones,132,0,0.0000030633504535117184,9,4
v4_actual,headphones,132,6,0.000003240884362644389,9,4
v4_actual,headphones,132,12,0.00000354587390220968,9,4
v4_actual,headphones,132,18,0.000004078615333217497,9,4
v4_actual,headphones,132,24,0.000004930670377178655,9,4
v4_actual,headphones,132,30,0.000006070256233669609,9,4
v4_actual,headphones,132,36,0.000007552357261013531,9,4
v4_actual,headphones,132,42,0.000009349487441465881,9,4
v4_actual,headphones,132,48,0.000011532680245066519,9,4
v4_actual,headphones,132,54,0.00001410164595268413,9,4
v4_actual,headphones,132,60,0.00001748666627340117,9,4
v4_actual,headphones,132,66,0.000021786696338348007,9,4
v4_actual,headphones,132,72,0.000026884055841674115,9,4
v4_actual,headphones,132,78,0.000032197408971811654,9,4
v4_actual,headphones,132,84,0.000038681754944201125,9,4
v4_actual,headphones,132,90,0.00004736815900766406,9,4
v4_actual,headphones,132,96,0.00005852973471467545,9,4
v4_actual,headphones,132,102,0.00007335258231508667,9,4
v4_actual,headphones,132,108,0.00009374008156976024,9,4
v4_actual,headphones,132,114,0.00012228478370496538,9,4
v4_actual,headphones,132,120,0.0001563216667820136,9,4
v4_actual,headphones,132,126,0.0001991472530100367,9,4
v4_actual,headphones,144,0,0.000002829406019515726,9,4
v4_actual,headphones,144,6,0.000002993381874969123,9,4
v4_actual,headphones,144,12,0.0000032750797258128355,9,4
v4_actual,headphones,144,18,0.0000037671363267841727,9,4
v4_actual,headphones,144,24,0.000004554120939523707,9,4
v4_actual,headphones,144,30,0.0000056066779783092,9,4
v4_actual,headphones,144,36,0.000006975592711355864,9,4
v4_actual,headphones,144,42,0.000008635478195433004,9,4
v4_actual,headphones,144,48,0.000010651943158881702,9,4
v4_actual,headphones,144,54,0.000013024720008076419,9,4
v4_actual,headphones,144,60,0.000016151230349275033,9,4
v4_actual,headphones,144,66,0.000020122872227830548,9,4
v4_actual,headphones,144,72,0.000024830952443012304,9,4
v4_actual,headphones,144,78,0.000029738531108388265,9,4
v4_actual,headphones,144,84,0.00003572767528412863,9,4
v4_actual,headphones,144,90,0.000043750708991203596,9,4
v4_actual,headphones,144,96,0.00005405988842462284,9,4
v4_actual,headphones,144,102,0.00006775073276758377,9,4
v4_actual,headphones,144,108,0.00008658126293037279,9,4
v4_actual,headphones,144,114,0.00011294604008280311,9,4
v4_actual,headphones,144,120,0.0001443835668448342,9,4
v4_actual,headphones,144,126,0.00018393861394169853,9,4
v4_actual,headphones,144,132,0.00023219522606719153,9,4
v4_actual,headphones,144,138,0.00029822065222361043,9,4
v4_actual,headphones,150,0,0.0000026569083425390106,9,4
v4_actual,headphones,150,6,0.000002810887239637586,9,4
v4_actual,headphones,150,12,0.000003075411088395804,9,4
v4_actual,headphones,150,18,0.000003537468947573562,9,4
v4_actual,headphones,150,24,0.000004276474225930685,9,4
v4_actual,headphones,150,30,0.000005264861031521062,9,4
v4_actual,headphones,150,36,0.000006550318455930829,9,4
v4_actual,headphones,150,42,0.000008109007297293673,9,4
v4_actual,headphones,150,48,0.00001000253637967735,9,4
v4_actual,headphones,150,54,0.000012230654423579664,9,4
v4_actual,headphones,150,60,0.000015166553814218172,9,4
v4_actual,headphones,150,66,0.000018896060420172785,9,4
v4_actual,headphones,150,72,0.000023317107634598402,9,4
v4_actual,headphones,150,78,0.00002792549066897661,9,4
v4_actual,headphones,150,84,0.00003354950044892225,9,4
v4_actual,headphones,150,90,0.00004108340157225683,9,4
v4_actual,headphones,150,96,0.000050764071173034484,9,4
v4_actual,headphones,150,102,0.00006362023896949723,9,4
v4_actual,headphones,150,108,0.00008130274630102181,9,4
v4_actual,headphones,150,114,0.00010606016742839427,9,4
v4_actual,headphones,150,120,0.0001355810727161865,9,4
v4_actual,headphones,150,126,0.00017272460527966474,9,4
v4_actual,headphones,150,132,0.0002180392029211995,9,4
v4_actual,headphones,150,138,0.0002800393203892141,9,4
v4_actual,headphones,150,144,0.00035671292859595373,9,4
v4_actual,headphones,156,0,0.0000024298083401129355,9,4
v4_actual,headphones,156,6,0.0000025706258468297733,9,4
v4_actual,headphones,156,12,0.0000028125394437652513,9,4
v4_actual,headphones,156,18,0.0000032351027749383366,9,4
v4_actual,headphones,156,24,0.000003910941365223938,9,4
v4_actual,headphones,156,30,0.000004814845525194341,9,4
v4_actual,headphones,156,36,0.000005990428107657907,9,4
v4_actual,headphones,156,42,0.000007415887573363471,9,4
v4_actual,headphones,156,48,0.000009147566714475858,9,4
v4_actual,headphones,156,54,0.00001118523572968033,9,4
v4_actual,headphones,156,60,0.000013870188278057952,9,4
v4_actual,headphones,156,66,0.000017280914237461903,9,4
v4_actual,headphones,156,72,0.000021324071173534034,9,4
v4_actual,headphones,156,78,0.000025538551346631204,9,4
v4_actual,headphones,156,84,0.00003068184727799546,9,4
v4_actual,headphones,156,90,0.00003757178604252617,9,4
v4_actual,headphones,156,96,0.00004642499763332155,9,4
v4_actual,headphones,156,102,0.00005818228080097672,9,4
v4_actual,headphones,156,108,0.00007435337074801944,9,4
v4_actual,headphones,156,114,0.00009699464420553412,9,4
v4_actual,headphones,156,120,0.0001239922416489651,9,4
v4_actual,headphones,156,126,0.00015796092011596444,9,4
v4_actual,headphones,156,132,0.00019940223953048483,9,4
v4_actual,headphones,156,138,0.0002561028791798753,9,4
v4_actual,headphones,156,144,0.00032622278873958995,9,4
v4_actual,headphones,156,150,0.0004149644773613391,9,4
v4_actual,headphones,162,0,0.0000023410155456942223,9,4
v4_actual,headphones,162,6,0.00000247668714039897,9,4
v4_actual,headphones,162,12,0.000002709760458072428,9,4
v4_actual,headphones,162,18,0.0000031168820038279876,9,4
v4_actual,headphones,162,24,0.000003768023338771765,9,4
v4_actual,headphones,162,30,0.000004638896014354925,9,4
v4_actual,headphones,162,36,0.00000577151913337285,9,4
v4_actual,headphones,162,42,0.000007144887852989113,9,4
v4_actual,headphones,162,48,0.000008813286023566646,9,4
v4_actual,headphones,162,54,0.000010776492241449407,9,4
v4_actual,headphones,162,60,0.000013363328228238055,9,4
v4_actual,headphones,162,66,0.000016649415596222136,9,4
v4_actual,headphones,162,72,0.000020544822935463696,9,4
v4_actual,headphones,162,78,0.00002460529282494559,9,4
v4_actual,headphones,162,84,0.00002956063664061046,9,4
