prior_version,object,price,theta,probability,utterance_cost,alpha
v4_resampled_2,headphones,30,0,0.0008484948907871109,7,1
v4_resampled_2,headphones,30,6,0.000860520229982245,7,1
v4_resampled_2,headphones,30,12,0.000880071982470475,7,1
v4_resampled_2,headphones,30,18,0.0009113878278390469,7,1
v4_resampled_2,headphones,30,24,0.00095561851971136,7,1
v4_resampled_2,headphones,36,0,0.0008452521084126536,7,1
v4_resampled_2,headphones,36,6,0.0008572314891012475,7,1
v4_resampled_2,headphones,36,12,0.0008767085185958014,7,1
v4_resampled_2,headphones,36,18,0.0009079046808967378,7,1
v4_resampled_2,headphones,36,24,0.0009519663316710185,7,1
v4_resampled_2,headphones,36,30,0.0010027161780068786,7,1
v4_resampled_2,headphones,24,0,0.0008136039169419859,7,1
v4_resampled_2,headphones,24,6,0.0008251347619452374,7,1
v4_resampled_2,headphones,24,12,0.0008438825264635926,7,1
v4_resampled_2,headphones,24,18,0.0008739106323848718,7,1
v4_resampled_2,headphones,42,0,0.0007825441749799751,7,1
v4_resampled_2,headphones,42,6,0.0007936348241300024,7,1
v4_resampled_2,headphones,42,12,0.0008116668832342374,7,1
v4_resampled_2,headphones,42,18,0.0008405486509901002,7,1
v4_resampled_2,headphones,42,24,0.0008813414367285085,7,1
v4_resampled_2,headphones,42,30,0.0009283262312483776,7,1
v4_resampled_2,headphones,42,36,0.0009803917021521894,7,1
v4_resampled_2,headphones,48,0,0.0007297421707540855,7,1
v4_resampled_2,headphones,48,6,0.0007400844806767425,7,1
v4_resampled_2,headphones,48,12,0.0007568998303715098,7,1
v4_resampled_2,headphones,48,18,0.0007838328069001729,7,1
v4_resampled_2,headphones,48,24,0.0008218731079689452,7,1
v4_resampled_2,headphones,48,30,0.0008656876133241765,7,1
v4_resampled_2,headphones,48,36,0.0009142399774889885,7,1
v4_resampled_2,headphones,48,42,0.0009643112966300718,7,1
v4_resampled_2,headphones,60,0,0.0006747400009876194,7,1
