prior_version,object,price,theta,probability,utterance_cost,alpha
v4_actual,laptop,850,700,0.0013205731953830296,5,1
v4_actual,laptop,850,750,0.0014008325329858838,5,1
v4_actual,laptop,850,800,0.0014963347432163838,5,1
v4_actual,laptop,850,0,0.0008632359951784921,5,1
v4_actual,laptop,850,50,0.0008675815756464196,5,1
v4_actual,laptop,850,100,0.0008787971162214687,5,1
v4_actual,laptop,850,150,0.0008951519676946272,5,1
v4_actual,laptop,850,200,0.0009181371154497963,5,1
v4_actual,laptop,850,250,0.0009394968638439277,5,1
v4_actual,laptop,850,300,0.0009594622509882665,5,1
v4_actual,laptop,850,350,0.000980822031078057,5,1
v4_actual,laptop,850,400,0.0010056365638270457,5,1
v4_actual,laptop,850,450,0.0010382167042022868,5,1
v4_actual,laptop,850,500,0.0010798151699859238,5,1
v4_actual,laptop,850,550,0.0011274865713040087,5,1
v4_actual,laptop,850,600,0.0011840953659527477,5,1
v4_actual,laptop,850,650,0.001246948500752605,5,1
v4_actual,laptop,800,0,0.0008533959322209434,5,1
v4_actual,laptop,800,50,0.000857691977236655,5,1
v4_actual,laptop,800,100,0.0008687796713989311,5,1
v4_actual,laptop,800,150,0.000884948093240962,5,1
v4_actual,laptop,800,200,0.0009076712323423384,5,1
v4_actual,laptop,800,250,0.000928787500077498,5,1
v4_actual,laptop,800,300,0.0009485253009446533,5,1
v4_actual,laptop,800,350,0.00096964160001417,5,1
v4_actual,laptop,800,400,0.0009941732708738538,5,1
v4_actual,laptop,800,450,0.0010263820288759678,5,1
v4_actual,laptop,800,500,0.0010675063120206341,5,1
v4_actual,laptop,800,550,0.0011146343050553937,5,1
v4_actual,laptop,800,600,0.0011705978137030787,5,1
v4_actual,laptop,800,650,0.0012327344830091863,5,1
v4_actual,laptop,800,700,0.0013055199266880264,5,1
v4_actual,laptop,800,750,0.001384864384768534,5,1
v4_actual,laptop,700,0,0.0008374610863604373,5,1
v4_actual,laptop,700,50,0.0008416769144304713,5,1
v4_actual,laptop,700,100,0.0008525575760879571,5,1
v4_actual,laptop,700,150,0.0008684240966668912,5,1
v4_actual,laptop,700,200,0.0008907229430040595,5,1
v4_actual,laptop,700,250,0.000911444921923435,5,1
v4_actual,laptop,700,300,0.0009308141730910112,5,1
v4_actual,laptop,700,350,0.0009515361827596617,5,1
v4_actual,laptop,700,400,0.0009756097914478604,5,1
v4_actual,laptop,700,450,0.0010072171385752044,5,1
v4_actual,laptop,700,500,0.001047573537683526,5,1
v4_actual,laptop,700,550,0.0010938215437434596,5,1
v4_actual,laptop,700,600,0.0011487400862149018,5,1
v4_actual,laptop,700,650,0.0012097165223744757,5,1
v4_actual,laptop,900,0,0.0008211207717765162,5,1
v4_actual,laptop,900,50,0.0008252543417476153,5,1
v4_actual,laptop,900,100,0.000835922702872861,5,1
v4_actual,laptop,900,150,0.000851479640186573,5,1
