prior_version,object,price,theta,probability,utterance_cost,alpha
v4_resampled_2,laptop,850,700,0.00008199760602781011,8,7
v4_resampled_2,laptop,850,750,0.00012404143763071015,8,7
v4_resampled_2,laptop,850,800,0.00019665969355321094,8,7
v4_resampled_2,laptop,850,0,0.000004104691262010744,8,7
v4_resampled_2,laptop,850,50,0.000004252495720455872,8,7
v4_resampled_2,laptop,850,100,0.000004655260780817178,8,7
v4_resampled_2,laptop,850,150,0.000005301106003234277,8,7
v4_resampled_2,laptop,850,200,0.0000063379813898166646,8,7
v4_resampled_2,laptop,850,250,0.000007453036118023633,8,7
v4_resampled_2,laptop,850,300,0.000008643569002281753,8,7
v4_resampled_2,laptop,850,350,0.000010094509607299744,8,7
v4_resampled_2,laptop,850,400,0.000012038201819952412,8,7
v4_resampled_2,laptop,850,450,0.000015071505711109426,8,7
v4_resampled_2,laptop,850,500,0.00001987943795304669,8,7
v4_resampled_2,laptop,850,550,0.000026953739709397858,8,7
v4_resampled_2,laptop,850,600,0.00003806238376435812,8,7
v4_resampled_2,laptop,850,650,0.00005478056014241911,8,7
v4_resampled_2,laptop,800,0,0.000004057901715855238,8,7
v4_resampled_2,laptop,800,50,0.0000042040213451405555,8,7
v4_resampled_2,laptop,800,100,0.000004602195269852781,8,7
v4_resampled_2,laptop,800,150,0.000005240678475758823,8,7
v4_resampled_2,laptop,800,200,0.000006265734476750158,8,7
v4_resampled_2,laptop,800,250,0.000007368078649804251,8,7
v4_resampled_2,laptop,800,300,0.000008545040600274192,8,7
v4_resampled_2,laptop,800,350,0.000009979441873080869,8,7
v4_resampled_2,laptop,800,400,0.000011900977857483769,8,7
v4_resampled_2,laptop,800,450,0.000014899704991618273,8,7
v4_resampled_2,laptop,800,500,0.00001965283141426565,8,7
v4_resampled_2,laptop,800,550,0.000026646492911114088,8,7
v4_resampled_2,laptop,800,600,0.00003762850907117175,8,7
v4_resampled_2,laptop,800,650,0.000054156114262425925,8,7
v4_resampled_2,laptop,800,700,0.00008106291191149871,8,7
v4_resampled_2,laptop,800,750,0.00012262748413195888,8,7
v4_resampled_2,laptop,700,0,0.0000039821314480137415,8,7
v4_resampled_2,laptop,700,50,0.00000412552269099913,8,7
v4_resampled_2,laptop,700,100,0.000004516261801604093,8,7
v4_resampled_2,laptop,700,150,0.0000051428230717631975,8,7
v4_resampled_2,laptop,700,200,0.000006148738942414694,8,7
v4_resampled_2,laptop,700,250,0.000007230499838914919,8,7
v4_resampled_2,laptop,700,300,0.000008385485228967466,8,7
v4_resampled_2,laptop,700,350,0.000009793102962831297,8,7
v4_resampled_2,laptop,700,400,0.000011678759493664271,8,7
v4_resampled_2,laptop,700,450,0.000014621493561912248,8,7
v4_resampled_2,laptop,700,500,0.000019285868287907773,8,7
