prior_version,object,price,theta,probability,utterance_cost,alpha
v4_actual,sweater,36,0,0.000635351736691931,1,3
v4_actual,sweater,36,3,0.0006416293841814321,1,3
v4_actual,sweater,36,6,0.0006480446365310406,1,3
v4_actual,sweater,36,9,0.0006566302872019162,1,3
v4_actual,sweater,36,12,0.0006682642001543876,1,3
v4_actual,sweater,36,15,0.0006935298071396053,1,3
v4_actual,sweater,36,18,0.0007345723609179813,1,3
v4_actual,sweater,36,21,0.0007909640758154487,1,3
v4_actual,sweater,36,24,0.0008482027999967972,1,3
v4_actual,sweater,36,27,0.0009098753373358244,1,3
v4_actual,sweater,36,30,0.0009761583422977691,1,3
v4_actual,sweater,36,33,0.0010477895853689598,1,3
v4_actual,sweater,21,0,0.0006326420783236984,1,3
v4_actual,sweater,21,3,0.0006388929528005971,1,3
v4_actual,sweater,21,6,0.0006452808452781701,1,3
v4_actual,sweater,21,9,0.0006538298797271258,1,3
v4_actual,sweater,21,12,0.0006654141761793728,1,3
v4_actual,sweater,21,15,0.0006905720299950587,1,3
v4_actual,sweater,21,18,0.0007314395448259091,1,3
v4_actual,sweater,33,0,0.00061757592656301,1,3
v4_actual,sweater,33,3,0.0006236779386313967,1,3
v4_actual,sweater,33,6,0.0006299137056642731,1,3
v4_actual,sweater,33,9,0.0006382591478217457,1,3
v4_actual,sweater,33,12,0.0006495675682702137,1,3
v4_actual,sweater,33,15,0.0006741262965194121,1,3
v4_actual,sweater,33,18,0.0007140205656531758,1,3
v4_actual,sweater,33,21,0.0007688345585441197,1,3
v4_actual,sweater,33,24,0.0008244718631742022,1,3
v4_actual,sweater,33,27,0.0008844189321614542,1,3
v4_actual,sweater,33,30,0.00094884747754938,1,3
v4_actual,sweater,42,0,0.0006164812103895078,1,3
v4_actual,sweater,42,3,0.0006225724060205699,1,3
v4_actual,sweater,42,6,0.0006287971195218375,1,3
v4_actual,sweater,42,9,0.0006371277685338653,1,3
v4_actual,sweater,42,12,0.0006484161436563592,1,3
v4_actual,sweater,42,15,0.0006729313390606725,1,3
v4_actual,sweater,42,18,0.0007127548915428109,1,3
v4_actual,sweater,42,21,0.0007674717210535611,1,3
v4_actual,sweater,42,24,0.0008230104028996103,1,3
v4_actual,sweater,42,27,0.0008828512096069516,1,3
v4_actual,sweater,42,30,0.0009471655488420177,1,3
v4_actual,sweater,42,33,0.001016669278634521,1,3
v4_actual,sweater,42,36,0.001092351707891552,1,3
v4_actual,sweater,42,39,0.0011693543765355014,1,3
v4_actual,sweater,39,0,0.000614637087782845,1,3
v4_actual,sweater,39,3,0.0006207100624018543,1,3
v4_actual,sweater,39,6,0.0006269161554898891,1,3
v4_actual,sweater,39,9,0.0006352218844590797,1,3
v4_actual,sweater,39,12,0.0006464764918893796,1,3
v4_actual,sweater,39,15,0.0006709183533050977,1,3
v4_actual,sweater,39,18,0.0007106227788581887,1,3
v4_actual,sweater,39,21,0.0007651759301569092,1,3
v4_actual,sweater,39,24,0.0008205484753275664,1,3
v4_actual,sweater,39,27,0.0008802102761177929,1,3
v4_actual,sweater,39,30,0.0009443322274504914,1,3
v4_actual,sweater,39,33,0.0010136280459600575,1,3
v4_actual,sweater,39,36,0.0010890840811658721,1,3
v4_actual,sweater,30,0,0.0006071947764768406,1,3
v4_actual,sweater,30,3,0.000613194216698779,1,3
v4_actual,sweater,30,6,0.0006193251635294979,1,3
v4_actual,sweater,30,9,0.0006275303228750183,1,3
v4_actual,sweater,30,12,0.0006386486542917343,1,3
v4_actual,sweater,30,15,0.0006627945622982461,1,3
v4_actual,sweater,30,18,0.0007020182282273808,1,3
v4_actual,sweater,30,21,0.000755910824634835,1,3
v4_actual,sweater,30,24,0.0008106128933126853,1,3
v4_actual,sweater,30,27,0.0008695522813110652,1,3
v4_actual,sweater,27,0,0.0006023447831649899,1,3
v4_actual,sweater,27,3,0.0006082963026107977,1,3
v4_actual,sweater,27,6,0.0006143782782509262,1,3
v4_actual,sweater,27,9,0.0006225178985478742,1,3
v4_actual,sweater,27,12,0.0006335474218339897,1,3
v4_actual,sweater,27,15,0.0006575004634047585,1,3
v4_actual,sweater,27,18,0.0006964108286850859,1,3
v4_actual,sweater,27,21,0.0007498729557567348,1,3
v4_actual,sweater,27,24,0.0008041380894056452,1,3
v4_actual,sweater,24,0,0.0005977800167626785,1,3
v4_actual,sweater,24,3,0.0006036864336413715,1,3
v4_actual,sweater,24,6,0.0006097223180745395,1,3
v4_actual,sweater,24,9,0.0006178002536581846,1,3
v4_actual,sweater,24,12,0.0006287461915979384,1,3
v4_actual,sweater,24,15,0.0006525177091604471,1,3
v4_actual,sweater,24,18,0.000691133198925791,1,3
v4_actual,sweater,24,21,0.0007441901724570201,1,3
v4_actual,sweater,45,0,0.0005939988770639484,1,3
v4_actual,sweater,45,3,0.0005998679340665805,1,3
v4_actual,sweater,45,6,0.0006058656397021856,1,3
v4_actual,sweater,45,9,0.0006138924798961176,1,3
v4_actual,sweater,45,12,0.0006247691814624175,1,3
v4_actual,sweater,45,15,0.0006483903369749509,1,3
v4_actual,sweater,45,18,0.0006867615720692733,1,3
v4_actual,sweater,45,21,0.0007394829441697286,1,3
v4_actual,sweater,45,24,0.0007929961966325591,1,3
v4_actual,sweater,45,27,0.0008506546806020918,1,3
v4_actual,sweater,45,30,0.0009126235527119194,1,3
v4_actual,sweater,45,33,0.0009795925645045386,1,3
v4_actual,sweater,45,36,0.0010525149459729767,1,3
v4_actual,sweater,45,39,0.0011267094192749837,1,3
v4_actual,sweater,45,42,0.0012043618399308798,1,3
v4_actual,sweater,48,0,0.0005341687297006308,1,3
v4_actual,sweater,48,3,0.000539446629785448,1,3
v4_actual,sweater,48,6,0.0005448402204540454,1,3
v4_actual,sweater,48,9,0.0005520585624332359,1,3
v4_actual,sweater,48,12,0.000561839715366926,1,3
v4_actual,sweater,48,15,0.0005830816454805973,1,3
v4_actual,sweater,48,18,0.0006175879630828979,1,3
v4_actual,sweater,48,21,0.0006649990095518337,1,3
v4_actual,sweater,48,24,0.000713122174752939,1,3
v4_actual,sweater,48,27,0.0007649730457355683,1,3
v4_actual,sweater,48,30,0.0008207001438397013,1,3
v4_actual,sweater,48,33,0.0008809237458360378,1,3
v4_actual,sweater,48,36,0.0009465010682516623,1,3
v4_actual,sweater,48,39,0.0010132223518851207,1,3
v4_actual,sweater,48,42,0.001083053283392879,1,3
v4_actual,sweater,48,45,0.0011526584500150148,1,3
v4_actual,sweater,18,0,0.0004926710753042273,1,3
v4_actual,sweater,18,3,0.0004975389542450108,1,3
v4_actual,sweater,18,6,0.0005025135361827039,1,3
v4_actual,sweater,18,9,0.0005091711110407351,1,3
v4_actual,sweater,18,12,0.0005181924012541428,1,3
v4_actual,sweater,18,15,0.0005377841219385487,1,3
v4_actual,sweater,60,0,0.000480785698843558,1,3
v4_actual,sweater,60,3,0.0004855361432998013,1,3
v4_actual,sweater,60,6,0.0004903907166109927,1,3
v4_actual,sweater,60,9,0.0004968876817083354,1,3
v4_actual,sweater,60,12,0.0005056913390309119,1,3
v4_actual,sweater,60,15,0.0005248104219098567,1,3
v4_actual,sweater,60,18,0.0005558682938901907,1,3
v4_actual,sweater,60,21,0.0005985412394260452,1,3
v4_actual,sweater,60,24,0.0006418551369369389,1,3
v4_actual,sweater,60,27,0.000688524205818979,1,3
v4_actual,sweater,60,30,0.0007386821246876757,1,3
v4_actual,sweater,60,33,0.0007928871819341233,1,3
v4_actual,sweater,60,36,0.0008519109267414136,1,3
v4_actual,sweater,60,39,0.000911964309120106,1,3
v4_actual,sweater,60,42,0.0009748165715965545,1,3
v4_actual,sweater,60,45,0.001037465631372665,1,3
v4_actual,sweater,60,48,0.001095146870482642,1,3
v4_actual,sweater,60,51,0.0011477725232111068,1,3
v4_actual,sweater,60,54,0.0011965532741138858,1,3
v4_actual,sweater,60,57,0.0012441213734779289,1,3
v4_actual,sweater,51,0,0.0004807338908289446,1,3
v4_actual,sweater,51,3,0.0004854838233916437,1,3
v4_actual,sweater,51,6,0.0004903378735886791,1,3
v4_actual,sweater,51,9,0.0004968341385926881,1,3
v4_actual,sweater,51,12,0.0005056368472597445,1,3
v4_actual,sweater,51,15,0.0005247538699240707,1,3
v4_actual,sweater,51,18,0.0005558083952019356,1,3
