prior_version,object,price,theta,probability,utterance_cost,alpha
v4_actual,watch,100,0,0.00035372535448549266,4,3
v4_actual,watch,100,50,0.0004350743660202966,4,3
v4_actual,watch,150,0,0.00034862122362249527,4,3
v4_actual,watch,150,50,0.00042879639789857824,4,3
v4_actual,watch,150,100,0.0005400993508901445,4,3
v4_actual,watch,200,0,0.0003438289020813195,4,3
v4_actual,watch,200,50,0.00042290194834936415,4,3
v4_actual,watch,200,100,0.0005326748753325432,4,3
v4_actual,watch,200,150,0.0006804717735285627,4,3
v4_actual,watch,50,0,0.0003399479286519115,4,3
v4_actual,watch,250,0,0.0003022797710789748,4,3
v4_actual,watch,250,50,0.0003717974357654897,4,3
v4_actual,watch,250,100,0.0004683051320012675,4,3
v4_actual,watch,250,150,0.0005982418891570364,4,3
v4_actual,watch,250,200,0.0007764992269600875,4,3
v4_actual,watch,300,0,0.00027297509204416836,4,3
v4_actual,watch,300,50,0.00033575332840699506,4,3
v4_actual,watch,300,100,0.00042290503283265874,4,3
v4_actual,watch,300,150,0.0005402449994401162,4,3
v4_actual,watch,300,200,0.00070122108136795,4,3
v4_actual,watch,300,250,0.0008978179711024491,4,3
v4_actual,watch,350,0,0.00022897766202372927,4,3
v4_actual,watch,350,50,0.0002816374621567293,4,3
v4_actual,watch,350,100,0.0003547422768536782,4,3
v4_actual,watch,350,150,0.0004531696865287363,4,3
v4_actual,watch,350,200,0.0005882000536056402,4,3
v4_actual,watch,350,250,0.0007531099574193505,4,3
v4_actual,watch,350,300,0.0009565520102214327,4,3
v4_actual,watch,400,0,0.00021065861012360882,4,3
v4_actual,watch,400,50,0.0002591054333087246,4,3
v4_actual,watch,400,100,0.00032636159498534745,4,3
v4_actual,watch,400,150,0.00041691445126381814,4,3
v4_actual,watch,400,200,0.0005411418942444939,4,3
v4_actual,watch,400,250,0.0006928584015490953,4,3
v4_actual,watch,400,300,0.0008800243447472563,4,3
v4_actual,watch,400,350,0.0010891365746432023,4,3
v4_actual,watch,450,0,0.00020814715310534242,4,3
v4_actual,watch,450,50,0.00025601639669838944,4,3
v4_actual,watch,450,100,0.0003224707351826677,4,3
v4_actual,watch,450,150,0.0004119440267270334,4,3
v4_actual,watch,450,200,0.000534690438937821,4,3
v4_actual,watch,450,250,0.0006845981927961085,4,3
v4_actual,watch,450,300,0.0008695327568859108,4,3
v4_actual,watch,450,350,0.001076151965599054,4,3
v4_actual,watch,450,400,0.0013233648303921039,4,3
v4_actual,watch,500,0,0.00018239616081703328,4,3
v4_actual,watch,500,50,0.00022434324547482024,4,3
v4_actual,watch,500,100,0.0002825761640054589,4,3
v4_actual,watch,500,150,0.00036098023838209163,4,3
v4_actual,watch,500,200,0.0004685410385530262,4,3
v4_actual,watch,500,250,0.0005999029062150741,4,3
v4_actual,watch,500,300,0.0007619582309654476,4,3
v4_actual,watch,500,350,0.0009430154775243655,4,3
v4_actual,watch,500,400,0.0011596443228874928,4,3
v4_actual,watch,500,450,0.0014369946889557514,4,3
v4_actual,watch,550,0,0.00016723550328939115,4,3
v4_actual,watch,550,50,0.000205695971880639,4,3
v4_actual,watch,550,100,0.0002590886057763201,4,3
v4_actual,watch,550,150,0.0003309757813592968,4,3
v4_actual,watch,550,200,0.00042959619348979154,4,3
v4_actual,watch,550,250,0.0005500393429129538,4,3
v4_actual,watch,550,300,0.0006986247280107275,4,3
v4_actual,watch,550,350,0.0008646326067776828,4,3
v4_actual,watch,550,400,0.001063255394773991,4,3
v4_actual,watch,550,450,0.001317552567747111,4,3
v4_actual,watch,550,500,0.0016025641344080117,4,3
v4_actual,watch,600,0,0.00015621173328397663,4,3
v4_actual,watch,600,50,0.00019213697848239863,4,3
v4_actual,watch,600,100,0.00024201009586111768,4,3
v4_actual,watch,600,150,0.00030915863835256706,4,3
v4_actual,watch,600,200,0.00040127822548010516,4,3
v4_actual,watch,600,250,0.0005137820465199208,4,3
v4_actual,watch,600,300,0.000652573033423135,4,3
v4_actual,watch,600,350,0.0008076380642982341,4,3
v4_actual,watch,600,400,0.0009931681064981155,4,3
v4_actual,watch,600,450,0.0012307026095073593,4,3
v4_actual,watch,600,500,0.0014969268858025574,4,3
v4_actual,watch,600,550,0.0018016356200467431,4,3
v4_actual,watch,650,0,0.00015023911680134405,4,3
v4_actual,watch,650,50,0.00018479079224860816,4,3
v4_actual,watch,650,100,0.000232757055406878,4,3
v4_actual,watch,650,150,0.0002973382331860984,4,3
v4_actual,watch,650,200,0.0003859357099517273,4,3
v4_actual,watch,650,250,0.000494138047602457,4,3
v4_actual,watch,650,300,0.0006276224847440589,4,3
v4_actual,watch,650,350,0.0007767587422817483,4,3
v4_actual,watch,650,400,0.0009551952085717337,4,3
v4_actual,watch,650,450,0.0011836477914329699,4,3
v4_actual,watch,650,500,0.0014396932196528633,4,3
v4_actual,watch,650,550,0.0017327516868505875,4,3
v4_actual,watch,650,600,0.002067946780820374,4,3
v4_actual,watch,700,0,0.00013401881873518026,4,3
v4_actual,watch,700,50,0.0001648401842180892,4,3
v4_actual,watch,700,100,0.00020762785539504396,4,3
v4_actual,watch,700,150,0.0002652366415937955,4,3
v4_actual,watch,700,200,0.00034426884992837584,4,3
v4_actual,watch,700,250,0.0004407893153375945,4,3
v4_actual,watch,700,300,0.0005598623434951196,4,3
v4_actual,watch,700,350,0.0006928973711984237,4,3
v4_actual,watch,700,400,0.0008520692629174365,4,3
v4_actual,watch,700,450,0.0010558573704616753,4,3
v4_actual,watch,700,500,0.001284259311069102,4,3
v4_actual,watch,700,550,0.0015456782439700048,4,3
v4_actual,watch,700,600,0.001844684597948095,4,3
v4_actual,watch,700,650,0.0021906363843313594,4,3
v4_actual,watch,750,0,0.00012972768854347975,4,3
v4_actual,watch,750,50,0.00015956218894862365,4,3
v4_actual,watch,750,100,0.00020097984754560805,4,3
v4_actual,watch,750,150,0.0002567440659135308,4,3
v4_actual,watch,750,200,0.0003332457527996912,4,3
v4_actual,watch,750,250,0.000426675742653735,4,3
v4_actual,watch,750,300,0.000541936187839956,4,3
v4_actual,watch,750,350,0.0006707115852217949,4,3
v4_actual,watch,750,400,0.0008247869739521092,4,3
v4_actual,watch,750,450,0.0010220500180071633,4,3
v4_actual,watch,750,500,0.0012431387881775367,4,3
v4_actual,watch,750,550,0.001496187384089649,4,3
v4_actual,watch,750,600,0.001785619894594302,4,3
v4_actual,watch,750,650,0.0021204946981371493,4,3
v4_actual,watch,750,700,0.002470930124251195,4,3
v4_actual,watch,950,0,0.00012388363908428192,4,3
v4_actual,watch,950,50,0.00015237413731135764,4,3
v4_actual,watch,950,100,0.00019192598878541747,4,3
v4_actual,watch,950,150,0.0002451781077406813,4,3
v4_actual,watch,950,200,0.0003182335014962509,4,3
v4_actual,watch,950,250,0.00040745460203907936,4,3
v4_actual,watch,950,300,0.0005175227266812424,4,3
v4_actual,watch,950,350,0.000640496973978033,4,3
v4_actual,watch,950,400,0.0007876314836847965,4,3
v4_actual,watch,950,450,0.000976008105736401,4,3
v4_actual,watch,950,500,0.001187137138534931,4,3
v4_actual,watch,950,550,0.0014287862519873238,4,3
v4_actual,watch,950,600,0.001705180235979406,4,3
v4_actual,watch,950,650,0.0020249694017797143,4,3
v4_actual,watch,950,700,0.0023596182060441075,4,3
v4_actual,watch,950,750,0.002729297561492128,4,3
v4_actual,watch,950,800,0.0031055273917488897,4,3
v4_actual,watch,950,850,0.0034786954644197583,4,3
v4_actual,watch,950,900,0.003862706963441128,4,3
v4_actual,watch,800,0,0.00011899656701759833,4,3
v4_actual,watch,800,50,0.0001463631467104702,4,3
v4_actual,watch,800,100,0.00018435472154143827,4,3
v4_actual,watch,800,150,0.00023550610350704152,4,3
v4_actual,watch,800,200,0.00030567954306121356,4,3
v4_actual,watch,800,250,0.00039138097021178,4,3
v4_actual,watch,800,300,0.0004971070294985244,4,3
