prior_version,object,price,theta,probability,utterance_cost,alpha
exp1,coffee maker,36,32,0.0008618336635057329,1,5
exp1,coffee maker,36,28,0.0007862883166826006,1,5
exp1,coffee maker,36,24,0.0007137564629842693,1,5
exp1,coffee maker,36,20,0.0006466999593579345,1,5
exp1,coffee maker,36,16,0.0005913597393913177,1,5
exp1,coffee maker,36,12,0.0005566917339644177,1,5
exp1,coffee maker,36,8,0.0005314603822555791,1,5
exp1,coffee maker,36,4,0.0005157416841471169,1,5
exp1,coffee maker,36,0,0.0005052015276759971,1,5
exp1,coffee maker,44,40,0.0010164783685462859,1,5
exp1,coffee maker,44,36,0.0009337960559193143,1,5
exp1,coffee maker,44,32,0.0008513264208456237,1,5
exp1,coffee maker,44,28,0.000776702102434961,1,5
exp1,coffee maker,44,24,0.0007050545374569113,1,5
exp1,coffee maker,44,20,0.0006388155685653824,1,5
exp1,coffee maker,44,16,0.0005841500415756979,1,5
exp1,coffee maker,44,12,0.0005499046990836418,1,5
exp1,coffee maker,44,8,0.000524980961182749,1,5
exp1,coffee maker,44,4,0.0005094539011853516,1,5
exp1,coffee maker,44,0,0.0004990422474478881,1,5
exp1,coffee maker,40,36,0.0009175539713096553,1,5
exp1,coffee maker,40,32,0.000836518780922366,1,5
exp1,coffee maker,40,28,0.0007631924488181145,1,5
exp1,coffee maker,40,24,0.0006927910936575849,1,5
exp1,coffee maker,40,20,0.00062770425957148,1,5
exp1,coffee maker,40,16,0.000573989563450026,1,5
exp1,coffee maker,40,12,0.0005403398710966855,1,5
exp1,coffee maker,40,8,0.0005158496469777463,1,5
exp1,coffee maker,40,4,0.0005005926586096092,1,5
exp1,coffee maker,40,0,0.0004903621011188669,1,5
exp1,coffee maker,28,24,0.0006876723820892787,1,5
exp1,coffee maker,28,20,0.0006230664443854024,1,5
exp1,coffee maker,28,16,0.0005697486212014642,1,5
exp1,coffee maker,28,12,0.0005363475507936099,1,5
exp1,coffee maker,28,8,0.0005120382735642237,1,5
exp1,coffee maker,28,4,0.0004968940119957986,1,5
