prior_version,object,price,theta,probability,utterance_cost,alpha
v4_resampled_1,coffee maker,72,0,0.00015445381405285283,3,6
v4_resampled_1,coffee maker,72,4,0.00015587437110260797,3,6
v4_resampled_1,coffee maker,72,8,0.0001589810101796451,3,6
v4_resampled_1,coffee maker,72,12,0.00016577604039478752,3,6
v4_resampled_1,coffee maker,72,16,0.000175721085671082,3,6
v4_resampled_1,coffee maker,72,20,0.00018933760092347443,3,6
v4_resampled_1,coffee maker,72,24,0.00020764127918612132,3,6
v4_resampled_1,coffee maker,72,28,0.00023227405194938756,3,6
v4_resampled_1,coffee maker,72,32,0.00026327931904045687,3,6
v4_resampled_1,coffee maker,72,36,0.0003015669233603642,3,6
v4_resampled_1,coffee maker,72,40,0.0003482824837840734,3,6
v4_resampled_1,coffee maker,72,44,0.0004118003856258369,3,6
v4_resampled_1,coffee maker,72,48,0.0004904427062147334,3,6
v4_resampled_1,coffee maker,72,52,0.0005791837897348551,3,6
v4_resampled_1,coffee maker,72,56,0.000695473147719765,3,6
v4_resampled_1,coffee maker,72,60,0.0008393471969795254,3,6
v4_resampled_1,coffee maker,72,64,0.001017615310706226,3,6
v4_resampled_1,coffee maker,72,68,0.0012348262414747413,3,6
v4_resampled_1,coffee maker,76,0,0.00015197802774461817,3,6
v4_resampled_1,coffee maker,76,4,0.00015337581426121775,3,6
v4_resampled_1,coffee maker,76,8,0.00015643265609278912,3,6
v4_resampled_1,coffee maker,76,12,0.00016311876673949033,3,6
v4_resampled_1,coffee maker,76,16,0.00017290439991527593,3,6
v4_resampled_1,coffee maker,76,20,0.0001863026519785427,3,6
v4_resampled_1,coffee maker,76,24,0.00020431293511649883,3,6
v4_resampled_1,coffee maker,76,28,0.0002285508618093402,3,6
v4_resampled_1,coffee maker,76,32,0.00025905913621545614,3,6
v4_resampled_1,coffee maker,76,36,0.0002967330170923284,3,6
v4_resampled_1,coffee maker,76,40,0.00034269975984787073,3,6
v4_resampled_1,coffee maker,76,44,0.0004051995142733864,3,6
v4_resampled_1,coffee maker,76,48,0.000482581253621503,3,6
v4_resampled_1,coffee maker,76,52,0.0005698998798141426,3,6
v4_resampled_1,coffee maker,76,56,0.000684325200953747,3,6
v4_resampled_1,coffee maker,76,60,0.0008258930501144556,3,6
v4_resampled_1,coffee maker,76,64,0.0010013036510120564,3,6
v4_resampled_1,coffee maker,76,68,0.001215032842908057,3,6
v4_resampled_1,coffee maker,76,72,0.0014673519548007118,3,6
v4_resampled_1,coffee maker,80,0,0.00014911120013198355,3,6
v4_resampled_1,coffee maker,80,4,0.00015048261959380778,3,6
v4_resampled_1,coffee maker,80,8,0.00015348179888889004,3,6
v4_resampled_1,coffee maker,80,12,0.00016004178652355097,3,6
v4_resampled_1,coffee maker,80,16,0.00016964282904625478,3,6
v4_resampled_1,coffee maker,80,20,0.00018278834405571168,3,6
v4_resampled_1,coffee maker,80,24,0.00020045889139252938,3,6
v4_resampled_1,coffee maker,80,28,0.00022423960753627204,3,6
v4_resampled_1,coffee maker,80,32,0.0002541723910982225,3,6
v4_resampled_1,coffee maker,80,36,0.00029113561318069305,3,6
v4_resampled_1,coffee maker,80,40,0.000336235265282735,3,6
v4_resampled_1,coffee maker,80,44,0.00039755605966758514,3,6
v4_resampled_1,coffee maker,80,48,0.0004734781136232216,3,6
v4_resampled_1,coffee maker,80,52,0.0005591496106065848,3,6
v4_resampled_1,coffee maker,80,56,0.0006714164771649908,3,6
v4_resampled_1,coffee maker,80,60,0.0008103138704377123,3,6
v4_resampled_1,coffee maker,80,64,0.0009824156249075456,3,6
v4_resampled_1,coffee maker,80,68,0.001192113150134048,3,6
v4_resampled_1,coffee maker,80,72,0.001439672656918628,3,6
v4_resampled_1,coffee maker,80,76,0.0017035512275207945,3,6
v4_resampled_1,coffee maker,68,0,0.00014799640241749485,3,6
v4_resampled_1,coffee maker,68,4,0.00014935756875761896,3,6
v4_resampled_1,coffee maker,68,8,0.00015233432533582695,3,6
v4_resampled_1,coffee maker,68,12,0.00015884526863836713,3,6
v4_resampled_1,coffee maker,68,16,0.0001683745310382395,3,6
v4_resampled_1,coffee maker,68,20,0.00018142176644109844,3,6
v4_resampled_1,coffee maker,68,24,0.00019896020374347633,3,6
v4_resampled_1,coffee maker,68,28,0.00022256312849406722,3,6
