prior_version,object,price,theta,probability,utterance_cost,alpha
exp1,headphones,48,42,0.00007933704595146886,6,5
exp1,headphones,48,36,0.00006344549387042149,6,5
exp1,headphones,48,30,0.00005172872240094582,6,5
exp1,headphones,48,24,0.00004255983065689628,6,5
exp1,headphones,48,18,0.00003537229539817471,6,5
exp1,headphones,48,12,0.00003034885102685239,6,5
exp1,headphones,48,6,0.00002680465766069039,6,5
exp1,headphones,48,0,0.000024583473268825647,6,5
exp1,headphones,60,54,0.00012780829691666232,6,5
exp1,headphones,60,48,0.00009983685589477505,6,5
exp1,headphones,60,42,0.00007871413137391086,6,5
exp1,headphones,60,36,0.00006294735176620918,6,5
exp1,headphones,60,30,0.000051322574492669454,6,5
exp1,headphones,60,24,0.00004222567227455868,6,5
exp1,headphones,60,18,0.00003509456992729331,6,5
exp1,headphones,60,12,0.000030110567114336528,6,5
exp1,headphones,60,6,0.000026594200971724312,6,5
exp1,headphones,60,0,0.00002439045620242857,6,5
exp1,headphones,54,48,0.00009981818366293975,6,5
exp1,headphones,54,42,0.00007869940967122317,6,5
exp1,headphones,54,36,0.00006293557888398942,6,5
exp1,headphones,54,30,0.000051312975762814406,6,5
exp1,headphones,54,24,0.00004221777491506084,6,5
exp1,headphones,54,18,0.000035088006279630136,6,5
exp1,headphones,54,12,0.000030104935611973714,6,5
exp1,headphones,54,6,0.00002658922712632837,6,5
exp1,headphones,54,0,0.000024385894517781036,6,5
exp1,headphones,42,36,0.00006237517876966685,6,5
exp1,headphones,42,30,0.0000508560673178042,6,5
exp1,headphones,42,24,0.00004184185327727887,6,5
exp1,headphones,42,18,0.00003477557056235985,6,5
exp1,headphones,42,12,0.00002983687087565466,6,5
exp1,headphones,42,6,0.000026352467471685173,6,5
exp1,headphones,42,0,0.00002416875409708493,6,5
exp1,headphones,66,60,0.00015917828512223274,6,5
exp1,headphones,66,54,0.00012284139488682774,6,5
exp1,headphones,66,48,0.00009595698350652695,6,5
exp1,headphones,66,42,0.00007565513294947624,6,5
exp1,headphones,66,36,0.00006050108390408313,6,5
exp1,headphones,66,30,0.00004932807017977502,6,5
exp1,headphones,66,24,0.00004058469291413116,6,5
exp1,headphones,66,18,0.00003373072035873436,6,5
exp1,headphones,66,12,0.00002894040648683684,6,5
exp1,headphones,66,6,0.00002556069380532794,6,5
exp1,headphones,66,0,0.000023442591241052658,6,5
exp1,headphones,36,30,0.000048424822448432576,6,5
exp1,headphones,36,24,0.00003984154541883448,6,5
exp1,headphones,36,18,0.00003311307615474366,6,5
exp1,headphones,36,12,0.000028410477859827806,6,5
exp1,headphones,36,6,0.00002509265119577383,6,5
exp1,headphones,36,0,0.00002301333326931147,6,5
exp1,headphones,30,24,0.00003958809910346012,6,5
exp1,headphones,30,18,0.00003290243203805846,6,5
exp1,headphones,30,12,0.000028229748652265832,6,5
exp1,headphones,30,6,0.000024933027869879168,6,5
exp1,headphones,30,0,0.000022866937228187387,6,5
exp1,headphones,72,66,0.00020151119456561102,6,5
exp1,headphones,72,60,0.00015516103351079675,6,5
exp1,headphones,72,54,0.0001197411931778999,6,5
exp1,headphones,72,48,0.00009353527538016932,6,5
exp1,headphones,72,42,0.00007374579145530633,6,5
exp1,headphones,72,36,0.00005897419173646954,6,5
exp1,headphones,72,30,0.000048083156218887964,6,5
exp1,headphones,72,24,0.00003956043936796605,6,5
exp1,headphones,72,18,0.00003287944349887872,6,5
exp1,headphones,72,12,0.000028210024861569467,6,5
exp1,headphones,72,6,0.000024915607458908107,6,5
exp1,headphones,72,0,0.00002285096037025243,6,5
exp1,headphones,24,18,0.00003238163120592078,6,5
exp1,headphones,24,12,0.000027782910054677263,6,5
exp1,headphones,24,6,0.000024538371886779646,6,5
exp1,headphones,24,0,0.000022504984655103852,6,5
exp1,headphones,78,72,0.00024686486556621285,6,5
exp1,headphones,78,66,0.00018896565645414466,6,5
exp1,headphones,78,60,0.00014550113018125459,6,5
exp1,headphones,78,54,0.0001122864326333851,6,5
exp1,headphones,78,48,0.00008771202389988274,6,5
exp1,headphones,78,42,0.0000691545793429607,6,5
exp1,headphones,78,36,0.00005530261918876173,6,5
exp1,headphones,78,30,0.00004508962987825933,6,5
exp1,headphones,78,24,0.000037097514164891884,6,5
exp1,headphones,78,18,0.00003083245890138186,6,5
exp1,headphones,78,12,0.000026453745550193294,6,5
exp1,headphones,78,6,0.00002336442960191647,6,5
exp1,headphones,78,0,0.000021428321817458284,6,5
exp1,headphones,90,84,0.00040727119945029727,6,5
exp1,headphones,90,78,0.0003120483761754248,6,5
