prior_version,object,price,theta,probability,utterance_cost,alpha
v4_actual,headphones,30,0,0.000037945933605200056,5,9
v4_actual,headphones,30,6,0.00004303236866479245,5,9
v4_actual,headphones,30,12,0.000052588112127996536,5,9
v4_actual,headphones,30,18,0.00007179006429352107,5,9
v4_actual,headphones,30,24,0.00010922095454104147,5,9
v4_actual,headphones,36,0,0.00003780091163039109,5,9
v4_actual,headphones,36,6,0.000042867907324892154,5,9
v4_actual,headphones,36,12,0.00005238713059591431,5,9
v4_actual,headphones,36,18,0.0000715156966365327,5,9
v4_actual,headphones,36,24,0.00010880353330474147,5,9
v4_actual,headphones,36,30,0.00017157881315858645,5,9
v4_actual,headphones,24,0,0.00003638555817887325,5,9
v4_actual,headphones,24,6,0.00004126283384981623,5,9
v4_actual,headphones,24,12,0.000050425635412173005,5,9
v4_actual,headphones,24,18,0.00006883798375325786,5,9
v4_actual,headphones,42,0,0.000034996521050798606,5,9
v4_actual,headphones,42,6,0.00003968760425061086,5,9
v4_actual,headphones,42,12,0.00004850061121850956,5,9
v4_actual,headphones,42,18,0.00006621005882807162,5,9
v4_actual,headphones,42,24,0.00010073156914658348,5,9
v4_actual,headphones,42,30,0.0001588496490584067,5,9
v4_actual,headphones,42,36,0.0002543819360519353,5,9
v4_actual,headphones,48,0,0.00003263513812636104,5,9
v4_actual,headphones,48,6,0.00003700969147027495,5,9
v4_actual,headphones,48,12,0.00004522804263976654,5,9
v4_actual,headphones,48,18,0.00006174254898285953,5,9
v4_actual,headphones,48,24,0.0000939347276265578,5,9
v4_actual,headphones,48,30,0.00014813130227488193,5,9
v4_actual,headphones,48,36,0.00023721756822216094,5,9
v4_actual,headphones,48,42,0.0003713991775745169,5,9
v4_actual,headphones,60,0,0.000030175360578185116,5,9
v4_actual,headphones,60,6,0.000034220194830456104,5,9
v4_actual,headphones,60,12,0.00004181911195277229,5,9
v4_actual,headphones,60,18,0.000057088885953545904,5,9
v4_actual,headphones,60,24,0.00008685467381721878,5,9
v4_actual,headphones,60,30,0.0001369663410570981,5,9
v4_actual,headphones,60,36,0.00021933799173357583,5,9
v4_actual,headphones,60,42,0.0003434060569426501,5,9
v4_actual,headphones,60,48,0.0005244945596304193,5,9
v4_actual,headphones,60,54,0.0007690302346977573,5,9
v4_actual,headphones,54,0,0.00002970939064479045,5,9
v4_actual,headphones,54,6,0.000033691764296392234,5,9
v4_actual,headphones,54,12,0.00004117333843299049,5,9
v4_actual,headphones,54,18,0.00005620731556380942,5,9
v4_actual,headphones,54,24,0.00008551345814329959,5,9
v4_actual,headphones,54,30,0.00013485129767081181,5,9
v4_actual,headphones,54,36,0.00021595095981612124,5,9
v4_actual,headphones,54,42,0.0003381031576760017,5,9
v4_actual,headphones,54,48,0.0005163952796107624,5,9
v4_actual,headphones,66,0,0.000029208149908191125,5,9
v4_actual,headphones,66,6,0.00003312333510997233,5,9
v4_actual,headphones,66,12,0.00004047868418271842,5,9
v4_actual,headphones,66,18,0.00005525901619973554,5,9
v4_actual,headphones,66,24,0.00008407072142542539,5,9
v4_actual,headphones,66,30,0.00013257615966532342,5,9
v4_actual,headphones,66,36,0.00021230755226657894,5,9
v4_actual,headphones,66,42,0.000332398864450124,5,9
v4_actual,headphones,66,48,0.0005076829383371517,5,9
v4_actual,headphones,66,54,0.0007443805127293893,5,9
v4_actual,headphones,66,60,0.001082909102360003,5,9
v4_actual,headphones,18,0,0.000027972791694571153,5,9
v4_actual,headphones,18,6,0.000031722384203488494,5,9
v4_actual,headphones,18,12,0.000038766638909777915,5,9
v4_actual,headphones,72,0,0.000026470953202341473,5,9
v4_actual,headphones,72,6,0.000030019232863347306,5,9
v4_actual,headphones,72,12,0.000036685286745690105,5,9
v4_actual,headphones,72,18,0.000050080502751063086,5,9
v4_actual,headphones,72,24,0.00007619216347268277,5,9
v4_actual,headphones,72,30,0.00012015198940288656,5,9
v4_actual,headphones,72,36,0.00019241147755737111,5,9
v4_actual,headphones,72,42,0.00030124861769841444,5,9
v4_actual,headphones,72,48,0.0004601062150321641,5,9
v4_actual,headphones,72,54,0.0006746220414210001,5,9
v4_actual,headphones,72,60,0.0009814259465616509,5,9
v4_actual,headphones,72,66,0.0013725382269041012,5,9
v4_actual,headphones,114,0,0.0000231408127283815,5,9
v4_actual,headphones,114,6,0.00002624270613265846,5,9
v4_actual,headphones,114,12,0.00003207014662373034,5,9
v4_actual,headphones,114,18,0.000043780196604444047,5,9
v4_actual,headphones,114,24,0.00006660691712966481,5,9
v4_actual,headphones,114,30,0.00010503643992195778,5,9
v4_actual,headphones,114,36,0.00016820542633698917,5,9
v4_actual,headphones,114,42,0.0002633504654538171,5,9
v4_actual,headphones,114,48,0.0004022232095624731,5,9
v4_actual,headphones,114,54,0.0005897521786854661,5,9
v4_actual,headphones,114,60,0.0008579590565763588,5,9
v4_actual,headphones,114,66,0.001199868014897299,5,9
v4_actual,headphones,114,72,0.0015676911443064294,5,9
v4_actual,headphones,114,78,0.0018865297169307588,5,9
v4_actual,headphones,114,84,0.0021870298884554156,5,9
v4_actual,headphones,114,90,0.002468551302163949,5,9
v4_actual,headphones,114,96,0.0026960800627549163,5,9
v4_actual,headphones,114,102,0.002868667489306333,5,9
v4_actual,headphones,114,108,0.0029912563710060534,5,9
v4_actual,headphones,108,0,0.000022739830753432948,5,9
v4_actual,headphones,108,6,0.000025787974820643385,5,9
v4_actual,headphones,108,12,0.000031514437933589725,5,9
v4_actual,headphones,108,18,0.00004302157719448032,5,9
v4_actual,headphones,108,24,0.00006545275830692222,5,9
v4_actual,headphones,108,30,0.00010321637769614699,5,9
v4_actual,headphones,108,36,0.00016529077745056634,5,9
v4_actual,headphones,108,42,0.0002587871516678747,5,9
v4_actual,headphones,108,48,0.0003952535210371103,5,9
v4_actual,headphones,108,54,0.0005795330046177568,5,9
v4_actual,headphones,108,60,0.0008430924172336027,5,9
v4_actual,headphones,108,66,0.0011790768070888877,5,9
v4_actual,headphones,108,72,0.0015405263295468067,5,9
v4_actual,headphones,108,78,0.0018538400953269942,5,9
v4_actual,headphones,108,84,0.0021491332262146313,5,9
v4_actual,headphones,108,90,0.0024257764615383255,5,9
v4_actual,headphones,108,96,0.00264936262370588,5,9
v4_actual,headphones,108,102,0.00281895947045519,5,9
v4_actual,headphones,102,0,0.00002218784938724178,5,9
v4_actual,headphones,102,6,0.00002516200351385812,5,9
v4_actual,headphones,102,12,0.00003074946379222756,5,9
v4_actual,headphones,102,18,0.00004197728142935332,5,9
v4_actual,headphones,102,24,0.00006386397326524899,5,9
v4_actual,headphones,102,30,0.00010071092733498132,5,9
