prior_version,object,price,theta,probability,utterance_cost,alpha
v4_resampled_2,headphones,30,0,0.00008843680691100975,9,2
v4_resampled_2,headphones,30,6,0.00009096336801309457,9,2
v4_resampled_2,headphones,30,12,0.00009514732776828891,9,2
v4_resampled_2,headphones,30,18,0.0001020450415416038,9,2
v4_resampled_2,headphones,30,24,0.00011219925931606623,9,2
v4_resampled_2,headphones,36,0,0.00008809881864282079,9,2
v4_resampled_2,headphones,36,6,0.00009061572371998559,9,2
v4_resampled_2,headphones,36,12,0.00009478369319510057,9,2
v4_resampled_2,headphones,36,18,0.00010165504524851541,9,2
v4_resampled_2,headphones,36,24,0.0001117704555784276,9,2
v4_resampled_2,headphones,36,30,0.00012401674028224882,9,2
v4_resampled_2,headphones,24,0,0.0000848001953646323,9,2
v4_resampled_2,headphones,24,6,0.00008722286170165946,9,2
v4_resampled_2,headphones,24,12,0.00009123477277161996,9,2
v4_resampled_2,headphones,24,18,0.00009784884553133698,9,2
v4_resampled_2,headphones,42,0,0.00008156290491960438,9,2
v4_resampled_2,headphones,42,6,0.00008389308474111586,9,2
v4_resampled_2,headphones,42,12,0.00008775183907225915,9,2
v4_resampled_2,headphones,42,18,0.00009411341625156273,9,2
v4_resampled_2,headphones,42,24,0.00010347838009184282,9,2
v4_resampled_2,headphones,42,30,0.0001148161320651784,9,2
v4_resampled_2,headphones,42,36,0.0001280693656455651,9,2
v4_resampled_2,headphones,48,0,0.00007605946500153062,9,2
v4_resampled_2,headphones,48,6,0.00007823241642787094,9,2
v4_resampled_2,headphones,48,12,0.00008183080211911643,9,2
v4_resampled_2,headphones,48,18,0.00008776313321130502,9,2
v4_resampled_2,headphones,48,24,0.00009649619807887513,9,2
v4_resampled_2,headphones,48,30,0.00010706893761361808,9,2
v4_resampled_2,headphones,48,36,0.00011942791203536198,9,2
v4_resampled_2,headphones,48,42,0.0001328816925161184,9,2
v4_resampled_2,headphones,60,0,0.00007032670653693813,9,2
v4_resampled_2,headphones,60,6,0.00007233587814071107,9,2
v4_resampled_2,headphones,60,12,0.00007566304609423066,9,2
v4_resampled_2,headphones,60,18,0.00008114824517881391,9,2
v4_resampled_2,headphones,60,24,0.00008922308096811784,9,2
v4_resampled_2,headphones,60,30,0.00009899893135749884,9,2
v4_resampled_2,headphones,60,36,0.00011042638443303687,9,2
