prior_version,object,price,theta,probability,utterance_cost,alpha
exp1,laptop,600,550,0.0011673601216538652,6,1
exp1,laptop,600,500,0.0011063798877302257,6,1
exp1,laptop,600,450,0.0010525268567282752,6,1
exp1,laptop,600,400,0.0010083669489486908,6,1
exp1,laptop,600,350,0.0009710669717127741,6,1
exp1,laptop,600,300,0.0009399504374094144,6,1
exp1,laptop,600,250,0.00091601891467298,6,1
exp1,laptop,600,200,0.0008972639636579669,6,1
exp1,laptop,600,150,0.0008836605410043897,6,1
exp1,laptop,600,100,0.000875030852681867,6,1
exp1,laptop,600,50,0.0008697168155793752,6,1
exp1,laptop,600,0,0.0008673555090956384,6,1
exp1,laptop,550,500,0.0010974488061177158,6,1
exp1,laptop,550,450,0.0010440304954322636,6,1
exp1,laptop,550,400,0.0010002270617216263,6,1
exp1,laptop,550,350,0.0009632281828195939,6,1
exp1,laptop,550,300,0.0009323628319573323,6,1
exp1,laptop,550,250,0.0009086244927603338,6,1
exp1,laptop,550,200,0.0008900209382050814,6,1
exp1,laptop,550,150,0.0008765273270902668,6,1
exp1,laptop,550,100,0.0008679673006004959,6,1
exp1,laptop,550,50,0.0008626961602458409,6,1
exp1,laptop,550,0,0.0008603539150458043,6,1
exp1,laptop,650,600,0.001207220697587525,6,1
exp1,laptop,650,550,0.0011401409394011088,6,1
exp1,laptop,650,500,0.001080582573562727,6,1
exp1,laptop,650,450,0.0010279852265939365,6,1
exp1,laptop,650,400,0.0009848549895696067,6,1
exp1,laptop,650,350,0.0009484247309916871,6,1
exp1,laptop,650,300,0.0009180337368216337,6,1
exp1,laptop,650,250,0.0008946602222498315,6,1
exp1,laptop,650,200,0.0008763425779582115,6,1
exp1,laptop,650,150,0.0008630563445195128,6,1
exp1,laptop,650,100,0.0008546278735033521,6,1
exp1,laptop,650,50,0.0008494377431042924,6,1
exp1,laptop,650,0,0.0008471314948929286,6,1
exp1,laptop,700,650,0.001274941074654788,6,1
exp1,laptop,700,600,0.0012016794158030133,6,1
exp1,laptop,700,550,0.001134907561418189,6,1
exp1,laptop,700,500,0.0010756225753258603,6,1
exp1,laptop,700,450,0.0010232666562262646,6,1
exp1,laptop,700,400,0.00098033439194815,6,1
exp1,laptop,700,350,0.0009440713524451403,6,1
exp1,laptop,700,300,0.000913819856432087,6,1
exp1,laptop,700,250,0.0008905536289791981,6,1
exp1,laptop,700,200,0.0008723200647806821,6,1
exp1,laptop,700,150,0.0008590948166808549,6,1
exp1,laptop,700,100,0.0008507050333156018,6,1
exp1,laptop,700,50,0.0008455387262117318,6,1
exp1,laptop,700,0,0.000843243063944787,6,1
exp1,laptop,500,450,0.0010226003025570537,6,1
exp1,laptop,500,400,0.000979695995871083,6,1
exp1,laptop,500,350,0.0009434565709452537,6,1
exp1,laptop,500,300,0.0009132247747780272,6,1
exp1,laptop,500,250,0.0008899736983475422,6,1
exp1,laptop,500,200,0.0008717520078891972,6,1
exp1,laptop,500,150,0.0008585353721022477,6,1
exp1,laptop,500,100,0.0008501510521837856,6,1
exp1,laptop,500,50,0.0008449881093913333,6,1
exp1,laptop,500,0,0.0008426939420650919,6,1
exp1,laptop,750,700,0.0013147921293416758,6,1
exp1,laptop,750,650,0.0012350023670941242,6,1
exp1,laptop,750,600,0.0011640356974198572,6,1
exp1,laptop,750,550,0.0010993555330892414,6,1
exp1,laptop,750,500,0.0010419277039819272,6,1
exp1,laptop,750,450,0.0009912118824394358,6,1
exp1,laptop,750,400,0.0009496245110210797,6,1
exp1,laptop,750,350,0.0009144974447475528,6,1
exp1,laptop,750,300,0.0008851936048078305,6,1
exp1,laptop,750,250,0.0008626562134343129,6,1
exp1,laptop,750,200,0.0008449938324871549,6,1
exp1,laptop,750,150,0.0008321828775078338,6,1
exp1,laptop,750,100,0.0008240559118609689,6,1
exp1,laptop,750,50,0.00081905144410222,6,1
exp1,laptop,750,0,0.0008168276955776121,6,1
exp1,laptop,800,750,0.0013737506473487987,6,1
exp1,laptop,800,700,0.0012877770759278154,6,1
exp1,laptop,800,650,0.0012096267551105063,6,1
exp1,laptop,800,600,0.0011401182386522994,6,1
exp1,laptop,800,550,0.0010767670586190607,6,1
exp1,laptop,800,500,0.0010205191999695506,6,1
exp1,laptop,800,450,0.0009708454371657162,6,1
exp1,laptop,800,400,0.0009301125620857064,6,1
exp1,laptop,800,350,0.000895707252164742,6,1
exp1,laptop,800,300,0.0008670055186595928,6,1
exp1,laptop,800,250,0.0008449312034014378,6,1
exp1,laptop,800,200,0.0008276317316579881,6,1
exp1,laptop,800,150,0.0008150840035609454,6,1
exp1,laptop,800,100,0.0008071240227979592,6,1
exp1,laptop,800,50,0.000802222381912596,6,1
exp1,laptop,800,0,0.000800044324781956,6,1
exp1,laptop,850,800,0.0014662420444832589,6,1
exp1,laptop,850,750,0.0013703652421213914,6,1
exp1,laptop,850,700,0.0012846035398475983,6,1
exp1,laptop,850,650,0.0012066458089337964,6,1
exp1,laptop,850,600,0.001137308585930793,6,1
exp1,laptop,850,550,0.0010741135255080954,6,1
exp1,laptop,850,500,0.0010180042813844963,6,1
exp1,laptop,850,450,0.0009684529322199827,6,1
exp1,laptop,850,400,0.0009278204372842794,6,1
exp1,laptop,850,350,0.0008934999141594363,6,1
exp1,laptop,850,300,0.0008648689118301607,6,1
exp1,laptop,850,250,0.0008428489954561194,6,1
exp1,laptop,850,200,0.0008255921557013693,6,1
exp1,laptop,850,150,0.0008130753496238152,6,1
exp1,laptop,850,100,0.00080513498505576,6,1
exp1,laptop,850,50,0.0008002454235391719,6,1
exp1,laptop,850,0,0.000798072733908095,6,1
exp1,laptop,450,400,0.0008814445748216564,6,1
exp1,laptop,450,350,0.0008488395170995136,6,1
exp1,laptop,450,300,0.000821639597092674,6,1
exp1,laptop,450,250,0.0008007203167600095,6,1
exp1,laptop,450,200,0.0007843260370382635,6,1
exp1,laptop,450,150,0.0007724348667559534,6,1
exp1,laptop,450,100,0.0007648913906808783,6,1
exp1,laptop,450,50,0.000760246227350926,6,1
exp1,laptop,450,0,0.0007581821367024278,6,1
exp1,laptop,900,850,0.0013974289712119195,6,1
exp1,laptop,900,800,0.0012998996113195672,6,1
exp1,laptop,900,750,0.00121489985388274,6,1
