prior_version,object,price,theta,probability,utterance_cost,alpha
v4_actual,laptop,850,700,0.0002413408340288903,7,8
v4_actual,laptop,850,750,0.0003824269299518555,7,8
v4_actual,laptop,850,800,0.0006325804132446839,7,8
v4_actual,laptop,850,0,0.000008032959824993328,7,8
v4_actual,laptop,850,50,0.000008364179363248166,7,8
v4_actual,laptop,850,100,0.000009274894549355382,7,8
v4_actual,laptop,850,150,0.000010758320731680143,7,8
v4_actual,laptop,850,200,0.000013192704521886038,7,8
v4_actual,laptop,850,250,0.00001587387615729268,7,8
v4_actual,laptop,850,300,0.000018799240911928177,7,8
v4_actual,laptop,850,350,0.00002244078416099442,7,8
v4_actual,laptop,850,400,0.00002743283016181823,7,8
v4_actual,laptop,850,450,0.00003544319153920404,7,8
v4_actual,laptop,850,500,0.00004858472896421047,7,8
v4_actual,laptop,850,550,0.00006868905761651801,7,8
v4_actual,laptop,850,600,0.00010162019803210571,7,8
v4_actual,laptop,850,650,0.0001533836633860304,7,8
v4_actual,laptop,800,0,0.000007941391782355,7,8
v4_actual,laptop,800,50,0.000008268835735338441,7,8
v4_actual,laptop,800,100,0.00000916916964121906,7,8
v4_actual,laptop,800,150,0.000010635686186887639,7,8
v4_actual,laptop,800,200,0.000013042320335173743,7,8
v4_actual,laptop,800,250,0.000015692929183764522,7,8
v4_actual,laptop,800,300,0.00001858494758407729,7,8
v4_actual,laptop,800,350,0.000022184980730421197,7,8
v4_actual,laptop,800,400,0.00002712012219157172,7,8
v4_actual,laptop,800,450,0.00003503917312696202,7,8
v4_actual,laptop,800,500,0.000048030909621118295,7,8
v4_actual,laptop,800,550,0.00006790606819622469,7,8
v4_actual,laptop,800,600,0.00010046182517464907,7,8
v4_actual,laptop,800,650,0.00015163523663736832,7,8
v4_actual,laptop,800,700,0.00023858977983938075,7,8
v4_actual,laptop,800,750,0.0003780676294958896,7,8
v4_actual,laptop,700,0,0.000007793107909428234,7,8
v4_actual,laptop,700,50,0.000008114437737980326,7,8
