prior_version,object,price,theta,probability,utterance_cost,alpha
v4_actual,sweater,36,0,0.0004900905554342138,2,2
v4_actual,sweater,36,3,0.0004939857334919078,2,2
v4_actual,sweater,36,6,0.0004979690824174215,2,2
v4_actual,sweater,36,9,0.000503304848470031,2,2
v4_actual,sweater,36,12,0.0005105445819129542,2,2
v4_actual,sweater,36,15,0.0005263105958749191,2,2
v4_actual,sweater,36,18,0.0005520749421498646,2,2
v4_actual,sweater,36,21,0.0005878673687120428,2,2
v4_actual,sweater,36,24,0.0006247838494960592,2,2
v4_actual,sweater,36,27,0.0006653764108351352,2,2
v4_actual,sweater,36,30,0.0007101421593609117,2,2
v4_actual,sweater,36,33,0.0007601033728310573,2,2
v4_actual,sweater,21,0,0.0004880004093024987,2,2
v4_actual,sweater,21,3,0.0004918789751417775,2,2
v4_actual,sweater,21,6,0.0004958453358163348,2,2
v4_actual,sweater,21,9,0.000501158345807537,2,2
v4_actual,sweater,21,12,0.0005083672031181148,2,2
v4_actual,sweater,21,15,0.0005240659779286009,2,2
v4_actual,sweater,21,18,0.000549720444002621,2,2
v4_actual,sweater,33,0,0.00047637884874283715,2,2
v4_actual,sweater,33,3,0.0004801650478813375,2,2
v4_actual,sweater,33,6,0.0004840369510515523,2,2
v4_actual,sweater,33,9,0.0004892234335518144,2,2
v4_actual,sweater,33,12,0.000496260614424824,2,2
v4_actual,sweater,33,15,0.0005115855283559045,2,2
v4_actual,sweater,33,18,0.0005366290422146764,2,2
v4_actual,sweater,33,21,0.0005714200716894166,2,2
v4_actual,sweater,33,24,0.0006073037067044713,2,2
v4_actual,sweater,33,27,0.0006467605732443678,2,2
v4_actual,sweater,33,30,0.0006902738699389485,2,2
v4_actual,sweater,42,0,0.00047553441875778903,2,2
v4_actual,sweater,42,3,0.000479313906473038,2,2
v4_actual,sweater,42,6,0.00048317894630088413,2,2
v4_actual,sweater,42,9,0.0004883562352331451,2,2
v4_actual,sweater,42,12,0.0004953809419869636,2,2
v4_actual,sweater,42,15,0.0005106786909486584,2,2
v4_actual,sweater,42,18,0.0005356778126307232,2,2
v4_actual,sweater,42,21,0.0005704071714654315,2,2
v4_actual,sweater,42,24,0.000606227199085953,2,2
v4_actual,sweater,42,27,0.0006456141243148325,2,2
v4_actual,sweater,42,30,0.0006890502892631693,2,2
v4_actual,sweater,42,33,0.0007375276091064582,2,2
v4_actual,sweater,42,36,0.0007924761593425049,2,2
v4_actual,sweater,42,39,0.0008511373928972854,2,2
v4_actual,sweater,39,0,0.00047411191997421154,2,2
v4_actual,sweater,39,3,0.0004778801018481472,2,2
v4_actual,sweater,39,6,0.0004817335799167668,2,2
v4_actual,sweater,39,9,0.000486895381668883,2,2
v4_actual,sweater,39,12,0.0004938990749346801,2,2
v4_actual,sweater,39,15,0.000509151062688709,2,2
