prior_version,object,price,theta,probability,utterance_cost,alpha
v4_resampled_2,sweater,36,0,0.0005235416755251477,1,7
v4_resampled_2,sweater,36,3,0.0005356345096076157,1,7
v4_resampled_2,sweater,36,6,0.0005480905504778387,1,7
v4_resampled_2,sweater,36,9,0.0005649088774170234,1,7
v4_resampled_2,sweater,36,12,0.0005879525686805167,1,7
v4_resampled_2,sweater,36,15,0.0006388891759978076,1,7
v4_resampled_2,sweater,36,18,0.000723637874379976,1,7
v4_resampled_2,sweater,36,21,0.0008421655189261865,1,7
v4_resampled_2,sweater,36,24,0.0009620410849575619,1,7
v4_resampled_2,sweater,36,27,0.0010873155683284496,1,7
v4_resampled_2,sweater,36,30,0.0012140412735576823,1,7
v4_resampled_2,sweater,36,33,0.001338715750754758,1,7
v4_resampled_2,sweater,21,0,0.0005213088665151458,1,7
v4_resampled_2,sweater,21,3,0.0005333501268831283,1,7
v4_resampled_2,sweater,21,6,0.0005457530450286774,1,7
v4_resampled_2,sweater,21,9,0.0005624996448949666,1,7
v4_resampled_2,sweater,21,12,0.0005854450590510564,1,7
v4_resampled_2,sweater,21,15,0.0006361644311011764,1,7
v4_resampled_2,sweater,21,18,0.0007205516918630378,1,7
v4_resampled_2,sweater,33,0,0.0005088940765948813,1,7
v4_resampled_2,sweater,33,3,0.0005206485785218579,1,7
v4_resampled_2,sweater,33,6,0.0005327561254718132,1,7
v4_resampled_2,sweater,33,9,0.0005491039108682713,1,7
v4_resampled_2,sweater,33,12,0.0005715028879413214,1,7
v4_resampled_2,sweater,33,15,0.0006210143957302802,1,7
v4_resampled_2,sweater,33,18,0.0007033920031338383,1,7
v4_resampled_2,sweater,33,21,0.0008186034925760236,1,7
v4_resampled_2,sweater,33,24,0.0009351251914849684,1,7
v4_resampled_2,sweater,33,27,0.0010568947573404105,1,7
v4_resampled_2,sweater,33,30,0.0011800749429078318,1,7
v4_resampled_2,sweater,42,0,0.0005079920100597591,1,7
v4_resampled_2,sweater,42,3,0.0005197256759359482,1,7
v4_resampled_2,sweater,42,6,0.0005318117610268884,1,7
v4_resampled_2,sweater,42,9,0.0005481305683102033,1,7
v4_resampled_2,sweater,42,12,0.0005704898409171024,1,7
v4_resampled_2,sweater,42,15,0.0006199135845202824,1,7
v4_resampled_2,sweater,42,18,0.0007021451692320856,1,7
v4_resampled_2,sweater,42,21,0.0008171524345854742,1,7
v4_resampled_2,sweater,42,24,0.0009334675869260152,1,7
v4_resampled_2,sweater,42,27,0.0010550213038348789,1,7
v4_resampled_2,sweater,42,30,0.0011779831399887349,1,7
v4_resampled_2,sweater,42,33,0.0012989546714546189,1,7
v4_resampled_2,sweater,42,36,0.0014145034620799736,1,7
v4_resampled_2,sweater,42,39,0.0015141308268180505,1,7
v4_resampled_2,sweater,39,0,0.0005064724186529717,1,7
v4_resampled_2,sweater,39,3,0.0005181709848081362,1,7
v4_resampled_2,sweater,39,6,0.0005302209159622375,1,7
v4_resampled_2,sweater,39,9,0.0005464909076759647,1,7
v4_resampled_2,sweater,39,12,0.0005687832954542796,1,7
v4_resampled_2,sweater,39,15,0.0006180591944170271,1,7
v4_resampled_2,sweater,39,18,0.0007000447941388693,1,7
v4_resampled_2,sweater,39,21,0.000814708030356583,1,7
v4_resampled_2,sweater,39,24,0.000930675241189236,1,7
v4_resampled_2,sweater,39,27,0.0010518653461120428,1,7
v4_resampled_2,sweater,39,30,0.001174459358075987,1,7
v4_resampled_2,sweater,39,33,0.0012950690190871347,1,7
v4_resampled_2,sweater,39,36,0.001410272160675058,1,7
v4_resampled_2,sweater,30,0,0.0005003398153941651,1,7
v4_resampled_2,sweater,30,3,0.0005118967298773252,1,7
v4_resampled_2,sweater,30,6,0.0005238007548688365,1,7
v4_resampled_2,sweater,30,9,0.000539873741966854,1,7
v4_resampled_2,sweater,30,12,0.0005618962031610112,1,7
v4_resampled_2,sweater,30,15,0.0006105754466546158,1,7
v4_resampled_2,sweater,30,18,0.0006915683266596253,1,7
v4_resampled_2,sweater,30,21,0.000804843167161807,1,7
v4_resampled_2,sweater,30,24,0.0009194061931486999,1,7
v4_resampled_2,sweater,30,27,0.0010391288719985127,1,7
v4_resampled_2,sweater,27,0,0.0004963433304896088,1,7
v4_resampled_2,sweater,27,3,0.0005078079336418416,1,7
v4_resampled_2,sweater,27,6,0.0005196168747429287,1,7
v4_resampled_2,sweater,27,9,0.0005355614781938094,1,7
v4_resampled_2,sweater,27,12,0.0005574080340711895,1,7
v4_resampled_2,sweater,27,15,0.000605698450100335,1,7
v4_resampled_2,sweater,27,18,0.000686044396136954,1,7
v4_resampled_2,sweater,27,21,0.000798414449180284,1,7
v4_resampled_2,sweater,27,24,0.0009120623982736539,1,7
v4_resampled_2,sweater,24,0,0.0004925818778758332,1,7
v4_resampled_2,sweater,24,3,0.0005039595985037239,1,7
v4_resampled_2,sweater,24,6,0.0005156790475745116,1,7
v4_resampled_2,sweater,24,9,0.0005315028175888534,1,7
v4_resampled_2,sweater,24,12,0.0005531838130977176,1,7
v4_resampled_2,sweater,24,15,0.0006011082685096136,1,7
v4_resampled_2,sweater,24,18,0.0006808453266048385,1,7
v4_resampled_2,sweater,24,21,0.0007923638025164415,1,7
v4_resampled_2,sweater,45,0,0.0004894661482745013,1,7
v4_resampled_2,sweater,45,3,0.0005007719013726305,1,7
v4_resampled_2,sweater,45,6,0.0005124172213777315,1,7
v4_resampled_2,sweater,45,9,0.0005281409012530476,1,7
v4_resampled_2,sweater,45,12,0.0005496847578972324,1,7
v4_resampled_2,sweater,45,15,0.0005973060766103156,1,7
v4_resampled_2,sweater,45,18,0.0006765387736573805,1,7
v4_resampled_2,sweater,45,21,0.0007873518614252063,1,7
v4_resampled_2,sweater,45,24,0.0008994251391040986,1,7
v4_resampled_2,sweater,45,27,0.0010165459371592343,1,7
v4_resampled_2,sweater,45,30,0.001135023502032564,1,7
v4_resampled_2,sweater,45,33,0.0012515833462523735,1,7
v4_resampled_2,sweater,45,36,0.001362918210512376,1,7
v4_resampled_2,sweater,45,39,0.001458912284268278,1,7
v4_resampled_2,sweater,45,42,0.0015415111034539502,1,7
v4_resampled_2,sweater,48,0,0.0004401649914686684,1,7
v4_resampled_2,sweater,48,3,0.0004503319800000061,1,7
v4_resampled_2,sweater,48,6,0.00046080433278429083,1,7
v4_resampled_2,sweater,48,9,0.0004749442553153443,1,7
v4_resampled_2,sweater,48,12,0.0004943181211269417,1,7
v4_resampled_2,sweater,48,15,0.0005371428137414661,1,7
v4_resampled_2,sweater,48,18,0.0006083948493372005,1,7
v4_resampled_2,sweater,48,21,0.0007080463615079384,1,7
