prior_version,object,price,theta,probability,utterance_cost,alpha
exp1,watch,150,100,0.0014013763817410684,6,1
exp1,watch,150,50,0.0012995322179245139,6,1
exp1,watch,150,0,0.0012201927862176254,6,1
exp1,watch,100,50,0.001277249628211872,6,1
exp1,watch,100,0,0.00119927059987196,6,1
exp1,watch,200,150,0.0014049054473579772,6,1
exp1,watch,200,100,0.0012928823804749551,6,1
exp1,watch,200,50,0.0011989229512536358,6,1
exp1,watch,200,0,0.0011257259467463308,6,1
exp1,watch,50,0,0.001072991956451301,6,1
exp1,watch,250,200,0.0012663110681827496,6,1
exp1,watch,250,150,0.001165084837075938,6,1
exp1,watch,250,100,0.0010721843668887107,6,1
exp1,watch,250,50,0.0009942640296219316,6,1
exp1,watch,250,0,0.0009335619231341131,6,1
exp1,watch,300,250,0.0012481431896413943,6,1
exp1,watch,300,200,0.0011582119909214863,6,1
exp1,watch,300,150,0.0010656269716402863,6,1
exp1,watch,300,100,0.0009806569818513581,6,1
exp1,watch,300,50,0.0009093883408147299,6,1
exp1,watch,300,0,0.000853868090400052,6,1
exp1,watch,350,300,0.001284700473456617,6,1
exp1,watch,350,250,0.0011934632913163797,6,1
exp1,watch,350,200,0.0011074718880006063,6,1
exp1,watch,350,150,0.0010189429253343273,6,1
exp1,watch,350,100,0.000937695385373994,6,1
exp1,watch,350,50,0.0008695489518516816,6,1
exp1,watch,350,0,0.0008164609877907243,6,1
exp1,watch,400,350,0.0012424870751707976,6,1
exp1,watch,400,300,0.001151663345549823,6,1
exp1,watch,400,250,0.0010698742277024148,6,1
exp1,watch,400,200,0.0009927876621742579,6,1
exp1,watch,400,150,0.0009134263141956287,6,1
exp1,watch,400,100,0.0008405923613625194,6,1
exp1,watch,400,50,0.0007795028301923224,6,1
exp1,watch,400,0,0.0007319123890256194,6,1
exp1,watch,450,400,0.0011704469847537682,6,1
exp1,watch,450,350,0.0010877005682346434,6,1
exp1,watch,450,300,0.0010081914736999262,6,1
exp1,watch,450,250,0.0009365914774216492,6,1
exp1,watch,450,200,0.000869108199081142,6,1
exp1,watch,450,150,0.0007996335260505513,6,1
exp1,watch,450,100,0.0007358730785847633,6,1
exp1,watch,450,50,0.0006823939566728709,6,1
exp1,watch,450,0,0.0006407322356505862,6,1
exp1,watch,500,450,0.0010641177025859404,6,1
exp1,watch,500,400,0.0009932502236373617,6,1
exp1,watch,500,350,0.000923030984506165,6,1
exp1,watch,500,300,0.0008555589614615453,6,1
exp1,watch,500,250,0.0007947986594212151,6,1
exp1,watch,500,200,0.0007375318355696462,6,1
exp1,watch,500,150,0.0006785750990205913,6,1
exp1,watch,500,100,0.0006244674977968288,6,1
exp1,watch,500,50,0.0005790847077253139,6,1
exp1,watch,500,0,0.0005437302540323892,6,1
exp1,watch,550,500,0.0009778246406216347,6,1
exp1,watch,550,450,0.0009186199367458457,6,1
exp1,watch,550,400,0.0008574422316189764,6,1
exp1,watch,550,350,0.0007968241318991007,6,1
exp1,watch,550,300,0.0007385776189515743,6,1
exp1,watch,550,250,0.0006861251273885582,6,1
exp1,watch,550,200,0.0006366884476149571,6,1
exp1,watch,550,150,0.0005857929184194332,6,1
exp1,watch,550,100,0.0005390834979362908,6,1
exp1,watch,550,50,0.0004999059373680058,6,1
exp1,watch,550,0,0.00046938552977009217,6,1
exp1,watch,600,550,0.0009730628262971872,6,1
exp1,watch,600,500,0.000918924175710448,6,1
exp1,watch,600,450,0.0008632857396891859,6,1
exp1,watch,600,400,0.0008057931485638237,6,1
exp1,watch,600,350,0.0007488264543283323,6,1
exp1,watch,600,300,0.0006940884914311337,6,1
exp1,watch,600,250,0.0006447955399435717,6,1
exp1,watch,600,200,0.0005983367391283894,6,1
exp1,watch,600,150,0.0005505069644730789,6,1
exp1,watch,600,100,0.0005066111431445254,6,1
exp1,watch,600,50,0.00046979349092349986,6,1
exp1,watch,600,0,0.00044111151746000567,6,1
exp1,watch,650,600,0.000976886432405918,6,1
exp1,watch,650,550,0.0009227997270501105,6,1
exp1,watch,650,500,0.0008714575828080841,6,1
exp1,watch,650,450,0.0008186931238375438,6,1
exp1,watch,650,400,0.0007641702852662919,6,1
exp1,watch,650,350,0.0007101461786302387,6,1
exp1,watch,650,300,0.0006582356792711901,6,1
exp1,watch,650,250,0.0006114889318373057,6,1
exp1,watch,650,200,0.0005674299383656632,6,1
exp1,watch,650,150,0.0005220707880580255,6,1
exp1,watch,650,100,0.00048044238458199215,6,1
exp1,watch,650,50,0.00044552653074193127,6,1
exp1,watch,650,0,0.00041832611102793566,6,1
exp1,watch,700,650,0.0009809430381064249,6,1
exp1,watch,700,600,0.0009264183192095074,6,1
exp1,watch,700,550,0.0008751258526492935,6,1
exp1,watch,700,500,0.000826436157106931,6,1
exp1,watch,700,450,0.0007763976267599595,6,1
exp1,watch,700,400,0.0007246915585905907,6,1
exp1,watch,700,350,0.0006734584567618502,6,1
exp1,watch,700,300,0.0006242297685845617,6,1
exp1,watch,700,250,0.0005798980614898565,6,1
exp1,watch,700,200,0.0005381152530445232,6,1
exp1,watch,700,150,0.0004950994567402589,6,1
exp1,watch,700,100,0.00045562166863682084,6,1
exp1,watch,700,50,0.0004225096450123268,6,1
exp1,watch,700,0,0.00039671445912651897,6,1
exp1,watch,800,750,0.0009441578049996265,6,1
exp1,watch,800,700,0.0008962171079266998,6,1
exp1,watch,800,650,0.0008461949310806553,6,1
exp1,watch,800,600,0.0007991600483638852,6,1
exp1,watch,800,550,0.0007549134167861114,6,1
exp1,watch,800,500,0.00071291202428595,6,1
exp1,watch,800,450,0.0006697470808657194,6,1
exp1,watch,800,400,0.0006251436624292224,6,1
exp1,watch,800,350,0.0005809482408941393,6,1
exp1,watch,800,300,0.000538481894958512,6,1
exp1,watch,800,250,0.0005002398519729119,6,1
exp1,watch,800,200,0.00046419657592193194,6,1
exp1,watch,800,150,0.0004270896824785257,6,1
exp1,watch,800,100,0.0003930347956138514,6,1
exp1,watch,800,50,0.0003644712343667494,6,1
exp1,watch,800,0,0.0003422194269784345,6,1
exp1,watch,750,700,0.000892388959913365,6,1
exp1,watch,750,650,0.0008425804503754114,6,1
exp1,watch,750,600,0.0007957464748843999,6,1
exp1,watch,750,550,0.0007516888406525517,6,1
exp1,watch,750,500,0.0007098668550682295,6,1
exp1,watch,750,450,0.0006668862886152967,6,1
exp1,watch,750,400,0.0006224733915225293,6,1
exp1,watch,750,350,0.0005784667485921523,6,1
exp1,watch,750,300,0.0005361817955984686,6,1
exp1,watch,750,250,0.0004981031016491517,6,1
exp1,watch,750,200,0.000462213782707883,6,1
exp1,watch,750,150,0.0004252653895644144,6,1
exp1,watch,750,100,0.00039135596650124787,6,1
exp1,watch,750,50,0.00036291441312397496,6,1
exp1,watch,750,0,0.00034075765325427204,6,1
exp1,watch,850,800,0.0009551389905776065,6,1
exp1,watch,850,750,0.0009038272520120964,6,1
exp1,watch,850,700,0.0008579343850935364,6,1
exp1,watch,850,650,0.0008100489506894417,6,1
exp1,watch,850,600,0.000765023205449083,6,1
exp1,watch,850,550,0.0007226666086831994,6,1
exp1,watch,850,500,0.000682459343580818,6,1
exp1,watch,850,450,0.0006411382296863245,6,1
exp1,watch,850,400,0.0005984400865344806,6,1
exp1,watch,850,350,0.0005561325123280839,6,1
exp1,watch,850,300,0.0005154801546959735,6,1
exp1,watch,850,250,0.0004788716550998524,6,1
exp1,watch,850,200,0.0004443680001237825,6,1
exp1,watch,850,150,0.0004088461611323939,6,1
exp1,watch,850,100,0.00037624595950350035,6,1
exp1,watch,850,50,0.00034890251656108086,6,1
exp1,watch,850,0,0.0003276012152133772,6,1
exp1,watch,900,850,0.00097874701557026,6,1
exp1,watch,900,800,0.000925555472039321,6,1
exp1,watch,900,750,0.000875833011876282,6,1
exp1,watch,900,700,0.000831361584656712,6,1
exp1,watch,900,650,0.0007849593057413811,6,1
exp1,watch,900,600,0.0007413281428415598,6,1
exp1,watch,900,550,0.0007002834568844734,6,1
exp1,watch,900,500,0.0006613215313444649,6,1
exp1,watch,900,450,0.0006212802562493289,6,1
exp1,watch,900,400,0.0005799046026219866,6,1
exp1,watch,900,350,0.0005389074208487257,6,1
exp1,watch,900,300,0.0004995141886292491,6,1
exp1,watch,900,250,0.00046403956403681207,6,1
exp1,watch,900,200,0.0004306045907151341,6,1
exp1,watch,900,150,0.00039618296959013195,6,1
exp1,watch,900,100,0.00036459249395792893,6,1
exp1,watch,900,50,0.00033809595943320433,6,1
exp1,watch,900,0,0.0003174544232605432,6,1
exp1,watch,950,900,0.0009880327691053356,6,1
exp1,watch,950,850,0.0009330093761056648,6,1
exp1,watch,950,800,0.000882303516415268,6,1
exp1,watch,950,750,0.0008349046270218483,6,1
exp1,watch,950,700,0.0007925113855563975,6,1
exp1,watch,950,650,0.0007482775226562392,6,1
exp1,watch,950,600,0.000706685279279427,6,1
exp1,watch,950,550,0.0006675586446863583,6,1
exp1,watch,950,500,0.0006304174414319304,6,1
exp1,watch,950,450,0.0005922473274998626,6,1
exp1,watch,950,400,0.0005528051916233956,6,1
exp1,watch,950,350,0.0005137238413052278,6,1
exp1,watch,950,300,0.0004761714866812262,6,1
exp1,watch,950,250,0.00044235461998121583,6,1
exp1,watch,950,200,0.0004104820899987932,6,1
exp1,watch,950,150,0.0003776690190627129,6,1
exp1,watch,950,100,0.0003475547919012551,6,1
exp1,watch,950,50,0.0003222964618602965,6,1
exp1,watch,950,0,0.0003026195213639878,6,1
exp1,watch,1000,950,0.0010163071850756596,6,1
exp1,watch,1000,900,0.0009591722270495258,6,1
exp1,watch,1000,850,0.000905756073199583,6,1
exp1,watch,1000,800,0.0008565313370526855,6,1
exp1,watch,1000,750,0.000810516974249387,6,1
exp1,watch,1000,700,0.0007693620438667797,6,1
exp1,watch,1000,650,0.0007264202567969372,6,1
exp1,watch,1000,600,0.0006860429272637812,6,1
exp1,watch,1000,550,0.0006480591858200945,6,1
exp1,watch,1000,500,0.0006120028810549125,6,1
exp1,watch,1000,450,0.0005749477202021935,6,1
exp1,watch,1000,400,0.0005366576933010833,6,1
exp1,watch,1000,350,0.0004987179133738222,6,1
exp1,watch,1000,300,0.0004622624670142115,6,1
exp1,watch,1000,250,0.0004294333945798459,6,1
exp1,watch,1000,200,0.00039849186458117456,6,1
exp1,watch,1000,150,0.0003666372669299313,6,1
exp1,watch,1000,100,0.0003374026795401973,6,1
exp1,watch,1000,50,0.0003128821480006656,6,1
exp1,watch,1000,0,0.00029377997302477336,6,1
exp1,watch,1050,1000,0.000858459745788024,6,1
exp1,watch,1050,950,0.00080881760528783,6,1
exp1,watch,1050,900,0.0007633473374322735,6,1
exp1,watch,1050,850,0.0007208366415766873,6,1
exp1,watch,1050,800,0.0006816616423285072,6,1
exp1,watch,1050,750,0.0006450415856390147,6,1
exp1,watch,1050,700,0.00061228885818942,6,1
exp1,watch,1050,650,0.0005781140792498967,6,1
