prior_version,object,price,theta,probability,utterance_cost,alpha
v4_actual,watch,100,0,0.00009153039935411952,6,3
v4_actual,watch,100,50,0.00011306231867548906,6,3
v4_actual,watch,150,0,0.00009020964829592798,6,3
v4_actual,watch,150,50,0.00011143086969147978,6,3
v4_actual,watch,150,100,0.00014119417059064613,6,3
v4_actual,watch,200,0,0.00008896958139392368,6,3
v4_actual,watch,200,50,0.0001098990852762179,6,3
v4_actual,watch,200,100,0.0001392532449689096,6,3
v4_actual,watch,200,150,0.00017933423324100668,6,3
v4_actual,watch,50,0,0.00008796533602849575,6,3
v4_actual,watch,250,0,0.00007821827814343206,6,3
v4_actual,watch,250,50,0.00009661860925009447,6,3
v4_actual,watch,250,100,0.00012242554001830504,6,3
v4_actual,watch,250,150,0.00015766304299193003,6,3
v4_actual,watch,250,200,0.000206945502145153,6,3
v4_actual,watch,300,0,0.00007063536405206988,6,3
v4_actual,watch,300,50,0.00008725186491666812,6,3
v4_actual,watch,300,100,0.00011055692855584002,6,3
v4_actual,watch,300,150,0.00014237831237949916,6,3
v4_actual,watch,300,200,0.00018688305636383663,6,3
v4_actual,watch,300,250,0.00024261394658192114,6,3
v4_actual,watch,350,0,0.000059250535994767366,6,3
v4_actual,watch,350,50,0.00007318883157513977,6,3
v4_actual,watch,350,100,0.00009273764441901773,6,3
v4_actual,watch,350,150,0.00011943013865260231,6,3
v4_actual,watch,350,200,0.00015676172136290084,6,3
v4_actual,watch,350,250,0.00020351004865194636,6,3
v4_actual,watch,350,300,0.0002630086127386201,6,3
v4_actual,watch,400,0,0.00005451027603051978,6,3
v4_actual,watch,400,50,0.00006733345689673449,6,3
v4_actual,watch,400,100,0.0000853182930893194,6,3
v4_actual,watch,400,150,0.0001098752899871071,6,3
v4_actual,watch,400,200,0.00014422020930352102,6,3
v4_actual,watch,400,250,0.00018722849913090753,6,3
v4_actual,watch,400,300,0.00024196696009724477,6,3
v4_actual,watch,400,350,0.0003054348327463838,6,3
v4_actual,watch,450,0,0.00005386040838340981,6,3
v4_actual,watch,450,50,0.0000665307121962535,6,3
v4_actual,watch,450,100,0.00008430113444652803,6,3
v4_actual,watch,450,150,0.00010856536456791698,6,3
v4_actual,watch,450,200,0.00014250082619063212,6,3
v4_actual,watch,450,250,0.00018499637423515373,6,3
v4_actual,watch,450,300,0.0002390822471497505,6,3
v4_actual,watch,450,350,0.00030179346031981256,6,3
v4_actual,watch,450,400,0.0003801919104668661,6,3
v4_actual,watch,500,0,0.000047197050560665764,6,3
v4_actual,watch,500,50,0.000058299843644165356,6,3
v4_actual,watch,500,100,0.00007387179236501691,6,3
v4_actual,watch,500,150,0.00009513416541838553,6,3
v4_actual,watch,500,200,0.00012487129044360458,6,3
v4_actual,watch,500,250,0.00016210948803362256,6,3
v4_actual,watch,500,300,0.0002095041097081636,6,3
v4_actual,watch,500,350,0.00026445698488205047,6,3
v4_actual,watch,500,400,0.000333156345442563,6,3
v4_actual,watch,500,450,0.00042617272191220905,6,3
v4_actual,watch,550,0,0.00004327406053357407,6,3
v4_actual,watch,550,50,0.00005345399623463068,6,3
v4_actual,watch,550,100,0.00006773161408504458,6,3
v4_actual,watch,550,150,0.00008722667167166663,6,3
v4_actual,watch,550,200,0.00011449206502038269,6,3
v4_actual,watch,550,250,0.0001486350463619882,6,3
v4_actual,watch,550,300,0.0001920902560190761,6,3
v4_actual,watch,550,350,0.00024247548175923306,6,3
v4_actual,watch,550,400,0.0003054645934134065,6,3
v4_actual,watch,550,450,0.00039074950546076555,6,3
v4_actual,watch,550,500,0.0004931296007399719,6,3
v4_actual,watch,600,0,0.00004042153651122557,6,3
v4_actual,watch,600,50,0.00004993043485698979,6,3
v4_actual,watch,600,100,0.00006326690580789747,6,3
v4_actual,watch,600,150,0.00008147689517126467,6,3
v4_actual,watch,600,200,0.0001069450180871392,6,3
v4_actual,watch,600,250,0.0001388373746140025,6,3
v4_actual,watch,600,300,0.00017942811932570262,6,3
v4_actual,watch,600,350,0.00022649206980250033,6,3
v4_actual,watch,600,400,0.0002853290877560951,6,3
v4_actual,watch,600,450,0.0003649922195184683,6,3
v4_actual,watch,600,500,0.0004606236603475644,6,3
v4_actual,watch,600,550,0.0005792930883430292,6,3
v4_actual,watch,650,0,0.00003887605506661873,6,3
v4_actual,watch,650,50,0.00004802138915381087,6,3
v4_actual,watch,650,100,0.000060847952016849646,6,3
v4_actual,watch,650,150,0.00007836169865674294,6,3
v4_actual,watch,650,200,0.00010285607057766148,6,3
v4_actual,watch,650,250,0.00013352905125958722,6,3
v4_actual,watch,650,300,0.0001725678450018505,6,3
v4_actual,watch,650,350,0.00021783234725253784,6,3
v4_actual,watch,650,400,0.0002744197842314451,6,3
v4_actual,watch,650,450,0.00035103706710769706,6,3
v4_actual,watch,650,500,0.00044301212497665127,6,3
v4_actual,watch,650,550,0.0005571443330928515,6,3
v4_actual,watch,650,600,0.0007009406802231316,6,3
v4_actual,watch,700,0,0.000034678871175748506,6,3
v4_actual,watch,700,50,0.00004283684559278876,6,3
v4_actual,watch,700,100,0.00005427861149194493,6,3
v4_actual,watch,700,150,0.00006990151773818813,6,3
v4_actual,watch,700,200,0.00009175139851752112,6,3
v4_actual,watch,700,250,0.0001191128255918973,6,3
v4_actual,watch,700,300,0.00015393686565266592,6,3
v4_actual,watch,700,350,0.00019431446671573812,6,3
v4_actual,watch,700,400,0.00024479254207072286,6,3
v4_actual,watch,700,450,0.0003131379767643496,6,3
v4_actual,watch,700,500,0.00039518311168747233,6,3
v4_actual,watch,700,550,0.0004969932396822736,6,3
v4_actual,watch,700,600,0.0006252648708734772,6,3
v4_actual,watch,700,650,0.0007921762335342149,6,3
v4_actual,watch,750,0,0.000033568493151820406,6,3
v4_actual,watch,750,50,0.00004146525850393653,6,3
v4_actual,watch,750,100,0.000052540672068699576,6,3
v4_actual,watch,750,150,0.00006766335062074219,6,3
v4_actual,watch,750,200,0.00008881362306161861,6,3
v4_actual,watch,750,250,0.0001152989683519965,6,3
v4_actual,watch,750,300,0.00014900798224620095,6,3
v4_actual,watch,750,350,0.00018809273843401313,6,3
v4_actual,watch,750,400,0.0002369545632115121,6,3
v4_actual,watch,750,450,0.0003031116547974577,6,3
v4_actual,watch,750,500,0.00038252979778860097,6,3
v4_actual,watch,750,550,0.0004810800812467749,6,3
v4_actual,watch,750,600,0.0006052446006566775,6,3
v4_actual,watch,750,650,0.0007668116512692173,6,3
v4_actual,watch,750,700,0.0009607626766628928,6,3
v4_actual,watch,950,0,0.0000320562798652619,6,3
v4_actual,watch,950,50,0.0000395973070723173,6,3
v4_actual,watch,950,100,0.0000501737888717784,6,3
v4_actual,watch,950,150,0.00006461521207728742,6,3
v4_actual,watch,950,200,0.00008481269456555039,6,3
v4_actual,watch,950,250,0.00011010491239363634,6,3
v4_actual,watch,950,300,0.0001422953827399647,6,3
v4_actual,watch,950,350,0.00017961942576910804,6,3
v4_actual,watch,950,400,0.00022628009423316002,6,3
v4_actual,watch,950,450,0.0002894569021214166,6,3
v4_actual,watch,950,500,0.0003652973697464999,6,3
v4_actual,watch,950,550,0.00045940810188595417,6,3
v4_actual,watch,950,600,0.0005779791847623303,6,3
v4_actual,watch,950,650,0.000732267867546404,6,3
v4_actual,watch,950,700,0.000917481672707536,6,3
v4_actual,watch,950,750,0.001157418767349878,6,3
v4_actual,watch,950,800,0.0014508081447978543,6,3
v4_actual,watch,950,850,0.0018073206882333645,6,3
v4_actual,watch,950,900,0.0022685228564430573,6,3
