"item","qtype","dollar_amount","N","response","bootsci_high","bootsci_low"
"coffee maker","concrete",24,30,-2.96666666666667,-2.13333333333333,-3.63333333333333
"coffee maker","concrete",52,30,-1.23333333333333,-0.633333333333333,-1.83333333333333
"coffee maker","concrete",84,30,0.5,1.1675,-0.233333333333333
"coffee maker","concrete",124,30,1.96666666666667,2.53333333333333,1.23333333333333
"coffee maker","concrete",188,30,2.3,2.93333333333333,1.6
"coffee maker","inductive",2,30,2.63333333333333,3.2675,1.83333333333333
"coffee maker","inductive",20,30,0.933333333333333,1.73333333333333,0.0666666666666667
"coffee maker","inductive",100,30,-0.966666666666667,-0.365833333333334,-1.6
"coffee maker","inductive",140,30,-1.56666666666667,-1.0325,-2.16666666666667
"coffee maker","inductive",200,30,-1.83333333333333,-1.26666666666667,-2.36666666666667
"headphones","concrete",24,30,-3.43333333333333,-3.1,-3.73333333333333
"headphones","concrete",60,30,-0.7,-0.0333333333333333,-1.33416666666667
"headphones","concrete",96,30,0.933333333333333,1.63333333333333,0.166666666666667
"headphones","concrete",144,30,1.56666666666667,2.23333333333333,0.9
"headphones","concrete",234,30,3.16666666666667,3.63333333333333,2.56666666666667
"headphones","inductive",2.58,30,2.46666666666667,3.0675,1.76666666666667
"headphones","inductive",25.8,30,0.866666666666667,1.56666666666667,0.1325
"headphones","inductive",129,30,-1.26666666666667,-0.633333333333333,-1.93333333333333
"headphones","inductive",180.6,30,-1.4,-0.633333333333333,-2.13416666666667
"headphones","inductive",258,30,-1.7,-0.766666666666667,-2.4675
"laptop","concrete",350,30,-2.76666666666667,-2.09916666666667,-3.4
"laptop","concrete",600,30,-0.733333333333333,-0.0666666666666667,-1.36666666666667
"laptop","concrete",900,30,0.8,1.43333333333333,0.133333333333333
"laptop","concrete",1250,30,2.03333333333333,2.63333333333333,1.36666666666667
"laptop","concrete",1850,30,3.3,3.66666666666667,2.9
"laptop","inductive",18.5,30,2.8,3.36666666666667,2.06583333333333
"laptop","inductive",185,30,1.03333333333333,1.6,0.433333333333333
"laptop","inductive",925,30,-1.56666666666667,-0.866666666666667,-2.23416666666667
"laptop","inductive",1295,30,-2,-1.33333333333333,-2.56666666666667
"laptop","inductive",1850,30,-2.23333333333333,-1.46666666666667,-2.96666666666667
"sweater","concrete",18,30,-3.4,-2.83333333333333,-3.8
"sweater","concrete",36,30,-2.1,-1.53333333333333,-2.63333333333333
"sweater","concrete",57,30,0,0.633333333333333,-0.666666666666667
"sweater","concrete",87,30,0.9,1.5,0.266666666666667
"sweater","concrete",150,30,2.9,3.3,2.46666666666667
"sweater","inductive",1.71,30,3,3.56666666666667,2.33333333333333
"sweater","inductive",17.1,30,1.4,2.16666666666667,0.533333333333333
"sweater","inductive",85.5,30,-1.16666666666667,-0.566666666666667,-1.8
"sweater","inductive",119.7,30,-1.2,-0.433333333333333,-2
"sweater","inductive",171,30,-1.63333333333333,-0.8,-2.33416666666667
"watch","concrete",100,30,-1.1,-0.4,-1.8
"watch","concrete",250,30,0.9,1.76666666666667,0.0325
"watch","concrete",450,30,2,2.63333333333333,1.3
"watch","concrete",900,30,2.96666666666667,3.3675,2.5
"watch","concrete",2000,30,3.5,3.76666666666667,3.16666666666667
"watch","inductive",24,30,2.33333333333333,3,1.59916666666667
"watch","inductive",240,30,1.1,1.76666666666667,0.466666666666667
"watch","inductive",1200,30,-0.7,0.166666666666667,-1.5
"watch","inductive",1680,30,-1.16666666666667,-0.265833333333334,-1.9675
"watch","inductive",2400,30,-1.43333333333333,-0.599166666666667,-2.26666666666667
