"dollarAmt","qType","item"
0.63,"eps","coffee maker"
6,"eps","coffee maker"
30,"eps","coffee maker"
60,"eps","coffee maker"
120,"val","coffee maker"
130,"eps","coffee maker"
180,"val","coffee maker"
190,"eps","coffee maker"
250,"val","coffee maker"
300,"val","coffee maker"
350,"val","coffee maker"
0.79,"eps","headphones"
8,"eps","headphones"
40,"eps","headphones"
80,"eps","headphones"
120,"val","headphones"
160,"eps","headphones"
200,"val","headphones"
250,"eps","headphones"
300,"val","headphones"
350,"val","headphones"
450,"val","headphones"
6,"eps","laptop"
60,"eps","laptop"
300,"eps","laptop"
550,"eps","laptop"
1150,"eps","laptop"
1200,"val","laptop"
1700,"eps","laptop"
1800,"val","laptop"
2350,"val","laptop"
2900,"val","laptop"
3450,"val","laptop"
0.49,"eps","sweater"
5,"eps","sweater"
20,"eps","sweater"
50,"eps","sweater"
80,"val","sweater"
100,"eps","sweater"
130,"val","sweater"
150,"eps","sweater"
180,"val","sweater"
250,"val","sweater"
300,"val","sweater"
7,"eps","watch"
70,"eps","watch"
350,"eps","watch"
650,"eps","watch"
700,"val","watch"
1300,"eps","watch"
1400,"val","watch"
1950,"eps","watch"
2050,"val","watch"
2700,"val","watch"
3350,"val","watch"
0.63,"eps","coffee maker"
6,"eps","coffee maker"
30,"eps","coffee maker"
60,"eps","coffee maker"
130,"eps","coffee maker"
190,"eps","coffee maker"
0.79,"eps","headphones"
8,"eps","headphones"
40,"eps","headphones"
80,"eps","headphones"
160,"eps","headphones"
250,"eps","headphones"
6,"eps","laptop"
60,"eps","laptop"
300,"eps","laptop"
550,"eps","laptop"
1150,"eps","laptop"
1700,"eps","laptop"
0.49,"eps","sweater"
5,"eps","sweater"
20,"eps","sweater"
50,"eps","sweater"
100,"eps","sweater"
150,"eps","sweater"
7,"eps","watch"
70,"eps","watch"
350,"eps","watch"
650,"eps","watch"
1300,"eps","watch"
1950,"eps","watch"
120,"val","coffee maker"
180,"val","coffee maker"
250,"val","coffee maker"
300,"val","coffee maker"
350,"val","coffee maker"
120,"val","headphones"
200,"val","headphones"
300,"val","headphones"
350,"val","headphones"
450,"val","headphones"
1200,"val","laptop"
1800,"val","laptop"
2350,"val","laptop"
2900,"val","laptop"
3450,"val","laptop"
80,"val","sweater"
130,"val","sweater"
180,"val","sweater"
250,"val","sweater"
300,"val","sweater"
700,"val","watch"
1400,"val","watch"
2050,"val","watch"
2700,"val","watch"
3350,"val","watch"
