type,param,property,category,val,prob
global_param,speakerOptimality,NA,NA,0.7680186969037986,0.0009999999999999996
global_param,sigbin,NA,NA,0.012559717886298314,0.0009999999999999996
S1,188,11,coffee maker,0.592814091488877,0.0009999999999999996
S1,84,11,coffee maker,0.45830672823926194,0.0009999999999999996
S1,124,11,coffee maker,0.5374731535019432,0.0009999999999999996
S1,52,11,coffee maker,0.3684377287118887,0.0009999999999999996
S1,24,11,coffee maker,0.2632803698418278,0.0009999999999999996
Inductive,20,11,coffee maker,0.5286555971377385,0.0009999999999999996
Inductive,2,11,coffee maker,0.610259146249287,0.0009999999999999996
Inductive,140,11,coffee maker,0.1174689801226467,0.0009999999999999996
Inductive,100,11,coffee maker,0.22463290508819053,0.0009999999999999996
Inductive,200,11,coffee maker,0.01048551996187694,0.0009999999999999996
price_prior,mu,NA,coffee maker,4.512517947312368,0.0009999999999999996
price_prior,sigma,NA,coffee maker,0.8713044925017432,0.0009999999999999996
S1,100,11,watch,0.19557260070041824,0.0009999999999999996
S1,2000,11,watch,0.6485442272694464,0.0009999999999999996
S1,900,11,watch,0.5571027216706231,0.0009999999999999996
S1,450,11,watch,0.41811053475947696,0.0009999999999999996
S1,250,11,watch,0.30061367636284825,0.0009999999999999996
Inductive,240,11,watch,0.5421025277284023,0.0009999999999999996
Inductive,1200,11,watch,0.17760297983485362,0.0009999999999999996
Inductive,1680,11,watch,0.07926539342752154,0.0009999999999999996
Inductive,2400,11,watch,0,0.0009999999999999996
Inductive,24,11,watch,0.6648307020170376,0.0009999999999999996
price_prior,mu,NA,watch,6.186255757546638,0.0009999999999999996
price_prior,sigma,NA,watch,1.268443792832684,0.0009999999999999996
S1,144,11,headphones,0.5380079873779207,0.0009999999999999996
S1,234,11,headphones,0.5996618065657823,0.0009999999999999996
S1,24,11,headphones,0.2485325042831542,0.0009999999999999996
S1,96,11,headphones,0.45276637779800594,0.0009999999999999996
S1,60,11,headphones,0.36029031426715297,0.0009999999999999996
