type,param,property,category,val,prob
global_param,speakerOptimality,NA,NA,1.3124506456798182,0.0009999999999999996
global_param,sigbin,NA,NA,0.01276179198680197,0.0009999999999999996
global_param,cost,NA,NA,0.04768624407164709,0.0009999999999999996
S1,188,11,coffee maker,0.8243580182027259,0.0009999999999999996
S1,84,11,coffee maker,0.6499058495385392,0.0009999999999999996
S1,124,11,coffee maker,0.7614985963134067,0.0009999999999999996
S1,52,11,coffee maker,0.49583174314906575,0.0009999999999999996
S1,24,11,coffee maker,0.2985668709681722,0.0009999999999999996
Inductive,20,11,coffee maker,0.5287125268034043,0.0009999999999999996
Inductive,2,11,coffee maker,0.6074968813803495,0.0009999999999999996
Inductive,140,11,coffee maker,0.12347882034692015,0.0009999999999999996
Inductive,100,11,coffee maker,0.2316057537040044,0.0009999999999999996
Inductive,200,11,coffee maker,0.011187856661998567,0.0009999999999999996
price_prior,mu,NA,coffee maker,4.567622838578368,0.0009999999999999996
price_prior,sigma,NA,coffee maker,0.9000111321658861,0.0009999999999999996
S1,100,11,watch,0.1824650739042695,0.0009999999999999996
S1,2000,11,watch,0.8769541488999767,0.0009999999999999996
S1,900,11,watch,0.787345164136849,0.0009999999999999996
S1,450,11,watch,0.5871305894572092,0.0009999999999999996
S1,250,11,watch,0.371455280011916,0.0009999999999999996
Inductive,240,11,watch,0.5437151987938199,0.0009999999999999996
Inductive,1200,11,watch,0.18237655882576728,0.0009999999999999996
Inductive,1680,11,watch,0.08201738959269098,0.0009999999999999996
Inductive,2400,11,watch,0,0.0009999999999999996
Inductive,24,11,watch,0.6634220610447017,0.0009999999999999996
price_prior,mu,NA,watch,6.220723354113785,0.0009999999999999996
price_prior,sigma,NA,watch,1.2892926638747477,0.0009999999999999996
S1,144,11,headphones,0.7629059202056186,0.0009999999999999996
S1,234,11,headphones,0.8318581975176998,0.0009999999999999996
S1,24,11,headphones,0.2724109552680779,0.0009999999999999996
S1,96,11,headphones,0.6421113245725615,0.0009999999999999996
S1,60,11,headphones,0.48183221829508244,0.0009999999999999996
Inductive,180.6,11,headphones,0.11323361239648815,0.0009999999999999996
Inductive,129,11,headphones,0.22004671105065948,0.0009999999999999996
Inductive,25.8,11,headphones,0.5292367171027779,0.0009999999999999996
Inductive,258,11,headphones,0,0.0009999999999999996
Inductive,2.58,11,headphones,0.6154193412780703,0.0009999999999999996
price_prior,mu,NA,headphones,4.69581484125111,0.0009999999999999996
price_prior,sigma,NA,headphones,0.9531703371686828,0.0009999999999999996
S1,1850,11,laptop,0.824051600454965,0.0009999999999999996
S1,900,11,laptop,0.6703367939762608,0.0009999999999999996
S1,350,11,laptop,0.3823790892932514,0.0009999999999999996
S1,600,11,laptop,0.5464939228695749,0.0009999999999999996
S1,1250,11,laptop,0.7661657001569143,0.0009999999999999996
Inductive,1295,11,laptop,0.12089921830940523,0.0009999999999999996
Inductive,1850,11,laptop,0.024494172364889124,0.0009999999999999996
Inductive,185,11,laptop,0.5233024200778453,0.0009999999999999996
Inductive,18.5,11,laptop,0.5966640576081231,0.0009999999999999996
Inductive,925,11,laptop,0.2256121607697782,0.0009999999999999996
price_prior,mu,NA,laptop,6.883449958766856,0.0009999999999999996
price_prior,sigma,NA,laptop,0.6940929879242972,0.0009999999999999996
S1,57,11,sweater,0.638994458479827,0.0009999999999999996
S1,87,11,sweater,0.7674689552718079,0.0009999999999999996
S1,36,11,sweater,0.48603860052770503,0.0009999999999999996
S1,18,11,sweater,0.30194374710090427,0.0009999999999999996
S1,150,11,sweater,0.8406013403244206,0.0009999999999999996
Inductive,119.7,11,sweater,0.09368675984509332,0.0009999999999999996
Inductive,17.1,11,sweater,0.5243747279543192,0.0009999999999999996
Inductive,1.71,11,sweater,0.6181056865543169,0.0009999999999999996
Inductive,85.5,11,sweater,0.19426431067408692,0.0009999999999999996
Inductive,171,11,sweater,0,0.0009999999999999996
price_prior,mu,NA,sweater,4.1690317069109035,0.0009999999999999996
price_prior,sigma,NA,sweater,0.8926345531138051,0.0009999999999999996
global_param,speakerOptimality,NA,NA,1.2944622383042517,0.0015000000000000002
global_param,sigbin,NA,NA,0.01276179198680197,0.0015000000000000002
global_param,cost,NA,NA,0.04768624407164709,0.0015000000000000002
S1,188,11,coffee maker,0.8231764153057858,0.0015000000000000002
S1,84,11,coffee maker,0.6509457402487296,0.0015000000000000002
S1,124,11,coffee maker,0.7609789506484879,0.0015000000000000002
S1,52,11,coffee maker,0.49915187433423747,0.0015000000000000002
S1,24,11,coffee maker,0.3037777566074607,0.0015000000000000002
Inductive,20,11,coffee maker,0.5287125268034043,0.0015000000000000002
Inductive,2,11,coffee maker,0.6074968813803495,0.0015000000000000002
Inductive,140,11,coffee maker,0.12347882034692015,0.0015000000000000002
Inductive,100,11,coffee maker,0.2316057537040044,0.0015000000000000002
Inductive,200,11,coffee maker,0.011187856661998567,0.0015000000000000002
price_prior,mu,NA,coffee maker,4.567622838578368,0.0015000000000000002
price_prior,sigma,NA,coffee maker,0.9000111321658861,0.0015000000000000002
S1,100,11,watch,0.18753198269762025,0.0015000000000000002
S1,2000,11,watch,0.8754502306012162,0.0015000000000000002
S1,900,11,watch,0.7865254890462368,0.0015000000000000002
S1,450,11,watch,0.5891232712515473,0.0015000000000000002
S1,250,11,watch,0.37619803305962046,0.0015000000000000002
Inductive,240,11,watch,0.5437151987938199,0.0015000000000000002
Inductive,1200,11,watch,0.18237655882576728,0.0015000000000000002
Inductive,1680,11,watch,0.08201738959269098,0.0015000000000000002
Inductive,2400,11,watch,0,0.0015000000000000002
Inductive,24,11,watch,0.6634220610447017,0.0015000000000000002
price_prior,mu,NA,watch,6.220723354113785,0.0015000000000000002
price_prior,sigma,NA,watch,1.2892926638747477,0.0015000000000000002
S1,144,11,headphones,0.762369105109047,0.0015000000000000002
S1,234,11,headphones,0.8306150957526764,0.0015000000000000002
S1,24,11,headphones,0.2776984023953479,0.0015000000000000002
S1,96,11,headphones,0.6432688676964765,0.0015000000000000002
S1,60,11,headphones,0.48534063132016314,0.0015000000000000002
Inductive,180.6,11,headphones,0.11323361239648815,0.0015000000000000002
Inductive,129,11,headphones,0.22004671105065948,0.0015000000000000002
Inductive,25.8,11,headphones,0.5292367171027779,0.0015000000000000002
Inductive,258,11,headphones,0,0.0015000000000000002
Inductive,2.58,11,headphones,0.6154193412780703,0.0015000000000000002
price_prior,mu,NA,headphones,4.69581484125111,0.0015000000000000002
price_prior,sigma,NA,headphones,0.9531703371686828,0.0015000000000000002
S1,1850,11,laptop,0.8228726038938916,0.0015000000000000002
S1,900,11,laptop,0.6710711840064502,0.0015000000000000002
S1,350,11,laptop,0.3870241414137982,0.0015000000000000002
S1,600,11,laptop,0.5490939461816834,0.0015000000000000002
S1,1250,11,laptop,0.7655894608970911,0.0015000000000000002
Inductive,1295,11,laptop,0.12089921830940523,0.0015000000000000002
Inductive,1850,11,laptop,0.024494172364889124,0.0015000000000000002
Inductive,185,11,laptop,0.5233024200778453,0.0015000000000000002
Inductive,18.5,11,laptop,0.5966640576081231,0.0015000000000000002
Inductive,925,11,laptop,0.2256121607697782,0.0015000000000000002
price_prior,mu,NA,laptop,6.883449958766856,0.0015000000000000002
price_prior,sigma,NA,laptop,0.6940929879242972,0.0015000000000000002
S1,57,11,sweater,0.640199172588736,0.0015000000000000002
S1,87,11,sweater,0.7668770917518138,0.0015000000000000002
S1,36,11,sweater,0.4894910180908897,0.0015000000000000002
S1,18,11,sweater,0.30714087723187194,0.0015000000000000002
S1,150,11,sweater,0.8392923879979387,0.0015000000000000002
Inductive,119.7,11,sweater,0.09368675984509332,0.0015000000000000002
