type,param,property,category,val,prob
global_param,speakerOptimality,NA,NA,1.099301346198339,0.0020000000000000013
global_param,sigbin,NA,NA,0.012530647972568754,0.0020000000000000013
S1,188,11,coffee maker,0.6112094395364589,0.0020000000000000013
S1,84,11,coffee maker,0.4195802881272902,0.0020000000000000013
S1,124,11,coffee maker,0.5323847524079779,0.0020000000000000013
S1,52,11,coffee maker,0.2980461503448869,0.0020000000000000013
S1,24,11,coffee maker,0.17392381265892967,0.0020000000000000013
Inductive,20,11,coffee maker,0.8280457594585411,0.0020000000000000013
Inductive,2,11,coffee maker,0.9826885040921697,0.0020000000000000013
Inductive,140,11,coffee maker,0.1480460157771416,0.0020000000000000013
Inductive,100,11,coffee maker,0.30292437097274433,0.0020000000000000013
Inductive,200,11,coffee maker,0.01244280538454212,0.0020000000000000013
price_prior,mu,NA,coffee maker,4.638610592987407,0.0020000000000000013
price_prior,sigma,NA,coffee maker,0.77662762347308,0.0020000000000000013
S1,100,11,watch,0.11791769946902846,0.0020000000000000013
S1,2000,11,watch,0.7086467735999752,0.0020000000000000013
S1,900,11,watch,0.584258335210488,0.0020000000000000013
S1,450,11,watch,0.38670152964921106,0.0020000000000000013
S1,250,11,watch,0.23206533276464628,0.0020000000000000013
Inductive,240,11,watch,0.725644000590844,0.0020000000000000013
Inductive,1200,11,watch,0.19242435625968185,0.0020000000000000013
Inductive,1680,11,watch,0.08146516241471942,0.0020000000000000013
Inductive,2400,11,watch,0,0.0020000000000000013
Inductive,24,11,watch,0.9692167561512147,0.0020000000000000013
price_prior,mu,NA,watch,6.208287810472564,0.0020000000000000013
price_prior,sigma,NA,watch,1.171163357293263,0.0020000000000000013
S1,144,11,headphones,0.5667937716262554,0.0020000000000000013
S1,234,11,headphones,0.6522842630722099,0.0020000000000000013
S1,24,11,headphones,0.17755960327449305,0.0020000000000000013
S1,96,11,headphones,0.4450999628970352,0.0020000000000000013
S1,60,11,headphones,0.3162645472398273,0.0020000000000000013
Inductive,180.6,11,headphones,0.11225492184797298,0.0020000000000000013
Inductive,129,11,headphones,0.2456777774709372,0.0020000000000000013
Inductive,25.8,11,headphones,0.7895359352689859,0.0020000000000000013
Inductive,258,11,headphones,0,0.0020000000000000013
Inductive,2.58,11,headphones,0.9786755818561934,0.0020000000000000013
price_prior,mu,NA,headphones,4.596579535724101,0.0020000000000000013
price_prior,sigma,NA,headphones,0.8309566518306193,0.0020000000000000013
S1,1850,11,laptop,0.6203048304174187,0.0020000000000000013
S1,900,11,laptop,0.44818890713972115,0.0020000000000000013
S1,350,11,laptop,0.23075836421221244,0.0020000000000000013
S1,600,11,laptop,0.3438428718008236,0.0020000000000000013
S1,1250,11,laptop,0.5477555070690664,0.0020000000000000013
Inductive,1295,11,laptop,0.14049120234851908,0.0020000000000000013
Inductive,1850,11,laptop,0.025907804721145254,0.0020000000000000013
Inductive,185,11,laptop,0.8331578284810738,0.0020000000000000013
Inductive,18.5,11,laptop,0.9832208831177971,0.0020000000000000013
Inductive,925,11,laptop,0.2905375396065094,0.0020000000000000013
price_prior,mu,NA,laptop,6.894802906134521,0.0020000000000000013
price_prior,sigma,NA,laptop,0.6414626527204312,0.0020000000000000013
S1,57,11,sweater,0.40930308320486875,0.0020000000000000013
S1,87,11,sweater,0.538681138996737,0.0020000000000000013
S1,36,11,sweater,0.29071711616893603,0.0020000000000000013
S1,18,11,sweater,0.17550997842915034,0.0020000000000000013
S1,150,11,sweater,0.6335693763238989,0.0020000000000000013
Inductive,119.7,11,sweater,0.1134090171411529,0.0020000000000000013
Inductive,17.1,11,sweater,0.7966684106896551,0.0020000000000000013
Inductive,1.71,11,sweater,0.9793281366154505,0.0020000000000000013
Inductive,85.5,11,sweater,0.2484137217934,0.0020000000000000013
Inductive,171,11,sweater,0,0.0020000000000000013
price_prior,mu,NA,sweater,4.239428948636073,0.0020000000000000013
price_prior,sigma,NA,sweater,0.849942446983678,0.0020000000000000013
global_param,speakerOptimality,NA,NA,1.099301346198339,0.0020000000000000013
global_param,sigbin,NA,NA,0.012530647972568754,0.0020000000000000013
S1,188,11,coffee maker,0.6112094395364589,0.0020000000000000013
S1,84,11,coffee maker,0.4195802881272902,0.0020000000000000013
S1,124,11,coffee maker,0.5323847524079779,0.0020000000000000013
S1,52,11,coffee maker,0.2980461503448869,0.0020000000000000013
S1,24,11,coffee maker,0.17392381265892967,0.0020000000000000013
Inductive,20,11,coffee maker,0.8280457594585411,0.0020000000000000013
Inductive,2,11,coffee maker,0.9826885040921697,0.0020000000000000013
Inductive,140,11,coffee maker,0.1480460157771416,0.0020000000000000013
Inductive,100,11,coffee maker,0.30292437097274433,0.0020000000000000013
Inductive,200,11,coffee maker,0.01244280538454212,0.0020000000000000013
price_prior,mu,NA,coffee maker,4.638610592987407,0.0020000000000000013
price_prior,sigma,NA,coffee maker,0.77662762347308,0.0020000000000000013
S1,100,11,watch,0.11791769946902846,0.0020000000000000013
S1,2000,11,watch,0.7086467735999752,0.0020000000000000013
S1,900,11,watch,0.584258335210488,0.0020000000000000013
S1,450,11,watch,0.38670152964921106,0.0020000000000000013
S1,250,11,watch,0.23206533276464628,0.0020000000000000013
Inductive,240,11,watch,0.725644000590844,0.0020000000000000013
Inductive,1200,11,watch,0.19242435625968185,0.0020000000000000013
Inductive,1680,11,watch,0.08146516241471942,0.0020000000000000013
Inductive,2400,11,watch,0,0.0020000000000000013
Inductive,24,11,watch,0.9692167561512147,0.0020000000000000013
price_prior,mu,NA,watch,6.208287810472564,0.0020000000000000013
price_prior,sigma,NA,watch,1.171163357293263,0.0020000000000000013
S1,144,11,headphones,0.5647077047433348,0.0020000000000000013
S1,234,11,headphones,0.6503559157247862,0.0020000000000000013
S1,24,11,headphones,0.17632302026916513,0.0020000000000000013
S1,96,11,headphones,0.4430037663765269,0.0020000000000000013
S1,60,11,headphones,0.31443128886113403,0.0020000000000000013
Inductive,180.6,11,headphones,0.12064060932676196,0.0020000000000000013
Inductive,129,11,headphones,0.25719747060007503,0.0020000000000000013
Inductive,25.8,11,headphones,0.7920996826461857,0.0020000000000000013
Inductive,258,11,headphones,0,0.0020000000000000013
Inductive,2.58,11,headphones,0.9788396593217693,0.0020000000000000013
price_prior,mu,NA,headphones,4.596579535724101,0.0020000000000000013
price_prior,sigma,NA,headphones,0.884576051783394,0.0020000000000000013
S1,1850,11,laptop,0.6203048304174187,0.0020000000000000013
S1,900,11,laptop,0.44818890713972115,0.0020000000000000013
S1,350,11,laptop,0.23075836421221244,0.0020000000000000013
S1,600,11,laptop,0.3438428718008236,0.0020000000000000013
S1,1250,11,laptop,0.5477555070690664,0.0020000000000000013
Inductive,1295,11,laptop,0.14049120234851908,0.0020000000000000013
Inductive,1850,11,laptop,0.025907804721145254,0.0020000000000000013
Inductive,185,11,laptop,0.8331578284810738,0.0020000000000000013
