type,param,property,category,val,prob
global_param,speakerOptimality,NA,NA,3.800900406984935,0.0020000000000000005
global_param,sigbin,NA,NA,0.012190029377640355,0.0020000000000000005
S1,188,11,coffee maker,0.8428358271644947,0.0020000000000000005
S1,84,11,coffee maker,0.2676297884248222,0.0020000000000000005
S1,124,11,coffee maker,0.6373317282491456,0.0020000000000000005
S1,52,11,coffee maker,0.05486107732916684,0.0020000000000000005
S1,24,11,coffee maker,0.005107958214161679,0.0020000000000000005
Inductive,20,11,coffee maker,0.8229101550761807,0.0020000000000000005
Inductive,2,11,coffee maker,0.982155385826303,0.0020000000000000005
Inductive,140,11,coffee maker,0.1411042660859008,0.0020000000000000005
Inductive,100,11,coffee maker,0.292606286507312,0.0020000000000000005
Inductive,200,11,coffee maker,0.01175708014894347,0.0020000000000000005
price_prior,mu,NA,coffee maker,4.593111144977078,0.0020000000000000005
price_prior,sigma,NA,coffee maker,0.7731362999547633,0.0020000000000000005
S1,100,11,watch,0.0007272634640114504,0.0020000000000000005
S1,2000,11,watch,0.9429615474839499,0.0020000000000000005
S1,900,11,watch,0.7127308201475322,0.0020000000000000005
S1,450,11,watch,0.13441503413936423,0.0020000000000000005
S1,250,11,watch,0.012063140035660317,0.0020000000000000005
Inductive,240,11,watch,0.7421725858341974,0.0020000000000000005
Inductive,1200,11,watch,0.21072240529863484,0.0020000000000000005
Inductive,1680,11,watch,0.09082796641494036,0.0020000000000000005
Inductive,2400,11,watch,0,0.0020000000000000005
Inductive,24,11,watch,0.9713113961863417,0.0020000000000000005
price_prior,mu,NA,watch,6.3014020781211375,0.0020000000000000005
price_prior,sigma,NA,watch,1.2072435116175404,0.0020000000000000005
S1,144,11,headphones,0.6862520633902687,0.0020000000000000005
S1,234,11,headphones,0.8837530380455741,0.0020000000000000005
S1,24,11,headphones,0.0042906883091616355,0.0020000000000000005
S1,96,11,headphones,0.2871988210716957,0.0020000000000000005
S1,60,11,headphones,0.05665644469928866,0.0020000000000000005
Inductive,180.6,11,headphones,0.12117824660540719,0.0020000000000000005
Inductive,129,11,headphones,0.25964831444680636,0.0020000000000000005
Inductive,25.8,11,headphones,0.7974126766984222,0.0020000000000000005
Inductive,258,11,headphones,0,0.0020000000000000005
Inductive,2.58,11,headphones,0.9794827980191521,0.0020000000000000005
price_prior,mu,NA,headphones,4.647836340507985,0.0020000000000000005
price_prior,sigma,NA,headphones,0.8500690360264058,0.0020000000000000005
S1,1850,11,laptop,0.8325669960742645,0.0020000000000000005
S1,900,11,laptop,0.30739475399375316,0.0020000000000000005
S1,350,11,laptop,0.01397783259631346,0.0020000000000000005
S1,600,11,laptop,0.0888696629594399,0.0020000000000000005
S1,1250,11,laptop,0.638602402472298,0.0020000000000000005
Inductive,1295,11,laptop,0.1445927800359075,0.0020000000000000005
Inductive,1850,11,laptop,0.026712177562593108,0.0020000000000000005
Inductive,185,11,laptop,0.8370148177687341,0.0020000000000000005
Inductive,18.5,11,laptop,0.9836272529536378,0.0020000000000000005
Inductive,925,11,laptop,0.29768722314905083,0.0020000000000000005
price_prior,mu,NA,laptop,6.928696314373476,0.0020000000000000005
price_prior,sigma,NA,laptop,0.6305437638473594,0.0020000000000000005
S1,57,11,sweater,0.2357659351941122,0.0020000000000000005
S1,87,11,sweater,0.6521270211301262,0.0020000000000000005
S1,36,11,sweater,0.04781366070613467,0.0020000000000000005
S1,18,11,sweater,0.005185329697593305,0.0020000000000000005
S1,150,11,sweater,0.8792751635558369,0.0020000000000000005
Inductive,119.7,11,sweater,0.1040201542204375,0.0020000000000000005
Inductive,17.1,11,sweater,0.7911330459154121,0.0020000000000000005
Inductive,1.71,11,sweater,0.978819659953083,0.0020000000000000005
Inductive,85.5,11,sweater,0.23380387849718365,0.0020000000000000005
Inductive,171,11,sweater,0,0.0020000000000000005
price_prior,mu,NA,sweater,4.211323887021636,0.0020000000000000005
price_prior,sigma,NA,sweater,0.8054747316066158,0.0020000000000000005
global_param,speakerOptimality,NA,NA,3.3490569909481147,0.0020000000000000005
global_param,sigbin,NA,NA,0.012190029377640355,0.0020000000000000005
S1,188,11,coffee maker,0.81566003380804,0.0020000000000000005
S1,84,11,coffee maker,0.29325629026574734,0.0020000000000000005
S1,124,11,coffee maker,0.6234378956162883,0.0020000000000000005
S1,52,11,coffee maker,0.07580560338768391,0.0020000000000000005
S1,24,11,coffee maker,0.009586740905477521,0.0020000000000000005
Inductive,20,11,coffee maker,0.8221813458468876,0.0020000000000000005
Inductive,2,11,coffee maker,0.9821159769173288,0.0020000000000000005
Inductive,140,11,coffee maker,0.13504645150146605,0.0020000000000000005
Inductive,100,11,coffee maker,0.2856560950387939,0.0020000000000000005
Inductive,200,11,coffee maker,0.011077514196336789,0.0020000000000000005
price_prior,mu,NA,coffee maker,4.593111144977078,0.0020000000000000005
price_prior,sigma,NA,coffee maker,0.7364446643528144,0.0020000000000000005
S1,100,11,watch,0.0017151434180845658,0.0020000000000000005
S1,2000,11,watch,0.9221419188038964,0.0020000000000000005
S1,900,11,watch,0.6901159829457089,0.0020000000000000005
S1,450,11,watch,0.16232004061597777,0.0020000000000000005
S1,250,11,watch,0.020198305003346045,0.0020000000000000005
Inductive,240,11,watch,0.7421725858341974,0.0020000000000000005
Inductive,1200,11,watch,0.21072240529863484,0.0020000000000000005
Inductive,1680,11,watch,0.09082796641494036,0.0020000000000000005
Inductive,2400,11,watch,0,0.0020000000000000005
Inductive,24,11,watch,0.9713113961863417,0.0020000000000000005
price_prior,mu,NA,watch,6.3014020781211375,0.0020000000000000005
price_prior,sigma,NA,watch,1.2072435116175404,0.0020000000000000005
S1,144,11,headphones,0.6658811913610502,0.0020000000000000005
S1,234,11,headphones,0.8565985582765823,0.0020000000000000005
