"item","qtype","dollar_amount","N","response","bootsci_high","bootsci_low"
"coffee maker","concrete",24,30,-2.96666666666667,-2.13333333333333,-3.63333333333333
"coffee maker","concrete",52,30,-1.23333333333333,-0.633333333333333,-1.9
"coffee maker","concrete",84,30,0.5,1.16666666666667,-0.2
"coffee maker","concrete",124,30,1.96666666666667,2.56666666666667,1.3
"coffee maker","concrete",188,30,2.3,2.90083333333333,1.6
"coffee maker","inductive",2,30,2.63333333333333,3.33333333333333,1.83333333333333
"coffee maker","inductive",20,30,0.933333333333333,1.8,0.1
"coffee maker","inductive",100,30,-0.966666666666667,-0.333333333333333,-1.6
"coffee maker","inductive",140,30,-1.56666666666667,-1.0325,-2.10083333333333
"coffee maker","inductive",200,30,-1.83333333333333,-1.23333333333333,-2.3675
"headphones","concrete",24,30,-3.43333333333333,-3.06666666666667,-3.7
"headphones","concrete",60,30,-0.7,0,-1.36666666666667
"headphones","concrete",96,30,0.933333333333333,1.63333333333333,0.266666666666667
"headphones","concrete",144,30,1.56666666666667,2.23333333333333,0.866666666666667
"headphones","concrete",234,30,3.16666666666667,3.63333333333333,2.56666666666667
"headphones","inductive",2.58,30,2.46666666666667,3.1,1.73333333333333
"headphones","inductive",25.8,30,0.866666666666667,1.53333333333333,0.1
"headphones","inductive",129,30,-1.26666666666667,-0.6,-1.93333333333333
"headphones","inductive",180.6,30,-1.4,-0.6,-2.1
"headphones","inductive",258,30,-1.7,-0.833333333333333,-2.5
"laptop","concrete",350,30,-2.76666666666667,-2.1,-3.33416666666667
"laptop","concrete",600,30,-0.733333333333333,-0.133333333333333,-1.36666666666667
"laptop","concrete",900,30,0.8,1.43333333333333,0.2
"laptop","concrete",1250,30,2.03333333333333,2.66666666666667,1.39916666666667
"laptop","concrete",1850,30,3.3,3.63333333333333,2.86666666666667
"laptop","inductive",18.5,30,2.8,3.33416666666667,2.09916666666667
"laptop","inductive",185,30,1.03333333333333,1.56666666666667,0.4325
"laptop","inductive",925,30,-1.56666666666667,-0.9,-2.23333333333333
"laptop","inductive",1295,30,-2,-1.36666666666667,-2.56666666666667
"laptop","inductive",1850,30,-2.23333333333333,-1.46583333333333,-2.96666666666667
"sweater","concrete",18,30,-3.4,-2.83333333333333,-3.8
"sweater","concrete",36,30,-2.1,-1.5,-2.66666666666667
"sweater","concrete",57,30,0,0.633333333333333,-0.6
"sweater","concrete",87,30,0.9,1.43333333333333,0.266666666666667
"sweater","concrete",150,30,2.9,3.30083333333333,2.46666666666667
"sweater","inductive",1.71,30,3,3.56666666666667,2.33333333333333
"sweater","inductive",17.1,30,1.4,2.16666666666667,0.533333333333333
"sweater","inductive",85.5,30,-1.16666666666667,-0.5,-1.8
"sweater","inductive",119.7,30,-1.2,-0.4,-1.93333333333333
"sweater","inductive",171,30,-1.63333333333333,-0.865833333333334,-2.33333333333333
"watch","concrete",100,30,-1.1,-0.366666666666667,-1.8
"watch","concrete",250,30,0.9,1.73333333333333,0
"watch","concrete",450,30,2,2.66666666666667,1.26666666666667
"watch","concrete",900,30,2.96666666666667,3.4,2.5
"watch","concrete",2000,30,3.5,3.76666666666667,3.16583333333333
"watch","inductive",24,30,2.33333333333333,3,1.56666666666667
"watch","inductive",240,30,1.1,1.70083333333333,0.466666666666667
"watch","inductive",1200,30,-0.7,0.134166666666666,-1.50083333333333
"watch","inductive",1680,30,-1.16666666666667,-0.3,-1.96666666666667
"watch","inductive",2400,30,-1.43333333333333,-0.566666666666667,-2.26666666666667
