"response","dollar_amount","level","qtype","item","phrasing","workerid","language","age","education","comments"
2,85.5,2,"inductive","sweater","conditional","0","English",48,"3","no thank you"
4,100,0,"concrete","watch","conditional","0","English",48,"3","no thank you"
4,188,4,"concrete","coffee maker","conditional","0","English",48,"3","no thank you"
2,84,2,"concrete","coffee maker","conditional","0","English",48,"3","no thank you"
2,20,1,"inductive","coffee maker","conditional","0","English",48,"3","no thank you"
1,57,2,"concrete","sweater","conditional","0","English",48,"3","no thank you"
0,52,1,"concrete","coffee maker","conditional","0","English",48,"3","no thank you"
3,258,4,"inductive","headphones","conditional","0","English",48,"3","no thank you"
0,1295,3,"inductive","laptop","conditional","0","English",48,"3","no thank you"
-2,24,0,"concrete","coffee maker","conditional","0","English",48,"3","no thank you"
-3,18,0,"concrete","sweater","conditional","0","English",48,"3","no thank you"
0,171,4,"inductive","sweater","conditional","0","English",48,"3","no thank you"
2,900,3,"concrete","watch","conditional","0","English",48,"3","no thank you"
1,185,1,"inductive","laptop","conditional","0","English",48,"3","no thank you"
-2,24,0,"inductive","watch","conditional","0","English",48,"3","no thank you"
1,96,2,"concrete","headphones","conditional","0","English",48,"3","no thank you"
4,250,1,"concrete","watch","conditional","0","English",48,"3","no thank you"
4,1680,3,"inductive","watch","conditional","0","English",48,"3","no thank you"
-2,25.8,1,"inductive","headphones","conditional","0","English",48,"3","no thank you"
-4,18.5,0,"inductive","laptop","conditional","0","English",48,"3","no thank you"
-1,240,1,"inductive","watch","conditional","0","English",48,"3","no thank you"
-4,2.58,0,"inductive","headphones","conditional","0","English",48,"3","no thank you"
-2,36,1,"concrete","sweater","conditional","0","English",48,"3","no thank you"
2,140,3,"inductive","coffee maker","conditional","0","English",48,"3","no thank you"
2,1850,4,"concrete","laptop","conditional","0","English",48,"3","no thank you"
0,234,4,"concrete","headphones","conditional","0","English",48,"3","no thank you"
-3,17.1,1,"inductive","sweater","conditional","0","English",48,"3","no thank you"
1,450,2,"concrete","watch","conditional","0","English",48,"3","no thank you"
3,600,1,"concrete","laptop","conditional","0","English",48,"3","no thank you"
-4,1.71,0,"inductive","sweater","conditional","0","English",48,"3","no thank you"
1,129,2,"inductive","headphones","conditional","0","English",48,"3","no thank you"
4,925,2,"inductive","laptop","conditional","0","English",48,"3","no thank you"
0,200,4,"inductive","coffee maker","conditional","0","English",48,"3","no thank you"
-2,150,4,"concrete","sweater","conditional","0","English",48,"3","no thank you"
3,180.6,3,"inductive","headphones","conditional","0","English",48,"3","no thank you"
-1,60,1,"concrete","headphones","conditional","0","English",48,"3","no thank you"
0,1200,2,"inductive","watch","conditional","0","English",48,"3","no thank you"
-1,119.7,3,"inductive","sweater","conditional","0","English",48,"3","no thank you"
1,1250,3,"concrete","laptop","conditional","0","English",48,"3","no thank you"
-3,2,0,"inductive","coffee maker","conditional","0","English",48,"3","no thank you"
2,124,3,"concrete","coffee maker","conditional","0","English",48,"3","no thank you"
-1,100,2,"inductive","coffee maker","conditional","0","English",48,"3","no thank you"
-3,24,0,"concrete","headphones","conditional","0","English",48,"3","no thank you"
3,2400,4,"inductive","watch","conditional","0","English",48,"3","no thank you"
0,144,3,"concrete","headphones","conditional","0","English",48,"3","no thank you"
2,350,0,"concrete","laptop","conditional","0","English",48,"3","no thank you"
4,2000,4,"concrete","watch","conditional","0","English",48,"3","no thank you"
2,1850,4,"inductive","laptop","conditional","0","English",48,"3","no thank you"
-1,87,3,"concrete","sweater","conditional","0","English",48,"3","no thank you"
1,900,2,"concrete","laptop","conditional","0","English",48,"3","no thank you"
-3,17.1,1,"inductive","sweater","conditional","1","english",30,"4",""
2,36,1,"concrete","sweater","conditional","1","english",30,"4",""
-4,1850,4,"concrete","laptop","conditional","1","english",30,"4",""
