"response","dollar_amount","level","qtype","item","phrasing","workerid","language","age","education","comments"
4,188,4,"concrete","coffee maker","relative_clause","0","english",30,"3",""
-4,20,1,"inductive","coffee maker","relative_clause","0","english",30,"3",""
4,240,1,"inductive","watch","relative_clause","0","english",30,"3",""
1,144,3,"concrete","headphones","relative_clause","0","english",30,"3",""
4,180.6,3,"inductive","headphones","relative_clause","0","english",30,"3",""
-1,100,0,"concrete","watch","relative_clause","0","english",30,"3",""
3,1850,4,"concrete","laptop","relative_clause","0","english",30,"3",""
2,900,2,"concrete","laptop","relative_clause","0","english",30,"3",""
-3,350,0,"concrete","laptop","relative_clause","0","english",30,"3",""
4,234,4,"concrete","headphones","relative_clause","0","english",30,"3",""
0,84,2,"concrete","coffee maker","relative_clause","0","english",30,"3",""
0,2,0,"inductive","coffee maker","relative_clause","0","english",30,"3",""
4,1200,2,"inductive","watch","relative_clause","0","english",30,"3",""
4,119.7,3,"inductive","sweater","relative_clause","0","english",30,"3",""
-1,1295,3,"inductive","laptop","relative_clause","0","english",30,"3",""
-2,17.1,1,"inductive","sweater","relative_clause","0","english",30,"3",""
-2,1680,3,"inductive","watch","relative_clause","0","english",30,"3",""
-2,129,2,"inductive","headphones","relative_clause","0","english",30,"3",""
4,2000,4,"concrete","watch","relative_clause","0","english",30,"3",""
-3,1850,4,"inductive","laptop","relative_clause","0","english",30,"3",""
-1,600,1,"concrete","laptop","relative_clause","0","english",30,"3",""
0,185,1,"inductive","laptop","relative_clause","0","english",30,"3",""
1,57,2,"concrete","sweater","relative_clause","0","english",30,"3",""
1,25.8,1,"inductive","headphones","relative_clause","0","english",30,"3",""
2,124,3,"concrete","coffee maker","relative_clause","0","english",30,"3",""
-2,52,1,"concrete","coffee maker","relative_clause","0","english",30,"3",""
-3,2400,4,"inductive","watch","relative_clause","0","english",30,"3",""
-4,24,0,"concrete","headphones","relative_clause","0","english",30,"3",""
2,1250,3,"concrete","laptop","relative_clause","0","english",30,"3",""
4,900,3,"concrete","watch","relative_clause","0","english",30,"3",""
3,1.71,0,"inductive","sweater","relative_clause","0","english",30,"3",""
2,87,3,"concrete","sweater","relative_clause","0","english",30,"3",""
-3,140,3,"inductive","coffee maker","relative_clause","0","english",30,"3",""
1,96,2,"concrete","headphones","relative_clause","0","english",30,"3",""
-4,36,1,"concrete","sweater","relative_clause","0","english",30,"3",""
-4,18,0,"concrete","sweater","relative_clause","0","english",30,"3",""
1,24,0,"inductive","watch","relative_clause","0","english",30,"3",""
1,18.5,0,"inductive","laptop","relative_clause","0","english",30,"3",""
-3,100,2,"inductive","coffee maker","relative_clause","0","english",30,"3",""
-4,258,4,"inductive","headphones","relative_clause","0","english",30,"3",""
4,450,2,"concrete","watch","relative_clause","0","english",30,"3",""
-1,85.5,2,"inductive","sweater","relative_clause","0","english",30,"3",""
4,250,1,"concrete","watch","relative_clause","0","english",30,"3",""
2,2.58,0,"inductive","headphones","relative_clause","0","english",30,"3",""
-4,200,4,"inductive","coffee maker","relative_clause","0","english",30,"3",""
-4,925,2,"inductive","laptop","relative_clause","0","english",30,"3",""
-2,60,1,"concrete","headphones","relative_clause","0","english",30,"3",""
2,150,4,"concrete","sweater","relative_clause","0","english",30,"3",""
-3,171,4,"inductive","sweater","relative_clause","0","english",30,"3",""
-4,24,0,"concrete","coffee maker","relative_clause","0","english",30,"3",""
0,60,1,"concrete","headphones","relative_clause","1","English",34,"2",""
2,52,1,"concrete","coffee maker","relative_clause","1","English",34,"2",""
4,150,4,"concrete","sweater","relative_clause","1","English",34,"2",""
-2,24,0,"concrete","coffee maker","relative_clause","1","English",34,"2",""
3,57,2,"concrete","sweater","relative_clause","1","English",34,"2",""
4,124,3,"concrete","coffee maker","relative_clause","1","English",34,"2",""
1,185,1,"inductive","laptop","relative_clause","1","English",34,"2",""
1,36,1,"concrete","sweater","relative_clause","1","English",34,"2",""
2,84,2,"concrete","coffee maker","relative_clause","1","English",34,"2",""
2,1250,3,"concrete","laptop","relative_clause","1","English",34,"2",""
0,900,2,"concrete","laptop","relative_clause","1","English",34,"2",""
-3,1850,4,"inductive","laptop","relative_clause","1","English",34,"2",""
0,171,4,"inductive","sweater","relative_clause","1","English",34,"2",""
-1,240,1,"inductive","watch","relative_clause","1","English",34,"2",""
2,96,2,"concrete","headphones","relative_clause","1","English",34,"2",""
0,25.8,1,"inductive","headphones","relative_clause","1","English",34,"2",""
4,234,4,"concrete","headphones","relative_clause","1","English",34,"2",""
1,129,2,"inductive","headphones","relative_clause","1","English",34,"2",""
-1,1200,2,"inductive","watch","relative_clause","1","English",34,"2",""
-2,18,0,"concrete","sweater","relative_clause","1","English",34,"2",""
-1,925,2,"inductive","laptop","relative_clause","1","English",34,"2",""
3,1850,4,"concrete","laptop","relative_clause","1","English",34,"2",""
2,17.1,1,"inductive","sweater","relative_clause","1","English",34,"2",""
3,20,1,"inductive","coffee maker","relative_clause","1","English",34,"2",""
4,2.58,0,"inductive","headphones","relative_clause","1","English",34,"2",""
-2,180.6,3,"inductive","headphones","relative_clause","1","English",34,"2",""
-2,1295,3,"inductive","laptop","relative_clause","1","English",34,"2",""
-3,24,0,"concrete","headphones","relative_clause","1","English",34,"2",""
0,100,2,"inductive","coffee maker","relative_clause","1","English",34,"2",""
4,450,2,"concrete","watch","relative_clause","1","English",34,"2",""
1,87,3,"concrete","sweater","relative_clause","1","English",34,"2",""
4,2000,4,"concrete","watch","relative_clause","1","English",34,"2",""
-2,258,4,"inductive","headphones","relative_clause","1","English",34,"2",""
4,119.7,3,"inductive","sweater","relative_clause","1","English",34,"2",""
4,24,0,"inductive","watch","relative_clause","1","English",34,"2",""
-4,350,0,"concrete","laptop","relative_clause","1","English",34,"2",""
-1,1680,3,"inductive","watch","relative_clause","1","English",34,"2",""
-2,2400,4,"inductive","watch","relative_clause","1","English",34,"2",""
4,1.71,0,"inductive","sweater","relative_clause","1","English",34,"2",""
0,140,3,"inductive","coffee maker","relative_clause","1","English",34,"2",""
3,250,1,"concrete","watch","relative_clause","1","English",34,"2",""
4,18.5,0,"inductive","laptop","relative_clause","1","English",34,"2",""
0,200,4,"inductive","coffee maker","relative_clause","1","English",34,"2",""
-2,600,1,"concrete","laptop","relative_clause","1","English",34,"2",""
4,900,3,"concrete","watch","relative_clause","1","English",34,"2",""
3,85.5,2,"inductive","sweater","relative_clause","1","English",34,"2",""
3,188,4,"concrete","coffee maker","relative_clause","1","English",34,"2",""
2,144,3,"concrete","headphones","relative_clause","1","English",34,"2",""
4,2,0,"inductive","coffee maker","relative_clause","1","English",34,"2",""
0,100,0,"concrete","watch","relative_clause","1","English",34,"2",""
3,2.58,0,"inductive","headphones","relative_clause","2","",NA,"-1",""
-3,18,0,"concrete","sweater","relative_clause","2","",NA,"-1",""
-2,100,0,"concrete","watch","relative_clause","2","",NA,"-1",""
1,24,0,"concrete","coffee maker","relative_clause","2","",NA,"-1",""
3,1850,4,"concrete","laptop","relative_clause","2","",NA,"-1",""
-3,1295,3,"inductive","laptop","relative_clause","2","",NA,"-1",""
-2,925,2,"inductive","laptop","relative_clause","2","",NA,"-1",""
-3,140,3,"inductive","coffee maker","relative_clause","2","",NA,"-1",""
